path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_tenang,Jalan Tenang,4.0,22758.471,33298.409,28.37,26.17,26.17,,,JALAN TENANG,6.337
jalan_tenang,Jalan Tenang,6.0,22759.826,33296.938,29.895,26.17,26.17,,,JALAN TENANG,5.239
jalan_tenang,Jalan Tenang,8.0,22761.181,33295.467,27.032,26.17,26.17,,,JALAN TENANG,4.14
jalan_tenang,Jalan Tenang,10.0,22762.535,33293.995,26.17,26.17,26.17,,,JALAN TENANG,3.042
jalan_tenang,Jalan Tenang,12.0,22764.03,33292.738,26.02,26.02,26.076,,,JALAN TENANG,2.186
jalan_tenang,Jalan Tenang,14.0,22765.921,33292.088,25.859,25.859,26.02,-2.008,1.0,JALAN TENANG,2.014
jalan_tenang,Jalan Tenang,16.0,22767.813,33291.437,26.076,26.076,26.009,0.0,1.0,JALAN TENANG,1.842
jalan_tenang,Jalan Tenang,18.0,22769.704,33290.787,26.009,26.009,26.009,1.221,1.0,JALAN TENANG,1.671
jalan_tenang,Jalan Tenang,20.0,22771.595,33290.136,26.009,26.009,26.076,2.396,1.0,JALAN TENANG,1.499
jalan_tenang,Jalan Tenang,22.0,22773.486,33289.486,26.201,26.201,26.118,,,JALAN TENANG,1.327
jalan_tenang,Jalan Tenang,24.0,22775.413,33288.958,26.118,26.118,26.201,,,JALAN TENANG,1.283
jalan_tenang,Jalan Tenang,26.0,22777.357,33288.484,26.018,26.359,26.359,,,JALAN TENANG,1.296
jalan_tenang,Jalan Tenang,28.0,22779.3,33288.01,28.526,26.601,26.601,10.938,2.0,JALAN TENANG,1.308
jalan_tenang,Jalan Tenang,30.0,22781.243,33287.536,28.326,26.843,26.843,,,JALAN TENANG,1.32
jalan_tenang,Jalan Tenang,32.0,22783.186,33287.062,27.084,27.084,27.076,,,JALAN TENANG,1.332
jalan_tenang,Jalan Tenang,34.0,22785.129,33286.588,27.076,27.076,27.084,,,JALAN TENANG,1.344
jalan_tenang,Jalan Tenang,36.0,22787.047,33286.023,26.043,27.111,27.111,,,JALAN TENANG,1.262
jalan_tenang,Jalan Tenang,38.0,22788.959,33285.438,27.976,27.147,27.147,1.667,1.0,JALAN TENANG,1.194
jalan_tenang,Jalan Tenang,40.0,22790.872,33284.853,27.276,27.182,27.182,,,JALAN TENANG,1.212
jalan_tenang,Jalan Tenang,42.0,22792.784,33284.268,27.218,27.218,27.218,,,JALAN TENANG,1.23
jalan_tenang,Jalan Tenang,44.0,22794.697,33283.683,27.226,27.413,27.413,,,JALAN TENANG,1.248
jalan_tenang,Jalan Tenang,46.0,22796.609,33283.097,27.259,27.609,27.609,,,JALAN TENANG,1.266
jalan_tenang,Jalan Tenang,48.0,22798.522,33282.512,27.993,27.851,27.651,,,JALAN TENANG,1.284
jalan_tenang,Jalan Tenang,50.0,22800.434,33281.927,28.093,27.751,27.651,,,JALAN TENANG,1.302
jalan_tenang,Jalan Tenang,52.0,22802.347,33281.342,27.959,27.651,27.651,,,JALAN TENANG,1.32
jalan_tenang,Jalan Tenang,54.0,22804.259,33280.757,27.609,27.354,27.354,,,JALAN TENANG,1.338
jalan_tenang,Jalan Tenang,56.0,22806.171,33280.171,27.576,27.057,27.057,,,JALAN TENANG,1.357
jalan_tenang,Jalan Tenang,58.0,22808.034,33279.446,26.325,26.76,26.76,,,JALAN TENANG,1.243
jalan_tenang,Jalan Tenang,60.0,22809.885,33278.689,26.463,26.463,26.538,,,JALAN TENANG,1.311
jalan_tenang,Jalan Tenang,62.0,22811.736,33277.932,26.538,26.538,26.463,,,JALAN TENANG,1.378
jalan_tenang,Jalan Tenang,64.0,22813.587,33277.175,26.375,26.375,26.375,-2.812,1.0,JALAN TENANG,1.446
jalan_tenang,Jalan Tenang,66.0,22815.439,33276.418,26.35,26.35,26.35,,,JALAN TENANG,1.514
jalan_tenang,Jalan Tenang,68.0,22817.29,33275.661,26.313,26.313,26.313,,,JALAN TENANG,1.581
jalan_tenang,Jalan Tenang,70.0,22819.141,33274.903,27.275,26.271,26.271,-2.027,1.0,JALAN TENANG,1.648
jalan_tenang,Jalan Tenang,72.0,22820.884,33273.922,27.4,26.23,26.23,-1.558,1.0,JALAN TENANG,1.467
jalan_tenang,Jalan Tenang,74.0,22822.627,33272.941,26.188,26.188,26.188,,,JALAN TENANG,1.286
jalan_tenang,Jalan Tenang,76.0,22824.37,33271.961,26.188,26.188,26.188,,,JALAN TENANG,1.226
jalan_tenang,Jalan Tenang,78.0,22826.113,33270.98,26.188,26.188,26.188,0.0,1.0,JALAN TENANG,1.283
jalan_tenang,Jalan Tenang,80.0,22827.856,33269.999,26.188,26.188,26.188,0.0,1.0,JALAN TENANG,1.339
jalan_tenang,Jalan Tenang,82.0,22829.599,33269.018,26.188,26.188,26.188,,,JALAN TENANG,1.395
jalan_tenang,Jalan Tenang,84.0,22831.342,33268.038,26.188,26.188,26.188,,,JALAN TENANG,1.452
jalan_tenang,Jalan Tenang,86.0,22833.085,33267.057,26.188,26.34,26.34,,,JALAN TENANG,1.508
jalan_tenang,Jalan Tenang,88.0,22834.828,33266.076,26.238,26.492,26.492,,,JALAN TENANG,1.564
jalan_tenang,Jalan Tenang,90.0,22836.571,33265.096,26.238,26.724,26.724,,,JALAN TENANG,1.621
jalan_tenang,Jalan Tenang,92.0,22838.314,33264.115,27.555,26.957,26.957,,,JALAN TENANG,1.677
jalan_tenang,Jalan Tenang,94.0,22840.057,33263.134,27.53,27.189,27.189,,,JALAN TENANG,1.734
jalan_tenang,Jalan Tenang,96.0,22841.776,33262.114,27.28,27.28,27.189,,,JALAN TENANG,1.744
jalan_tenang,Jalan Tenang,98.0,22843.464,33261.04,27.28,27.28,27.189,,,JALAN TENANG,1.692
jalan_tenang,Jalan Tenang,100.0,22845.151,33259.966,27.305,27.036,27.036,,,JALAN TENANG,1.64
jalan_tenang,Jalan Tenang,102.0,22846.838,33258.893,27.105,26.792,26.792,-9.653,2.0,JALAN TENANG,1.588
jalan_tenang,Jalan Tenang,104.0,22848.526,33257.819,26.605,26.548,26.548,,,JALAN TENANG,1.536
jalan_tenang,Jalan Tenang,106.0,22850.117,33256.61,26.305,26.305,26.417,,,JALAN TENANG,1.318
jalan_tenang,Jalan Tenang,108.0,22851.684,33255.368,26.417,26.417,26.305,,,JALAN TENANG,1.149
jalan_tenang,Jalan Tenang,110.0,22853.252,33254.126,26.305,26.305,26.305,2.188,1.0,JALAN TENANG,1.078
jalan_tenang,Jalan Tenang,112.0,22854.822,33252.887,26.305,26.305,26.417,6.562,1.0,JALAN TENANG,1.013
jalan_tenang,Jalan Tenang,114.0,22856.405,33251.665,26.592,26.592,26.592,,,JALAN TENANG,0.967
jalan_tenang,Jalan Tenang,116.0,22857.988,33250.443,26.83,26.83,26.83,,,JALAN TENANG,0.922
jalan_tenang,Jalan Tenang,118.0,22859.571,33249.22,26.634,26.996,26.996,,,JALAN TENANG,0.877
jalan_tenang,Jalan Tenang,120.0,22861.154,33247.998,26.634,27.161,27.161,,,JALAN TENANG,0.831
jalan_tenang,Jalan Tenang,122.0,22862.737,33246.776,26.559,27.214,27.214,,,JALAN TENANG,0.849
jalan_tenang,Jalan Tenang,124.0,22864.272,33245.494,28.267,27.266,27.266,,,JALAN TENANG,0.926
jalan_tenang,Jalan Tenang,126.0,22865.787,33244.188,28.725,27.318,27.318,,,JALAN TENANG,0.973
jalan_tenang,Jalan Tenang,128.0,22867.302,33242.883,29.842,27.371,27.371,,,JALAN TENANG,1.019
jalan_tenang,Jalan Tenang,130.0,22868.817,33241.577,29.775,27.423,27.423,,,JALAN TENANG,1.065
jalan_tenang,Jalan Tenang,132.0,22870.332,33240.271,29.7,27.475,27.475,,,JALAN TENANG,1.112
jalan_tenang,Jalan Tenang,134.0,22871.847,33238.966,29.962,27.527,27.527,,,JALAN TENANG,1.158
jalan_tenang,Jalan Tenang,136.0,22873.362,33237.66,27.903,27.58,27.527,,,JALAN TENANG,1.205
jalan_tenang,Jalan Tenang,138.0,22874.877,33236.354,26.507,27.632,27.527,,,JALAN TENANG,1.251
jalan_tenang,Jalan Tenang,140.0,22876.392,33235.049,28.432,27.361,27.361,,,JALAN TENANG,1.297
jalan_tenang,Jalan Tenang,142.0,22877.907,33233.743,28.432,27.09,27.09,,,JALAN TENANG,1.344
jalan_tenang,Jalan Tenang,144.0,22879.422,33232.437,26.819,26.819,26.832,,,JALAN TENANG,1.39
jalan_tenang,Jalan Tenang,146.0,22880.937,33231.132,26.832,26.832,26.819,,,JALAN TENANG,1.436
jalan_tenang,Jalan Tenang,148.0,22882.461,33229.837,26.556,26.556,26.556,-5.313,1.0,JALAN TENANG,1.496
jalan_tenang,Jalan Tenang,150.0,22884.027,33228.592,26.444,26.444,26.444,-5.156,1.0,JALAN TENANG,1.622
jalan_tenang,Jalan Tenang,152.0,22885.592,33227.348,26.406,26.406,26.406,-1.875,1.0,JALAN TENANG,1.748
jalan_tenang,Jalan Tenang,154.0,22887.158,33226.104,26.282,26.282,26.406,0.469,1.0,JALAN TENANG,1.874
jalan_tenang,Jalan Tenang,156.0,22888.724,33224.859,26.332,26.332,26.406,0.938,1.0,JALAN TENANG,2.0
jalan_tenang,Jalan Tenang,158.0,22890.227,33223.541,26.482,26.482,26.482,1.719,1.0,JALAN TENANG,2.029
jalan_tenang,Jalan Tenang,160.0,22891.713,33222.202,26.544,26.544,26.482,1.719,1.0,JALAN TENANG,2.031
jalan_tenang,Jalan Tenang,162.0,22893.199,33220.863,26.482,26.482,26.544,0.312,1.0,JALAN TENANG,2.033
jalan_tenang,Jalan Tenang,164.0,22894.684,33219.524,26.607,26.607,26.544,0.312,1.0,JALAN TENANG,2.035
jalan_tenang,Jalan Tenang,166.0,22896.17,33218.185,26.582,26.582,26.507,-2.539,1.0,JALAN TENANG,2.037
jalan_tenang,Jalan Tenang,168.0,22897.625,33216.814,26.507,26.507,26.507,,,JALAN TENANG,1.995
jalan_tenang,Jalan Tenang,170.0,22899.021,33215.382,26.282,26.282,26.341,,,JALAN TENANG,1.867
jalan_tenang,Jalan Tenang,172.0,22900.417,33213.95,27.107,26.311,26.341,,,JALAN TENANG,1.74
jalan_tenang,Jalan Tenang,174.0,22901.813,33212.518,27.432,26.341,26.341,0.0,1.0,JALAN TENANG,1.613
jalan_tenang,Jalan Tenang,176.0,22903.209,33211.086,26.519,26.371,26.341,,,JALAN TENANG,1.486
jalan_tenang,Jalan Tenang,178.0,22904.605,33209.654,29.082,26.4,26.341,,,JALAN TENANG,1.359
jalan_tenang,Jalan Tenang,180.0,22906.001,33208.222,26.282,26.282,26.369,,,JALAN TENANG,1.232
jalan_tenang,Jalan Tenang,182.0,22907.489,33206.888,26.306,26.306,26.369,1.133,1.0,JALAN TENANG,1.239
jalan_tenang,Jalan Tenang,184.0,22909.014,33205.594,26.607,26.369,26.369,0.781,1.0,JALAN TENANG,1.301
jalan_tenang,Jalan Tenang,186.0,22910.539,33204.3,26.432,26.432,26.432,0.781,1.0,JALAN TENANG,1.363
jalan_tenang,Jalan Tenang,188.0,22912.065,33203.007,26.556,26.556,26.432,0.625,1.0,JALAN TENANG,1.425
jalan_tenang,Jalan Tenang,190.0,22913.533,33201.652,26.469,26.469,26.432,0.469,1.0,JALAN TENANG,1.404
jalan_tenang,Jalan Tenang,192.0,22914.931,33200.222,26.206,26.206,26.469,,,JALAN TENANG,1.28
jalan_tenang,Jalan Tenang,194.0,22916.329,33198.792,26.207,26.207,26.469,,,JALAN TENANG,1.155
jalan_tenang,Jalan Tenang,196.0,22917.727,33197.361,26.432,26.469,26.469,,,JALAN TENANG,1.03
jalan_tenang,Jalan Tenang,198.0,22919.213,33196.024,26.306,26.732,26.732,,,JALAN TENANG,1.034
jalan_tenang,Jalan Tenang,200.0,22920.711,33194.698,27.594,27.011,27.011,,,JALAN TENANG,1.054
jalan_tenang,Jalan Tenang,202.0,22922.209,33193.373,26.852,27.291,27.291,,,JALAN TENANG,1.074
jalan_tenang,Jalan Tenang,204.0,22923.706,33192.047,27.519,27.571,27.571,,,JALAN TENANG,1.094
jalan_tenang,Jalan Tenang,206.0,22925.204,33190.722,27.369,27.85,27.85,,,JALAN TENANG,1.114
jalan_tenang,Jalan Tenang,208.0,22926.539,33189.237,29.01,28.13,28.13,,,JALAN TENANG,0.907
jalan_tenang,Jalan Tenang,210.0,22927.835,33187.713,27.81,28.409,28.409,,,JALAN TENANG,0.644
jalan_tenang,Jalan Tenang,212.0,22929.13,33186.19,29.46,28.689,28.653,,,JALAN TENANG,0.382
jalan_tenang,Jalan Tenang,214.0,22930.426,33184.666,28.144,28.969,28.653,,,JALAN TENANG,0.12
jalan_tenang,Jalan Tenang,216.0,22931.722,33183.143,30.319,28.653,28.653,,,JALAN TENANG,0.143
