path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
leedon_park,1,Leedon Park_Cam4_20251218_091354_778_A.jpeg,,11.463,5.732,,,,
leedon_park,2,Leedon Park_Cam4_20251218_091400_185_A.jpeg,,21.069,16.266,,,,
leedon_park,3,Leedon Park_Cam4_20251218_091404_990_A.jpeg,,33.612,27.34,,,,
leedon_park,4,Leedon Park_Cam4_20251218_091410_998_A.jpeg,,57.786,45.699,,,,
leedon_park,5,Leedon Park_Cam4_20251218_091420_615_A.jpeg,,70.636,64.211,,,,
leedon_park,6,Leedon Park_Cam4_20251218_091425_418_A.jpeg,,76.711,73.673,,,,
leedon_park,7,Leedon Park_Cam4_20251218_091427_830_A.jpeg,,86.418,81.564,,,,
leedon_park,8,Leedon Park_Cam4_20251218_091432_035_A.jpeg,,120.022,103.22,,,,
leedon_park,9,Leedon Park_Cam4_20251218_091442_243_A.jpeg,,129.175,124.598,,,,
leedon_park,10,Leedon Park_Cam4_20251218_091444_644_A.jpeg,,138.137,133.656,,,,
leedon_park,11,Leedon Park_Cam4_20251218_091447_046_A.jpeg,,152.197,145.167,,,,
leedon_park,12,Leedon Park_Cam4_20251218_091451_250_A.jpeg,,160.449,156.323,,,,
leedon_park,13,Leedon Park_Cam4_20251218_091453_653_A.jpeg,,182.972,171.711,,,,
leedon_park,14,Leedon Park_Cam4_20251218_091702_075_A.jpeg,,192.771,187.872,188.0,17.755,-1.25,1.0
leedon_park,15,Leedon Park_Cam4_20251218_091707_482_A.jpeg,,204.762,198.766,198.0,17.555,-3.594,1.0
leedon_park,16,Leedon Park_Cam4_20251218_091712_287_A.jpeg,,215.306,210.034,210.0,17.08,-2.969,1.0
leedon_park,17,Leedon Park_Cam4_20251218_091715_893_A.jpeg,,227.337,221.322,222.0,16.768,-2.863,1.0
leedon_park,18,Leedon Park_Cam4_20251218_091719_497_A.jpeg,,233.14,230.239,230.0,16.434,,
leedon_park,19,Leedon Park_Cam4_20251218_091721_300_A.jpeg,,244.489,238.815,238.0,16.051,,
leedon_park,20,Leedon Park_Cam4_20251218_091724_902_A.jpeg,,271.524,258.007,258.0,15.679,,
leedon_park,21,Leedon Park_Cam4_20251218_091733_309_A.jpeg,,282.957,277.241,278.0,16.373,0.0,1.0
leedon_park,22,Leedon Park_Cam4_20251218_091736_310_A.jpeg,,293.814,288.386,288.0,16.313,,
leedon_park,23,Leedon Park_Cam4_20251218_091739_315_A.jpeg,,304.184,298.999,298.0,15.225,,
leedon_park,24,Leedon Park_Cam4_20251218_091743_528_A.jpeg,,328.936,316.56,316.0,13.474,,
leedon_park,25,Leedon Park_Cam4_20251218_091841_688_A.jpeg,,340.573,334.754,334.0,12.335,-0.312,1.0
