path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lorong_pisang_batu,1,Lorong Pisang Batu_Cam4_20251122_100222_971_C.jpeg,,14.155,7.077,8.0,28.619,,
lorong_pisang_batu,2,Lorong Pisang Batu_Cam4_20251122_100229_578_C.jpeg,,36.928,25.541,26.0,27.283,-1.184,1.0
lorong_pisang_batu,3,Lorong Pisang Batu_Cam4_20251122_100238_592_C.jpeg,,48.255,42.591,42.0,28.148,,
lorong_pisang_batu,4,Lorong Pisang Batu_Cam4_20251122_100243_399_C.jpeg,,59.587,53.921,54.0,29.017,,
lorong_pisang_batu,5,Lorong Pisang Batu_Cam4_20251122_100248_203_C.jpeg,,70.336,64.961,64.0,28.88,-0.833,1.0
lorong_pisang_batu,6,Lorong Pisang Batu_Cam4_20251122_100253_609_C.jpeg,,77.681,74.009,74.0,29.13,2.708,1.0
lorong_pisang_batu,7,Lorong Pisang Batu_Cam4_20251122_100256_012_C.jpeg,,86.235,81.958,82.0,29.23,,
lorong_pisang_batu,8,Lorong Pisang Batu_Cam4_20251122_100259_015_C.jpeg,,116.28,101.258,102.0,31.214,,
lorong_pisang_batu,9,Lorong Pisang Batu_Cam4_20251122_100309_830_C.jpeg,,127.752,122.016,122.0,31.919,,
lorong_pisang_batu,10,Lorong Pisang Batu_Cam4_20251122_100315_246_C.jpeg,,138.029,132.89,132.0,32.758,,
lorong_pisang_batu,11,Lorong Pisang Batu_Cam4_20251122_100318_849_C.jpeg,,161.643,149.836,150.0,32.717,,
lorong_pisang_batu,12,Lorong Pisang Batu_Cam4_20251122_100327_855_C.jpeg,,173.733,167.688,168.0,33.608,,
lorong_pisang_batu,13,Lorong Pisang Batu_Cam4_20251122_100333_265_C.jpeg,,183.875,178.804,178.0,34.258,,
lorong_pisang_batu,14,Lorong Pisang Batu_Cam4_20251122_100337_472_C.jpeg,,207.43,195.652,196.0,35.166,0.625,1.0
lorong_pisang_batu,15,Lorong Pisang Batu_Cam4_20251122_100348_304_C.jpeg,,219.033,213.231,214.0,35.441,,
lorong_pisang_batu,16,Lorong Pisang Batu_Cam4_20251122_100353_113_C.jpeg,,242.131,230.582,230.0,36.36,,
lorong_pisang_batu,17,Lorong Pisang Batu_Cam4_20251122_100402_731_C.jpeg,,251.88,247.005,248.0,35.81,-2.948,1.0
lorong_pisang_batu,18,Lorong Pisang Batu_Cam4_20251122_100406_215_C.jpeg,,278.403,265.141,266.0,35.28,-1.042,1.0
lorong_pisang_batu,19,Lorong Pisang Batu_Cam4_20251122_100416_776_C.jpeg,,290.141,284.272,284.0,35.616,,
lorong_pisang_batu,20,Lorong Pisang Batu_Cam4_20251122_100428_185_C.jpeg,,305.682,297.912,298.0,34.516,,
lorong_pisang_batu,21,Lorong Pisang Batu_Cam4_20251122_100449_209_C.jpeg,,331.295,318.489,318.0,34.496,1.562,1.0
lorong_pisang_batu,22,Lorong Pisang Batu_Cam4_20251122_100458_816_C.jpeg,,343.855,337.575,338.0,35.085,,
lorong_pisang_batu,23,Lorong Pisang Batu_Cam4_20251122_100503_620_C.jpeg,,404.174,374.014,374.0,36.316,,
lorong_pisang_batu,24,Lorong Pisang Batu_Cam4_20251122_100648_146_C.jpeg,,413.872,409.023,410.0,35.169,,
lorong_pisang_batu,25,Lorong Pisang Batu_Cam4_20251122_100651_150_C.jpeg,,449.304,431.588,432.0,34.458,,
lorong_pisang_batu,26,Lorong Pisang Batu_Cam4_20251122_100857_649_C.jpeg,,461.22,455.262,456.0,34.389,,
lorong_pisang_batu,27,Lorong Pisang Batu_Cam4_20251122_100901_254_C.jpeg,,471.814,466.517,466.0,34.377,,
lorong_pisang_batu,28,Lorong Pisang Batu_Cam4_20251122_100904_857_C.jpeg,,504.639,488.227,,,,
lorong_pisang_batu,29,Lorong Pisang Batu_Cam4_20251122_101218_911_C.jpeg,,563.15,533.895,534.0,29.501,,
lorong_pisang_batu,30,Lorong Pisang Batu_Cam4_20251122_101435_016_C.jpeg,,595.284,579.217,580.0,27.187,-3.438,1.0
