path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lorong_pisang_emas,1,Lorong Pisang Emas_Cam4_20251122_101234_527_C.jpeg,,14.109,7.055,8.0,29.774,,
lorong_pisang_emas,2,Lorong Pisang Emas_Cam4_20251122_101241_135_C.jpeg,,36.819,25.464,26.0,30.211,,
lorong_pisang_emas,3,Lorong Pisang Emas_Cam4_20251122_101250_147_C.jpeg,,47.605,42.212,42.0,32.124,,
lorong_pisang_emas,4,Lorong Pisang Emas_Cam4_20251122_101253_751_C.jpeg,,72.542,60.073,60.0,31.701,-2.485,1.0
lorong_pisang_emas,5,Lorong Pisang Emas_Cam4_20251122_101302_160_C.jpeg,,82.838,77.69,78.0,31.254,-2.485,1.0
lorong_pisang_emas,6,Lorong Pisang Emas_Cam4_20251122_101305_765_C.jpeg,,94.561,88.699,88.0,31.005,-2.485,1.0
lorong_pisang_emas,7,Lorong Pisang Emas_Cam4_20251122_101308_766_C.jpeg,,103.48,99.021,100.0,,,
lorong_pisang_emas,8,Lorong Pisang Emas_Cam4_20251122_101311_169_C.jpeg,,115.171,109.326,110.0,,,
lorong_pisang_emas,9,Lorong Pisang Emas_Cam4_20251122_101314_773_C.jpeg,,122.481,118.826,118.0,30.235,-1.553,1.0
lorong_pisang_emas,10,Lorong Pisang Emas_Cam4_20251122_101316_575_C.jpeg,,132.036,127.258,128.0,30.011,-2.485,1.0
lorong_pisang_emas,11,Lorong Pisang Emas_Cam4_20251122_101318_978_C.jpeg,,140.689,136.362,136.0,29.812,-2.485,1.0
lorong_pisang_emas,12,Lorong Pisang Emas_Cam4_20251122_101321_381_C.jpeg,,150.65,145.67,146.0,29.564,-2.485,1.0
lorong_pisang_emas,13,Lorong Pisang Emas_Cam4_20251122_101325_585_C.jpeg,,160.786,155.718,156.0,29.315,-2.485,1.0
lorong_pisang_emas,14,Lorong Pisang Emas_Cam4_20251122_101328_589_C.jpeg,,172.206,166.496,166.0,29.067,-1.242,1.0
lorong_pisang_emas,15,Lorong Pisang Emas_Cam4_20251122_101332_191_C.jpeg,,179.687,175.946,176.0,29.067,3.213,1.0
lorong_pisang_emas,16,Lorong Pisang Emas_Cam4_20251122_101337_468_C.jpeg,,207.012,193.349,194.0,29.067,,
lorong_pisang_emas,17,Lorong Pisang Emas_Cam4_20251122_101347_079_C.jpeg,,340.651,273.831,274.0,,,
lorong_pisang_emas,18,Lorong Pisang Emas_Cam4_20251122_101426_606_C.jpeg,,669.463,505.057,,,,
lorong_pisang_emas,19,Lorong Pisang Emas_Cam4_20251122_101909_573_C.jpeg,,691.543,680.503,680.0,40.245,,
lorong_pisang_emas,20,Lorong Pisang Emas_Cam4_20251122_101919_058_C.jpeg,,702.989,697.266,698.0,38.257,,
lorong_pisang_emas,21,Lorong Pisang Emas_Cam4_20251122_101923_264_C.jpeg,,715.481,709.235,710.0,38.323,3.75,1.0
lorong_pisang_emas,22,Lorong Pisang Emas_Cam4_20251122_101927_473_C.jpeg,,722.473,718.977,718.0,38.674,4.375,1.0
lorong_pisang_emas,23,Lorong Pisang Emas_Cam4_20251122_101929_876_C.jpeg,,749.418,735.945,736.0,39.424,3.125,1.0
lorong_pisang_emas,24,Lorong Pisang Emas_Cam4_20251122_101940_689_C.jpeg,,759.106,754.262,754.0,39.774,,
lorong_pisang_emas,25,Lorong Pisang Emas_Cam4_20251122_101946_094_C.jpeg,,771.003,765.055,766.0,39.774,0.625,1.0
lorong_pisang_emas,26,Lorong Pisang Emas_Cam4_20251122_102015_413_C.jpeg,,778.518,774.76,774.0,39.823,0.0,1.0
lorong_pisang_emas,27,Lorong Pisang Emas_Cam4_20251122_102018_415_C.jpeg,,809.271,793.895,794.0,41.712,,
lorong_pisang_emas,28,Lorong Pisang Emas_Cam4_20251122_102028_637_C.jpeg,,818.984,814.127,814.0,41.918,,
lorong_pisang_emas,29,Lorong Pisang Emas_Cam4_20251122_102030_439_C.jpeg,,841.748,830.366,830.0,44.13,,
lorong_pisang_emas,30,Lorong Pisang Emas_Cam4_20251122_102040_654_C.jpeg,,852.622,847.185,848.0,43.537,,
lorong_pisang_emas,31,Lorong Pisang Emas_Cam4_20251122_102049_060_C.jpeg,,863.867,858.244,858.0,41.702,,
lorong_pisang_emas,32,Lorong Pisang Emas_Cam4_20251122_102053_264_C.jpeg,,875.053,869.46,870.0,38.608,,
lorong_pisang_emas,33,Lorong Pisang Emas_Cam4_20251122_102057_468_C.jpeg,,897.961,886.507,886.0,33.78,,
lorong_pisang_emas,34,Lorong Pisang Emas_Cam4_20251122_102106_483_C.jpeg,,907.74,902.85,902.0,31.18,,
lorong_pisang_emas,35,Lorong Pisang Emas_Cam4_20251122_102109_486_C.jpeg,,919.244,913.492,914.0,30.13,,
lorong_pisang_emas,36,Lorong Pisang Emas_Cam4_20251122_102114_289_C.jpeg,,930.846,925.045,926.0,30.374,1.376,1.0
lorong_pisang_emas,37,Lorong Pisang Emas_Cam4_20251122_102119_694_C.jpeg,,940.926,935.886,936.0,29.974,,
lorong_pisang_emas,38,Lorong Pisang Emas_Cam4_20251122_102146_139_C.jpeg,,1012.082,976.504,976.0,38.949,,
lorong_pisang_emas,39,Lorong Pisang Emas_Cam4_20251122_102216_646_C.jpeg,,1067.493,1039.788,1040.0,39.06,,
lorong_pisang_emas,40,Lorong Pisang Emas_Cam4_20251122_102236_483_C.jpeg,,1180.784,1124.138,1124.0,39.951,,
