path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lorong_pisang_raja,1,Lorong Pisang Raja_Cam4_20251122_100910_863_C.jpeg,,13.131,6.566,6.0,32.58,,
lorong_pisang_raja,2,Lorong Pisang Raja_Cam4_20251122_100918_673_C.jpeg,,24.305,18.718,18.0,31.805,0.833,1.0
lorong_pisang_raja,3,Lorong Pisang Raja_Cam4_20251122_100922_878_C.jpeg,,31.686,27.996,28.0,32.105,,
lorong_pisang_raja,4,Lorong Pisang Raja_Cam4_20251122_100925_280_C.jpeg,,59.103,45.394,46.0,34.772,,
lorong_pisang_raja,5,Lorong Pisang Raja_Cam4_20251122_100934_893_C.jpeg,,67.671,63.387,64.0,36.613,,
lorong_pisang_raja,6,Lorong Pisang Raja_Cam4_20251122_100937_896_C.jpeg,,80.098,73.885,74.0,33.313,,
lorong_pisang_raja,7,Lorong Pisang Raja_Cam4_20251122_100942_702_C.jpeg,,88.242,84.17,84.0,32.011,0.0,1.0
lorong_pisang_raja,8,Lorong Pisang Raja_Cam4_20251122_100945_105_C.jpeg,,115.723,101.983,102.0,32.111,0.0,1.0
lorong_pisang_raja,9,Lorong Pisang Raja_Cam4_20251122_100954_116_C.jpeg,,125.204,120.463,120.0,32.211,0.625,1.0
lorong_pisang_raja,10,Lorong Pisang Raja_Cam4_20251122_100957_721_C.jpeg,,137.03,131.117,132.0,32.311,0.625,1.0
lorong_pisang_raja,11,Lorong Pisang Raja_Cam4_20251122_101000_723_C.jpeg,,146.162,141.596,142.0,32.311,0.0,1.0
lorong_pisang_raja,12,Lorong Pisang Raja_Cam4_20251122_101003_726_C.jpeg,,154.993,150.578,150.0,32.311,-0.625,1.0
lorong_pisang_raja,13,Lorong Pisang Raja_Cam4_20251122_101006_730_C.jpeg,,160.838,157.916,158.0,32.261,0.0,1.0
