path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ming_teck_park,1,Ming Teck Park_Cam4_20251218_083238_633_A.jpeg,,10.184,5.092,6.0,19.629,0.312,1.0
ming_teck_park,2,Ming Teck Park_Cam4_20251218_083242_236_A.jpeg,,21.144,15.664,16.0,19.629,3.125,1.0
ming_teck_park,3,Ming Teck Park_Cam4_20251218_083245_842_A.jpeg,,30.244,25.694,26.0,19.979,,
ming_teck_park,4,Ming Teck Park_Cam4_20251218_083248_845_A.jpeg,,44.901,37.572,38.0,19.929,0.625,1.0
ming_teck_park,5,Ming Teck Park_Cam4_20251218_083253_649_A.jpeg,,54.442,49.672,50.0,20.129,,
ming_teck_park,6,Ming Teck Park_Cam4_20251218_083256_651_A.jpeg,,60.178,57.31,58.0,20.296,,
ming_teck_park,7,Ming Teck Park_Cam4_20251218_083258_454_A.jpeg,,71.959,66.069,66.0,20.794,,
ming_teck_park,8,Ming Teck Park_Cam4_20251218_083302_658_A.jpeg,,98.57,85.264,86.0,21.024,-8.37,1.0
ming_teck_park,9,Ming Teck Park_Cam4_20251218_083314_673_A.jpeg,,107.162,102.866,102.0,21.028,2.422,1.0
ming_teck_park,10,Ming Teck Park_Cam4_20251218_083318_752_A.jpeg,,119.906,113.534,114.0,21.553,,
ming_teck_park,11,Ming Teck Park_Cam4_20251218_083324_159_A.jpeg,,154.505,137.205,138.0,21.528,,
ming_teck_park,12,Ming Teck Park_Cam4_20251218_085143_763_A.jpeg,,209.952,182.228,182.0,20.348,,
ming_teck_park,13,Ming Teck Park_Cam4_20251218_085158_189_A.jpeg,,267.78,238.866,238.0,20.875,,
ming_teck_park,14,Ming Teck Park_Cam4_20251218_085213_818_A.jpeg,,278.321,273.051,274.0,20.045,,
ming_teck_park,15,Ming Teck Park_Cam4_20251218_085216_222_A.jpeg,,289.199,283.76,284.0,18.886,,
ming_teck_park,16,Ming Teck Park_Cam4_20251218_085219_225_A.jpeg,,294.99,292.095,292.0,17.794,,
ming_teck_park,17,Ming Teck Park_Cam4_20251218_085221_627_A.jpeg,,344.049,319.519,320.0,16.728,,
ming_teck_park,18,Ming Teck Park_Cam4_20251218_085245_650_A.jpeg,,350.889,347.469,348.0,16.2,,
ming_teck_park,19,Ming Teck Park_Cam4_20251218_085247_452_A.jpeg,,606.707,478.798,478.0,22.95,,
ming_teck_park,20,Ming Teck Park_Cam4_20260110_125307_602_A.jpeg,,663.119,634.913,,,,
