path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
mount_sinai_crescent,1,Mount Sinai Crescent_Cam4_20251219_083341_165_B.jpeg,,11.085,5.543,6.0,29.045,,
mount_sinai_crescent,2,Mount Sinai Crescent_Cam4_20251219_083347_771_B.jpeg,,21.143,16.114,16.0,28.754,,
mount_sinai_crescent,3,Mount Sinai Crescent_Cam4_20251219_083353_176_B.jpeg,,32.205,26.674,26.0,27.519,,
mount_sinai_crescent,4,Mount Sinai Crescent_Cam4_20251219_083357_378_B.jpeg,,42.873,37.539,38.0,26.494,,
mount_sinai_crescent,5,Mount Sinai Crescent_Cam4_20251219_083401_584_B.jpeg,,50.174,46.523,46.0,27.337,,
mount_sinai_crescent,6,Mount Sinai Crescent_Cam4_20251219_083404_589_B.jpeg,,60.379,55.276,56.0,25.999,,
mount_sinai_crescent,7,Mount Sinai Crescent_Cam4_20251219_083408_798_B.jpeg,,85.425,72.902,72.0,23.037,,
mount_sinai_crescent,8,Mount Sinai Crescent_Cam4_20251219_083511_882_B.jpeg,,96.341,90.883,90.0,22.021,,
mount_sinai_crescent,9,Mount Sinai Crescent_Cam4_20251219_083515_486_B.jpeg,,107.339,101.84,102.0,23.536,,
mount_sinai_crescent,10,Mount Sinai Crescent_Cam4_20251219_083518_490_B.jpeg,,114.337,110.838,110.0,23.147,,
mount_sinai_crescent,11,Mount Sinai Crescent_Cam4_20251219_083520_292_B.jpeg,,143.57,128.954,128.0,20.881,,
mount_sinai_crescent,12,Mount Sinai Crescent_Cam4_20251219_083526_781_B.jpeg,,152.261,147.916,148.0,19.79,,
mount_sinai_crescent,13,Mount Sinai Crescent_Cam4_20251219_083528_582_B.jpeg,,163.834,158.047,158.0,20.515,,
mount_sinai_crescent,14,Mount Sinai Crescent_Cam4_20251219_083530_985_B.jpeg,,175.377,169.605,170.0,21.357,,
mount_sinai_crescent,15,Mount Sinai Crescent_Cam4_20251219_083533_389_B.jpeg,,184.177,179.777,180.0,20.852,,
mount_sinai_crescent,16,Mount Sinai Crescent_Cam4_20251219_083535_062_B.jpeg,,193.325,188.751,188.0,19.675,,
mount_sinai_crescent,17,Mount Sinai Crescent_Cam4_20251219_083536_864_B.jpeg,,202.212,197.768,198.0,18.986,,
mount_sinai_crescent,18,Mount Sinai Crescent_Cam4_20251219_083538_666_B.jpeg,,283.929,243.07,244.0,20.459,,
mount_sinai_crescent,19,Mount Sinai Crescent_Cam4_20251219_084230_639_B.jpeg,,294.909,289.419,290.0,24.816,,
