path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
namly_garden,Namly Garden,0.0,23901.822,34077.654,10.836,11.497,11.497,,,NAMLY GARDEN,1.197
namly_garden,Namly Garden,2.0,23900.121,34076.602,11.497,11.497,11.497,,,NAMLY GARDEN,0.493
namly_garden,Namly Garden,4.0,23898.421,34075.549,11.598,11.598,11.497,,,NAMLY GARDEN,0.211
namly_garden,Namly Garden,6.0,23896.72,34074.497,11.983,11.463,11.463,,,NAMLY GARDEN,0.914
namly_garden,Namly Garden,8.0,23895.019,34073.444,11.005,11.328,11.349,,,NAMLY GARDEN,1.618
namly_garden,Namly Garden,10.0,23893.319,34072.392,12.448,11.194,11.349,,,NAMLY GARDEN,2.322
namly_garden,Namly Garden,12.0,23891.427,34071.833,10.862,11.349,11.349,,,NAMLY GARDEN,2.504
namly_garden,Namly Garden,14.0,23889.461,34071.469,10.924,11.504,11.504,,,NAMLY GARDEN,2.482
namly_garden,Namly Garden,16.0,23887.494,34071.104,11.2,11.659,11.659,,,NAMLY GARDEN,2.459
namly_garden,Namly Garden,18.0,23885.528,34070.739,14.347,11.806,11.806,,,NAMLY GARDEN,2.437
namly_garden,Namly Garden,20.0,23883.557,34070.412,13.572,11.952,11.806,,,NAMLY GARDEN,2.377
namly_garden,Namly Garden,22.0,23881.558,34070.386,11.447,11.873,11.806,,,NAMLY GARDEN,2.016
namly_garden,Namly Garden,24.0,23879.558,34070.36,10.26,11.793,11.793,,,NAMLY GARDEN,1.655
namly_garden,Namly Garden,26.0,23877.558,34070.333,14.947,11.714,11.714,,,NAMLY GARDEN,1.294
namly_garden,Namly Garden,28.0,23875.558,34070.307,15.022,11.635,11.635,,,NAMLY GARDEN,0.933
namly_garden,Namly Garden,30.0,23873.558,34070.281,15.122,11.556,11.556,,,NAMLY GARDEN,0.572
namly_garden,Namly Garden,32.0,23871.627,34069.8,15.197,11.476,11.476,,,NAMLY GARDEN,0.67
namly_garden,Namly Garden,34.0,23869.709,34069.234,15.197,11.397,11.397,,,NAMLY GARDEN,0.854
namly_garden,Namly Garden,36.0,23867.791,34068.668,11.088,11.318,11.397,,,NAMLY GARDEN,1.039
namly_garden,Namly Garden,38.0,23865.873,34068.102,11.238,11.238,11.397,,,NAMLY GARDEN,1.223
namly_garden,Namly Garden,40.0,23863.954,34067.536,11.338,11.526,11.526,,,NAMLY GARDEN,1.408
namly_garden,Namly Garden,42.0,23862.034,34066.977,11.488,11.814,11.814,,,NAMLY GARDEN,1.584
namly_garden,Namly Garden,44.0,23860.105,34066.448,11.588,12.102,12.102,,,NAMLY GARDEN,1.731
namly_garden,Namly Garden,46.0,23858.177,34065.918,11.688,12.39,12.39,,,NAMLY GARDEN,1.877
namly_garden,Namly Garden,48.0,23856.248,34065.389,11.788,12.44,12.44,,,NAMLY GARDEN,2.024
namly_garden,Namly Garden,50.0,23854.319,34064.86,11.888,12.49,12.49,,,NAMLY GARDEN,2.17
namly_garden,Namly Garden,52.0,23852.354,34064.567,17.198,12.539,12.539,,,NAMLY GARDEN,2.077
namly_garden,Namly Garden,54.0,23850.356,34064.486,17.7,12.589,12.589,,,NAMLY GARDEN,1.771
namly_garden,Namly Garden,56.0,23848.357,34064.404,17.733,12.639,12.639,,,NAMLY GARDEN,1.464
namly_garden,Namly Garden,58.0,23846.359,34064.323,17.75,12.689,12.689,,,NAMLY GARDEN,1.158
namly_garden,Namly Garden,60.0,23844.361,34064.241,17.373,12.739,12.739,,,NAMLY GARDEN,0.851
namly_garden,Namly Garden,62.0,23842.362,34064.16,17.41,12.789,12.789,,,NAMLY GARDEN,0.545
namly_garden,Namly Garden,64.0,23840.364,34064.078,12.788,12.839,12.839,,,NAMLY GARDEN,0.238
namly_garden,Namly Garden,66.0,23838.367,34064.16,12.888,12.888,12.888,,,NAMLY GARDEN,0.223
namly_garden,Namly Garden,68.0,23836.37,34064.269,13.038,13.038,13.038,,,NAMLY GARDEN,0.338
namly_garden,Namly Garden,70.0,23834.373,34064.378,13.138,13.138,13.138,6.25,1.0,NAMLY GARDEN,0.453
namly_garden,Namly Garden,72.0,23832.376,34064.487,13.238,13.238,13.238,5.625,1.0,NAMLY GARDEN,0.568
namly_garden,Namly Garden,74.0,23830.379,34064.596,13.388,13.388,13.388,6.25,1.0,NAMLY GARDEN,0.683
namly_garden,Namly Garden,76.0,23828.381,34064.705,13.488,13.488,13.488,6.25,1.0,NAMLY GARDEN,0.798
namly_garden,Namly Garden,78.0,23826.384,34064.814,13.638,13.638,13.638,6.25,1.0,NAMLY GARDEN,0.913
namly_garden,Namly Garden,80.0,23824.387,34064.923,13.738,13.738,13.738,6.875,1.0,NAMLY GARDEN,1.028
namly_garden,Namly Garden,82.0,23822.39,34065.032,13.888,13.888,13.888,6.25,1.0,NAMLY GARDEN,1.143
namly_garden,Namly Garden,84.0,23820.393,34065.141,14.038,14.038,14.038,6.25,1.0,NAMLY GARDEN,1.258
namly_garden,Namly Garden,86.0,23818.399,34065.267,14.138,14.138,14.138,5.0,1.0,NAMLY GARDEN,1.355
namly_garden,Namly Garden,88.0,23816.483,34065.841,14.238,14.238,14.238,,,NAMLY GARDEN,0.999
namly_garden,Namly Garden,90.0,23814.568,34066.416,14.288,14.288,14.288,,,NAMLY GARDEN,0.643
namly_garden,Namly Garden,92.0,23812.652,34066.99,15.288,14.422,14.422,5.625,1.0,NAMLY GARDEN,0.736
namly_garden,Namly Garden,94.0,23810.736,34067.564,14.588,14.555,14.555,5.625,1.0,NAMLY GARDEN,1.035
namly_garden,Namly Garden,96.0,23808.82,34068.138,14.688,14.688,14.688,,,NAMLY GARDEN,1.334
namly_garden,Namly Garden,98.0,23806.904,34068.712,14.738,14.738,14.738,,,NAMLY GARDEN,1.633
namly_garden,Namly Garden,100.0,23805.164,34069.694,14.838,14.838,14.838,5.625,1.0,NAMLY GARDEN,1.488
namly_garden,Namly Garden,102.0,23803.429,34070.689,14.988,14.988,14.988,6.875,1.0,NAMLY GARDEN,1.33
namly_garden,Namly Garden,104.0,23801.694,34071.684,15.138,15.138,15.138,6.875,1.0,NAMLY GARDEN,1.171
namly_garden,Namly Garden,106.0,23799.959,34072.679,15.288,15.288,15.288,5.625,1.0,NAMLY GARDEN,1.012
namly_garden,Namly Garden,108.0,23798.224,34073.674,15.388,15.388,15.388,5.0,1.0,NAMLY GARDEN,0.853
namly_garden,Namly Garden,110.0,23796.49,34074.671,15.438,15.438,15.438,4.375,1.0,NAMLY GARDEN,0.692
namly_garden,Namly Garden,112.0,23794.789,34075.723,15.538,15.538,15.538,4.375,1.0,NAMLY GARDEN,0.467
namly_garden,Namly Garden,114.0,23793.088,34076.775,15.638,15.638,15.638,5.0,1.0,NAMLY GARDEN,0.242
namly_garden,Namly Garden,116.0,23791.388,34077.827,15.738,15.738,15.738,5.0,1.0,NAMLY GARDEN,0.017
namly_garden,Namly Garden,118.0,23789.564,34078.634,15.838,15.838,15.838,5.0,1.0,NAMLY GARDEN,0.066
namly_garden,Namly Garden,120.0,23787.702,34079.363,15.938,15.938,15.938,5.0,1.0,NAMLY GARDEN,0.203
namly_garden,Namly Garden,122.0,23785.839,34080.092,16.038,16.038,16.038,5.625,1.0,NAMLY GARDEN,0.339
namly_garden,Namly Garden,124.0,23783.977,34080.82,16.138,16.138,16.138,5.625,1.0,NAMLY GARDEN,0.475
namly_garden,Namly Garden,126.0,23782.114,34081.549,16.288,16.288,16.288,6.25,1.0,NAMLY GARDEN,0.612
namly_garden,Namly Garden,128.0,23780.299,34082.384,16.388,16.388,16.388,6.25,1.0,NAMLY GARDEN,0.633
namly_garden,Namly Garden,130.0,23778.508,34083.274,16.538,16.538,16.538,,,NAMLY GARDEN,0.593
namly_garden,Namly Garden,132.0,23776.717,34084.164,16.638,16.638,16.638,,,NAMLY GARDEN,0.553
namly_garden,Namly Garden,134.0,23774.926,34085.054,16.688,16.931,16.931,,,NAMLY GARDEN,0.513
namly_garden,Namly Garden,136.0,23773.13,34085.932,16.738,17.224,17.224,,,NAMLY GARDEN,0.486
namly_garden,Namly Garden,138.0,23771.213,34086.504,17.597,17.487,17.487,,,NAMLY GARDEN,0.787
namly_garden,Namly Garden,140.0,23769.297,34087.075,18.022,17.751,17.751,,,NAMLY GARDEN,1.089
namly_garden,Namly Garden,142.0,23767.38,34087.647,18.285,18.014,17.969,,,NAMLY GARDEN,1.39
namly_garden,Namly Garden,144.0,23765.464,34088.219,19.247,18.127,17.969,,,NAMLY GARDEN,1.692
namly_garden,Namly Garden,146.0,23763.547,34088.791,18.422,17.969,17.969,,,NAMLY GARDEN,1.993
namly_garden,Namly Garden,148.0,23761.726,34089.608,18.397,17.812,17.812,,,NAMLY GARDEN,2.032
namly_garden,Namly Garden,150.0,23759.929,34090.485,22.059,17.654,17.654,,,NAMLY GARDEN,2.006
namly_garden,Namly Garden,152.0,23758.132,34091.363,22.126,17.496,17.496,,,NAMLY GARDEN,1.98
namly_garden,Namly Garden,154.0,23756.334,34092.24,17.338,17.338,17.438,,,NAMLY GARDEN,1.954
namly_garden,Namly Garden,156.0,23754.537,34093.117,17.388,17.388,17.438,,,NAMLY GARDEN,1.929
namly_garden,Namly Garden,158.0,23752.74,34093.995,17.438,17.438,17.438,1.875,1.0,NAMLY GARDEN,1.903
namly_garden,Namly Garden,160.0,23750.949,34094.883,17.488,17.488,17.488,2.5,1.0,NAMLY GARDEN,1.864
namly_garden,Namly Garden,162.0,23749.261,34095.957,17.588,17.588,17.588,,,NAMLY GARDEN,1.614
namly_garden,Namly Garden,164.0,23747.574,34097.031,17.638,17.638,17.638,,,NAMLY GARDEN,1.364
namly_garden,Namly Garden,166.0,23745.887,34098.104,19.038,17.667,17.667,,,NAMLY GARDEN,1.113
namly_garden,Namly Garden,168.0,23744.194,34099.169,17.738,17.696,17.696,,,NAMLY GARDEN,0.874
namly_garden,Namly Garden,170.0,23742.462,34100.169,20.61,17.724,17.724,,,NAMLY GARDEN,0.709
namly_garden,Namly Garden,172.0,23740.73,34101.169,18.672,17.753,17.753,,,NAMLY GARDEN,0.544
namly_garden,Namly Garden,174.0,23738.998,34102.17,18.672,17.781,17.781,,,NAMLY GARDEN,0.379
namly_garden,Namly Garden,176.0,23737.256,34103.151,17.81,17.81,17.81,,,NAMLY GARDEN,0.236
namly_garden,Namly Garden,178.0,23735.436,34103.98,17.947,17.947,17.81,,,NAMLY GARDEN,0.263
namly_garden,Namly Garden,180.0,23733.617,34104.81,17.997,17.997,17.922,0.781,1.0,NAMLY GARDEN,0.29
namly_garden,Namly Garden,182.0,23731.797,34105.639,17.788,17.788,17.922,0.312,1.0,NAMLY GARDEN,0.317
namly_garden,Namly Garden,184.0,23729.977,34106.469,17.922,17.922,17.872,-1.094,1.0,NAMLY GARDEN,0.344
namly_garden,Namly Garden,186.0,23728.157,34107.298,17.872,17.872,17.835,-2.969,1.0,NAMLY GARDEN,0.372
namly_garden,Namly Garden,188.0,23726.336,34108.124,17.835,17.835,17.835,-2.344,1.0,NAMLY GARDEN,0.402
namly_garden,Namly Garden,190.0,23724.514,34108.95,17.685,17.685,17.685,-1.875,1.0,NAMLY GARDEN,0.434
namly_garden,Namly Garden,192.0,23722.692,34109.775,17.685,17.685,17.685,-1.406,1.0,NAMLY GARDEN,0.466
namly_garden,Namly Garden,194.0,23720.87,34110.6,17.572,17.572,17.685,,,NAMLY GARDEN,0.498
namly_garden,Namly Garden,196.0,23719.048,34111.425,17.722,17.722,17.722,,,NAMLY GARDEN,0.53
namly_garden,Namly Garden,198.0,23717.24,34112.279,17.647,18.019,18.019,,,NAMLY GARDEN,0.53
namly_garden,Namly Garden,200.0,23715.457,34113.184,17.36,18.315,18.315,,,NAMLY GARDEN,0.473
namly_garden,Namly Garden,202.0,23713.673,34114.088,17.297,18.611,18.611,,,NAMLY GARDEN,0.417
namly_garden,Namly Garden,204.0,23711.889,34114.993,17.222,18.907,18.907,,,NAMLY GARDEN,0.361
namly_garden,Namly Garden,206.0,23710.105,34115.897,20.242,19.204,19.164,,,NAMLY GARDEN,0.305
namly_garden,Namly Garden,208.0,23708.322,34116.802,20.192,19.5,19.164,,,NAMLY GARDEN,0.249
namly_garden,Namly Garden,210.0,23706.538,34117.707,20.175,19.164,19.164,,,NAMLY GARDEN,0.192
namly_garden,Namly Garden,212.0,23704.754,34118.611,20.142,18.827,18.827,,,NAMLY GARDEN,0.136
namly_garden,Namly Garden,214.0,23702.97,34119.516,17.175,18.491,18.491,,,NAMLY GARDEN,0.08
namly_garden,Namly Garden,216.0,23701.187,34120.42,16.725,18.121,18.121,,,NAMLY GARDEN,0.024
namly_garden,Namly Garden,218.0,23699.403,34121.325,16.625,17.751,17.751,,,NAMLY GARDEN,0.032
namly_garden,Namly Garden,220.0,23697.619,34122.23,16.542,17.38,17.38,,,NAMLY GARDEN,0.089
namly_garden,Namly Garden,222.0,23695.769,34122.981,16.475,17.01,17.01,,,NAMLY GARDEN,0.022
namly_garden,Namly Garden,224.0,23693.889,34123.664,16.417,16.639,16.639,,,NAMLY GARDEN,0.208
namly_garden,Namly Garden,226.0,23692.009,34124.346,16.269,16.269,16.269,,,NAMLY GARDEN,0.393
namly_garden,Namly Garden,228.0,23690.13,34125.029,16.194,16.194,16.194,,,NAMLY GARDEN,0.578
namly_garden,Namly Garden,230.0,23688.25,34125.712,16.119,16.119,16.119,-3.438,1.0,NAMLY GARDEN,0.763
namly_garden,Namly Garden,232.0,23686.37,34126.395,16.069,16.069,16.069,-3.125,1.0,NAMLY GARDEN,0.949
namly_garden,Namly Garden,234.0,23684.49,34127.078,15.994,15.994,15.994,-2.813,1.0,NAMLY GARDEN,1.134
namly_garden,Namly Garden,236.0,23682.671,34127.903,15.944,15.944,15.944,-2.5,1.0,NAMLY GARDEN,1.165
namly_garden,Namly Garden,238.0,23680.874,34128.781,15.894,15.894,15.894,-1.875,1.0,NAMLY GARDEN,1.138
namly_garden,Namly Garden,240.0,23679.077,34129.659,15.869,15.869,15.869,-1.25,1.0,NAMLY GARDEN,1.112
namly_garden,Namly Garden,242.0,23677.28,34130.537,15.844,15.844,15.844,-0.5,1.0,NAMLY GARDEN,1.085
namly_garden,Namly Garden,244.0,23675.483,34131.415,15.844,15.844,15.844,-0.5,1.0,NAMLY GARDEN,1.059
namly_garden,Namly Garden,248.0,23671.889,34133.171,15.844,15.844,15.844,-0.5,1.0,NAMLY GARDEN,1.006
namly_garden,Namly Garden,250.0,23670.092,34134.049,15.819,15.819,15.819,-0.75,1.0,NAMLY GARDEN,0.98
namly_garden,Namly Garden,252.0,23668.295,34134.927,15.794,15.794,15.794,-1.562,1.0,NAMLY GARDEN,0.954
namly_garden,Namly Garden,254.0,23666.498,34135.805,15.769,15.769,15.769,-2.187,1.0,NAMLY GARDEN,0.928
namly_garden,Namly Garden,256.0,23664.701,34136.683,15.719,15.719,15.719,-2.5,1.0,NAMLY GARDEN,0.902
namly_garden,Namly Garden,258.0,23662.914,34137.581,15.644,15.644,15.644,-3.125,1.0,NAMLY GARDEN,0.854
namly_garden,Namly Garden,260.0,23661.183,34138.582,15.594,15.594,15.594,-3.125,1.0,NAMLY GARDEN,0.688
namly_garden,Namly Garden,262.0,23659.452,34139.584,15.519,15.519,15.519,-2.813,1.0,NAMLY GARDEN,0.521
namly_garden,Namly Garden,264.0,23657.721,34140.586,15.469,15.469,15.469,-3.125,1.0,NAMLY GARDEN,0.354
