path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
namly_garden,1,Namly Garden_Cam4_20251217_084816_820_B.jpeg,,10.565,5.282,6.0,11.463,,
namly_garden,2,Namly Garden_Cam4_20251217_084909_706_B.jpeg,,19.78,15.172,16.0,11.659,,
namly_garden,3,Namly Garden_Cam4_20251217_084913_310_B.jpeg,,30.316,25.048,26.0,11.714,,
namly_garden,4,Namly Garden_Cam4_20251217_084921_118_B.jpeg,,41.591,35.954,36.0,11.397,,
namly_garden,5,Namly Garden_Cam4_20251217_084925_926_B.jpeg,,50.942,46.267,46.0,12.39,,
namly_garden,6,Namly Garden_Cam4_20251217_084929_536_B.jpeg,,64.283,57.613,58.0,12.689,,
namly_garden,7,Namly Garden_Cam4_20251217_084934_340_B.jpeg,,85.928,75.106,76.0,13.488,6.25,1.0
namly_garden,8,Namly Garden_Cam4_20251217_084942_151_B.jpeg,,98.062,91.995,92.0,14.422,5.625,1.0
namly_garden,9,Namly Garden_Cam4_20251217_084946_356_B.jpeg,,109.929,103.995,104.0,15.138,6.875,1.0
namly_garden,10,Namly Garden_Cam4_20251217_084950_571_B.jpeg,,116.486,113.207,114.0,15.638,5.0,1.0
namly_garden,11,Namly Garden_Cam4_20251217_084954_175_B.jpeg,,126.687,121.587,122.0,16.038,5.625,1.0
namly_garden,12,Namly Garden_Cam4_20251217_084959_580_B.jpeg,,135.921,131.304,132.0,16.638,,
namly_garden,13,Namly Garden_Cam4_20251217_085003_786_B.jpeg,,146.396,141.159,142.0,17.969,,
namly_garden,14,Namly Garden_Cam4_20251217_085009_797_B.jpeg,,159.888,153.142,154.0,17.438,,
namly_garden,15,Namly Garden_Cam4_20251217_085053_053_B.jpeg,,167.755,163.822,164.0,17.638,,
namly_garden,16,Namly Garden_Cam4_20251217_085056_657_B.jpeg,,175.777,171.766,172.0,17.753,,
namly_garden,17,Namly Garden_Cam4_20251217_085101_462_B.jpeg,,186.434,181.106,182.0,17.922,0.312,1.0
namly_garden,18,Namly Garden_Cam4_20251217_085106_267_B.jpeg,,197.281,191.857,192.0,17.685,-1.406,1.0
namly_garden,19,Namly Garden_Cam4_20251217_085110_474_B.jpeg,,220.615,208.948,208.0,19.164,,
namly_garden,20,Namly Garden_Cam4_20251217_085117_686_B.jpeg,,234.541,227.578,228.0,16.194,,
namly_garden,21,Namly Garden_Cam4_20251217_085121_291_B.jpeg,,257.693,246.117,248.0,15.844,-0.5,1.0
namly_garden,22,Namly Garden_Cam4_20251217_085127_297_B.jpeg,,268.919,263.306,264.0,15.469,-3.125,1.0
namly_garden,23,Namly Garden_Cam4_20251217_085130_301_B.jpeg,,296.664,282.792,282.0,15.783,,
namly_garden,24,Namly Garden_Cam4_20251217_085137_523_B.jpeg,,308.534,302.599,302.0,14.554,,
namly_garden,25,Namly Garden_Cam4_20251217_085140_527_B.jpeg,,331.797,320.165,320.0,15.907,,
namly_garden,26,Namly Garden_Cam4_20251217_085145_935_B.jpeg,,342.568,337.183,338.0,14.075,,
namly_garden,27,Namly Garden_Cam4_20251217_085148_338_B.jpeg,,354.235,348.402,348.0,12.472,,
namly_garden,28,Namly Garden_Cam4_20251217_085151_340_B.jpeg,,365.573,359.904,360.0,11.442,,
namly_garden,29,Namly Garden_Cam4_20251217_085154_345_B.jpeg,,375.445,370.509,370.0,11.505,,
namly_garden,30,Namly Garden_Cam4_20251217_085157_351_B.jpeg,,381.145,378.295,378.0,10.7,,
namly_garden,31,Namly Garden_Cam4_20251217_085159_752_B.jpeg,,391.053,386.099,386.0,9.896,,
namly_garden,32,Namly Garden_Cam4_20251217_085203_958_B.jpeg,,401.743,396.398,396.0,9.417,,
namly_garden,33,Namly Garden_Cam4_20251217_085208_169_B.jpeg,,411.829,406.786,406.0,9.496,1.897,1.0
namly_garden,34,Namly Garden_Cam4_20251217_085223_192_B.jpeg,,423.71,417.769,418.0,9.711,0.498,1.0
namly_garden,35,Namly Garden_Cam4_20251217_085227_997_B.jpeg,,434.656,429.183,430.0,9.618,-0.375,1.0
namly_garden,36,Namly Garden_Cam4_20251217_085232_201_B.jpeg,,745.348,590.002,590.0,16.194,3.519,1.0
namly_garden,37,Namly Garden_Cam4_20251217_085511_896_B.jpeg,,753.092,749.22,750.0,13.347,,
namly_garden,38,Namly Garden_Cam4_20251217_085513_699_B.jpeg,,764.125,758.609,758.0,12.822,,
namly_garden,39,Namly Garden_Cam4_20251217_085516_104_B.jpeg,,833.731,798.928,798.0,12.285,,
namly_garden,40,Namly Garden_Cam4_20251217_085553_351_B.jpeg,,845.33,839.531,840.0,12.43,,
namly_garden,41,Namly Garden_Cam4_20251217_085605_853_B.jpeg,,856.171,850.751,850.0,12.566,,
namly_garden,42,Namly Garden_Cam4_20251217_085617_141_B.jpeg,,879.226,867.699,868.0,13.23,11.25,2.0
namly_garden,43,Namly Garden_Cam4_20251217_085644_178_B.jpeg,,890.465,884.846,884.0,14.93,10.0,2.0
namly_garden,44,Namly Garden_Cam4_20251217_085702_808_B.jpeg,,902.305,896.385,896.0,16.28,11.25,2.0
namly_garden,45,Namly Garden_Cam4_20251217_085720_835_B.jpeg,,925.11,913.707,914.0,18.96,,
namly_garden,46,Namly Garden_Cam4_20251217_085753_280_B.jpeg,,936.242,930.676,930.0,21.167,,
namly_garden,47,Namly Garden_Cam4_20251217_085810_108_B.jpeg,,947.731,941.987,942.0,22.151,,
namly_garden,48,Namly Garden_Cam4_20251217_085826_928_B.jpeg,,958.763,953.247,954.0,23.426,,
namly_garden,49,Namly Garden_Cam4_20251217_085846_154_B.jpeg,,1495.83,1227.296,,,,
