path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
namly_rise,Namly Rise,0.0,23596.915,34246.399,15.599,18.951,18.951,,,NAMLY RISE,3.404
namly_rise,Namly Rise,2.0,23597.938,34248.118,17.141,18.951,19.177,,,NAMLY RISE,3.215
namly_rise,Namly Rise,4.0,23598.961,34249.836,17.739,19.403,19.403,,,NAMLY RISE,3.027
namly_rise,Namly Rise,6.0,23599.984,34251.555,17.676,19.856,19.856,,,NAMLY RISE,2.838
namly_rise,Namly Rise,8.0,23601.007,34253.274,17.707,20.583,20.583,,,NAMLY RISE,2.65
namly_rise,Namly Rise,10.0,23602.03,34254.992,20.48,21.31,21.31,,,NAMLY RISE,2.461
namly_rise,Namly Rise,12.0,23602.856,34256.811,23.986,22.038,22.038,,,NAMLY RISE,2.494
namly_rise,Namly Rise,14.0,23603.649,34258.647,24.097,22.765,22.765,,,NAMLY RISE,2.563
namly_rise,Namly Rise,16.0,23604.442,34260.483,25.379,23.492,23.492,,,NAMLY RISE,2.632
namly_rise,Namly Rise,18.0,23605.235,34262.319,24.519,24.22,24.22,,,NAMLY RISE,2.702
namly_rise,Namly Rise,20.0,23606.029,34264.155,25.609,24.947,24.947,,,NAMLY RISE,2.771
namly_rise,Namly Rise,22.0,23606.847,34265.98,25.324,25.23,25.23,,,NAMLY RISE,2.812
namly_rise,Namly Rise,24.0,23607.703,34267.788,21.774,25.514,25.514,,,NAMLY RISE,2.813
namly_rise,Namly Rise,26.0,23608.558,34269.595,18.324,25.703,25.703,,,NAMLY RISE,2.814
namly_rise,Namly Rise,28.0,23609.414,34271.403,23.582,25.893,25.893,4.739,1.0,NAMLY RISE,2.815
namly_rise,Namly Rise,30.0,23610.269,34273.211,26.082,26.082,25.893,,,NAMLY RISE,2.816
namly_rise,Namly Rise,32.0,23611.125,34275.019,28.095,25.968,25.893,,,NAMLY RISE,2.817
namly_rise,Namly Rise,34.0,23611.975,34276.829,28.083,25.67,25.67,,,NAMLY RISE,2.824
namly_rise,Namly Rise,36.0,23612.82,34278.642,25.739,25.371,25.371,,,NAMLY RISE,2.836
namly_rise,Namly Rise,38.0,23613.665,34280.454,25.289,24.588,24.588,,,NAMLY RISE,2.849
namly_rise,Namly Rise,40.0,23614.51,34282.267,25.326,23.805,23.805,,,NAMLY RISE,2.862
namly_rise,Namly Rise,42.0,23615.355,34284.08,24.91,23.021,23.021,,,NAMLY RISE,2.874
namly_rise,Namly Rise,44.0,23616.2,34285.893,25.573,,22.238,,,NAMLY RISE,2.887
namly_rise,Namly Rise,46.0,23617.04,34287.707,17.97,21.454,21.454,,,NAMLY RISE,2.905
namly_rise,Namly Rise,48.0,23617.878,34289.524,18.07,20.671,20.671,,,NAMLY RISE,2.925
namly_rise,Namly Rise,50.0,23618.715,34291.34,18.17,19.887,19.887,,,NAMLY RISE,2.946
namly_rise,Namly Rise,52.0,23620.405,34291.971,18.27,19.104,19.104,,,NAMLY RISE,1.69
namly_rise,Namly Rise,54.0,23622.393,34292.187,18.32,18.814,18.848,,,NAMLY RISE,0.015
namly_rise,Namly Rise,56.0,23624.381,34292.402,18.32,18.525,18.848,,,NAMLY RISE,0.327
namly_rise,Namly Rise,58.0,23626.37,34292.618,18.37,18.848,18.848,,,NAMLY RISE,0.821
namly_rise,Namly Rise,60.0,23628.358,34292.834,18.42,19.172,19.172,,,NAMLY RISE,1.32
namly_rise,Namly Rise,62.0,23630.31,34292.787,19.524,19.496,19.496,,,NAMLY RISE,2.086
namly_rise,Namly Rise,64.0,23632.166,34292.04,19.524,19.98,19.98,,,NAMLY RISE,2.208
namly_rise,Namly Rise,66.0,23634.021,34291.294,19.498,20.463,20.463,,,NAMLY RISE,2.33
namly_rise,Namly Rise,68.0,23635.876,34290.547,22.598,20.947,20.947,,,NAMLY RISE,2.453
namly_rise,Namly Rise,70.0,23637.732,34289.8,19.37,21.431,21.431,,,NAMLY RISE,2.575
namly_rise,Namly Rise,72.0,23639.587,34289.053,21.412,21.948,21.948,,,NAMLY RISE,2.698
namly_rise,Namly Rise,74.0,23641.429,34288.279,22.037,22.466,22.466,,,NAMLY RISE,2.791
namly_rise,Namly Rise,76.0,23643.164,34287.283,21.787,22.983,22.983,,,NAMLY RISE,2.636
namly_rise,Namly Rise,78.0,23644.898,34286.287,21.337,23.5,23.5,,,NAMLY RISE,2.482
namly_rise,Namly Rise,80.0,23646.639,34285.303,21.362,24.018,24.018,,,NAMLY RISE,2.341
namly_rise,Namly Rise,82.0,23648.404,34284.364,24.77,24.535,24.535,,,NAMLY RISE,2.251
namly_rise,Namly Rise,84.0,23650.17,34283.425,25.052,25.052,25.052,,,NAMLY RISE,2.161
namly_rise,Namly Rise,86.0,23651.936,34282.486,27.62,25.245,25.245,,,NAMLY RISE,2.072
namly_rise,Namly Rise,88.0,23653.702,34281.546,25.437,25.437,25.245,,,NAMLY RISE,1.982
namly_rise,Namly Rise,90.0,23655.468,34280.607,25.437,25.437,25.245,,,NAMLY RISE,1.892
namly_rise,Namly Rise,92.0,23657.233,34279.668,26.162,25.168,25.168,,,NAMLY RISE,1.803
namly_rise,Namly Rise,94.0,23658.999,34278.729,25.937,24.898,24.898,,,NAMLY RISE,1.713
namly_rise,Namly Rise,96.0,23660.765,34277.79,18.57,24.145,24.145,,,NAMLY RISE,1.623
namly_rise,Namly Rise,98.0,23662.531,34276.851,25.012,23.391,23.391,,,NAMLY RISE,1.534
namly_rise,Namly Rise,100.0,23664.297,34275.912,25.037,22.638,22.638,,,NAMLY RISE,1.444
namly_rise,Namly Rise,102.0,23666.062,34274.972,25.412,,21.884,,,NAMLY RISE,1.355
namly_rise,Namly Rise,104.0,23667.828,34274.033,19.27,21.131,21.131,,,NAMLY RISE,1.265
namly_rise,Namly Rise,106.0,23669.594,34273.094,18.77,20.377,20.377,,,NAMLY RISE,1.175
namly_rise,Namly Rise,108.0,23671.36,34272.155,18.82,19.624,19.624,,,NAMLY RISE,1.086
namly_rise,Namly Rise,110.0,23673.126,34271.216,18.87,18.87,18.92,,,NAMLY RISE,0.996
namly_rise,Namly Rise,112.0,23674.891,34270.277,18.92,18.92,18.92,,,NAMLY RISE,0.906
namly_rise,Namly Rise,114.0,23676.748,34269.535,18.92,18.92,18.92,,,NAMLY RISE,1.034
namly_rise,Namly Rise,116.0,23678.608,34268.799,18.97,18.97,18.97,,,NAMLY RISE,1.169
namly_rise,Namly Rise,118.0,23680.468,34268.063,19.97,19.004,19.004,1.875,1.0,NAMLY RISE,1.303
namly_rise,Namly Rise,120.0,23682.327,34267.327,19.92,19.037,19.037,,,NAMLY RISE,1.437
namly_rise,Namly Rise,122.0,23684.187,34266.591,19.07,19.07,19.07,,,NAMLY RISE,1.571
namly_rise,Namly Rise,124.0,23686.047,34265.855,20.22,19.12,19.12,,,NAMLY RISE,1.705
namly_rise,Namly Rise,126.0,23687.927,34265.174,27.32,19.17,19.17,2.5,1.0,NAMLY RISE,1.898
namly_rise,Namly Rise,128.0,23689.812,34264.506,19.22,19.22,19.22,,,NAMLY RISE,2.104
namly_rise,Namly Rise,130.0,23691.686,34263.811,19.27,19.27,19.27,,,NAMLY RISE,2.282
namly_rise,Namly Rise,132.0,23693.477,34262.922,19.37,19.37,19.37,,,NAMLY RISE,2.248
namly_rise,Namly Rise,134.0,23695.269,34262.033,19.47,19.47,19.47,,,NAMLY RISE,2.215
namly_rise,Namly Rise,136.0,23697.061,34261.145,19.47,19.47,19.47,,,NAMLY RISE,2.182
namly_rise,Namly Rise,138.0,23698.852,34260.256,19.52,19.734,19.734,,,NAMLY RISE,2.149
namly_rise,Namly Rise,140.0,23700.644,34259.367,19.52,19.998,19.998,,,NAMLY RISE,2.116
namly_rise,Namly Rise,142.0,23702.435,34258.478,21.082,20.316,20.316,,,NAMLY RISE,2.082
namly_rise,Namly Rise,144.0,23704.227,34257.589,21.632,20.635,20.635,,,NAMLY RISE,2.049
namly_rise,Namly Rise,146.0,23706.019,34256.7,21.882,20.953,20.953,,,NAMLY RISE,2.016
namly_rise,Namly Rise,148.0,23707.81,34255.811,20.907,,21.271,,,NAMLY RISE,1.983
namly_rise,Namly Rise,150.0,23709.602,34254.922,20.657,,21.589,,,NAMLY RISE,1.95
namly_rise,Namly Rise,152.0,23711.393,34254.033,23.07,21.908,21.908,,,NAMLY RISE,1.916
namly_rise,Namly Rise,154.0,23713.185,34253.144,23.057,22.226,22.226,,,NAMLY RISE,1.883
namly_rise,Namly Rise,156.0,23714.977,34252.255,23.032,22.544,22.544,,,NAMLY RISE,1.85
namly_rise,Namly Rise,158.0,23716.768,34251.366,23.107,22.862,22.544,,,NAMLY RISE,1.817
namly_rise,Namly Rise,160.0,23718.56,34250.478,23.745,22.601,22.544,,,NAMLY RISE,1.784
namly_rise,Namly Rise,162.0,23720.344,34249.574,25.232,22.313,22.313,,,NAMLY RISE,1.734
namly_rise,Namly Rise,164.0,23722.109,34248.633,20.694,22.025,22.025,,,NAMLY RISE,1.643
namly_rise,Namly Rise,166.0,23723.874,34247.693,20.132,21.737,21.737,,,NAMLY RISE,1.551
namly_rise,Namly Rise,168.0,23725.639,34246.752,20.607,21.495,21.495,,,NAMLY RISE,1.46
namly_rise,Namly Rise,170.0,23727.404,34245.811,20.182,21.252,21.252,,,NAMLY RISE,1.368
namly_rise,Namly Rise,172.0,23729.168,34244.87,20.207,21.01,21.01,,,NAMLY RISE,1.277
namly_rise,Namly Rise,174.0,23730.969,34244.022,22.614,20.767,20.767,,,NAMLY RISE,1.284
namly_rise,Namly Rise,176.0,23732.906,34243.521,20.232,20.525,20.525,,,NAMLY RISE,1.664
namly_rise,Namly Rise,178.0,23734.842,34243.021,20.282,20.282,20.307,,,NAMLY RISE,2.044
namly_rise,Namly Rise,180.0,23736.779,34242.52,20.307,20.307,20.307,,,NAMLY RISE,2.424
namly_rise,Namly Rise,180.686,23737.443,34242.349,20.307,20.307,20.307,0.0,1.0,NAMLY RISE,2.554
