path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
old_holland_road,Old Holland Road,0.0,23256.816,34982.92,13.185,13.185,13.147,,,OLD HOLLAND ROAD,4.712
old_holland_road,Old Holland Road,2.0,23256.167,34981.028,12.995,12.995,13.166,2.543,1.0,OLD HOLLAND ROAD,4.519
old_holland_road,Old Holland Road,4.0,23255.519,34979.136,12.97,13.147,13.185,,,OLD HOLLAND ROAD,4.325
old_holland_road,Old Holland Road,6.0,23254.87,34977.244,13.3,13.3,13.3,,,OLD HOLLAND ROAD,4.131
old_holland_road,Old Holland Road,8.0,23254.221,34975.353,9.919,13.328,13.328,,,OLD HOLLAND ROAD,3.938
old_holland_road,Old Holland Road,10.0,23253.572,34973.461,11.213,13.356,13.356,,,OLD HOLLAND ROAD,3.744
old_holland_road,Old Holland Road,12.0,23252.923,34971.569,14.79,13.384,13.384,,,OLD HOLLAND ROAD,3.551
old_holland_road,Old Holland Road,14.0,23252.435,34969.63,14.54,13.412,13.384,,,OLD HOLLAND ROAD,3.191
old_holland_road,Old Holland Road,16.0,23251.964,34967.686,13.44,13.44,13.384,,,OLD HOLLAND ROAD,2.815
old_holland_road,Old Holland Road,18.0,23251.492,34965.743,13.32,13.32,13.412,,,OLD HOLLAND ROAD,2.438
old_holland_road,Old Holland Road,20.0,23251.02,34963.799,13.295,13.295,13.44,5.18,1.0,OLD HOLLAND ROAD,2.062
old_holland_road,Old Holland Road,22.0,23250.238,34961.979,15.6,13.547,13.547,7.975,1.0,OLD HOLLAND ROAD,2.019
old_holland_road,Old Holland Road,24.0,23249.249,34960.241,15.645,13.798,13.798,,,OLD HOLLAND ROAD,2.2
old_holland_road,Old Holland Road,26.0,23248.259,34958.503,14.05,14.05,14.05,,,OLD HOLLAND ROAD,2.38
old_holland_road,Old Holland Road,28.0,23247.269,34956.765,15.055,14.488,14.488,,,OLD HOLLAND ROAD,2.56
old_holland_road,Old Holland Road,30.0,23246.279,34955.027,13.485,14.926,14.926,,,OLD HOLLAND ROAD,2.741
old_holland_road,Old Holland Road,32.0,23245.29,34953.289,13.15,15.364,15.364,,,OLD HOLLAND ROAD,2.921
old_holland_road,Old Holland Road,34.0,23244.3,34951.551,13.75,,15.802,,,OLD HOLLAND ROAD,3.102
old_holland_road,Old Holland Road,36.0,23243.31,34949.813,13.295,16.24,16.24,,,OLD HOLLAND ROAD,3.282
old_holland_road,Old Holland Road,38.0,23242.32,34948.076,15.714,16.679,16.679,,,OLD HOLLAND ROAD,3.463
old_holland_road,Old Holland Road,40.0,23241.33,34946.338,15.734,17.117,17.117,,,OLD HOLLAND ROAD,3.643
old_holland_road,Old Holland Road,42.0,23240.341,34944.6,17.555,17.555,17.555,,,OLD HOLLAND ROAD,3.824
old_holland_road,Old Holland Road,44.0,23239.351,34942.862,17.046,17.782,17.559,,,OLD HOLLAND ROAD,4.004
old_holland_road,Old Holland Road,46.0,23238.361,34941.124,18.526,17.671,17.559,,,OLD HOLLAND ROAD,4.185
old_holland_road,Old Holland Road,48.0,23237.371,34939.386,18.238,17.559,17.559,,,OLD HOLLAND ROAD,4.365
old_holland_road,Old Holland Road,50.0,23236.316,34937.688,18.526,16.905,16.905,,,OLD HOLLAND ROAD,4.621
old_holland_road,Old Holland Road,52.0,23235.223,34936.013,17.482,16.25,16.25,,,OLD HOLLAND ROAD,4.922
old_holland_road,Old Holland Road,54.0,23234.13,34934.338,12.16,15.596,15.596,,,OLD HOLLAND ROAD,5.223
old_holland_road,Old Holland Road,56.0,23233.037,34932.664,10.936,,14.942,,,OLD HOLLAND ROAD,5.524
old_holland_road,Old Holland Road,58.0,23231.943,34930.989,11.176,14.288,14.288,,,OLD HOLLAND ROAD,5.825
old_holland_road,Old Holland Road,60.0,23230.85,34929.314,11.468,13.634,13.634,,,OLD HOLLAND ROAD,6.126
old_holland_road,Old Holland Road,62.0,23229.757,34927.639,11.551,12.98,12.98,,,OLD HOLLAND ROAD,6.427
old_holland_road,Old Holland Road,64.0,23228.663,34925.965,11.618,12.326,12.326,,,OLD HOLLAND ROAD,6.727
old_holland_road,Old Holland Road,66.0,23227.57,34924.29,11.642,12.122,12.122,,,OLD HOLLAND ROAD,7.028
old_holland_road,Old Holland Road,68.0,23226.477,34922.615,11.917,11.917,12.122,,,OLD HOLLAND ROAD,7.322
old_holland_road,Old Holland Road,70.0,23225.383,34920.941,11.984,12.102,12.122,,,OLD HOLLAND ROAD,7.61
old_holland_road,Old Holland Road,72.0,23224.29,34919.266,11.809,12.396,12.396,,,OLD HOLLAND ROAD,7.899
old_holland_road,Old Holland Road,74.0,23223.197,34917.591,12.667,12.689,12.689,,,OLD HOLLAND ROAD,8.187
old_holland_road,Old Holland Road,76.0,23222.151,34915.896,12.268,13.09,13.09,,,OLD HOLLAND ROAD,8.423
old_holland_road,Old Holland Road,78.0,23221.716,34913.944,12.034,13.491,13.491,,,OLD HOLLAND ROAD,7.998
old_holland_road,Old Holland Road,80.0,23221.281,34911.992,13.501,13.892,13.892,,,OLD HOLLAND ROAD,7.572
old_holland_road,Old Holland Road,82.0,23220.846,34910.04,13.667,14.293,14.293,,,OLD HOLLAND ROAD,7.146
old_holland_road,Old Holland Road,84.0,23220.411,34908.088,13.834,14.694,14.694,,,OLD HOLLAND ROAD,6.721
old_holland_road,Old Holland Road,86.0,23219.976,34906.136,16.492,15.095,15.095,,,OLD HOLLAND ROAD,6.296
old_holland_road,Old Holland Road,88.0,23219.541,34904.184,16.409,15.496,15.496,,,OLD HOLLAND ROAD,6.15
old_holland_road,Old Holland Road,90.0,23219.105,34902.232,15.484,15.897,15.897,,,OLD HOLLAND ROAD,6.099
old_holland_road,Old Holland Road,92.0,23218.67,34900.28,15.451,16.298,16.298,,,OLD HOLLAND ROAD,6.047
old_holland_road,Old Holland Road,94.0,23218.235,34898.328,15.201,16.699,16.699,,,OLD HOLLAND ROAD,5.996
old_holland_road,Old Holland Road,96.0,23217.8,34896.375,15.251,17.1,17.1,,,OLD HOLLAND ROAD,6.021
old_holland_road,Old Holland Road,98.0,23217.365,34894.423,17.501,17.501,17.501,,,OLD HOLLAND ROAD,6.5
old_holland_road,Old Holland Road,100.0,23217.25,34892.456,17.601,17.601,17.601,,,OLD HOLLAND ROAD,6.719
old_holland_road,Old Holland Road,102.0,23217.497,34890.471,17.784,17.784,17.784,4.74,1.0,OLD HOLLAND ROAD,6.576
old_holland_road,Old Holland Road,104.0,23217.745,34888.487,17.951,17.951,17.88,2.005,1.0,OLD HOLLAND ROAD,6.433
old_holland_road,Old Holland Road,106.0,23217.992,34886.502,18.034,18.034,17.88,-0.729,1.0,OLD HOLLAND ROAD,6.29
old_holland_road,Old Holland Road,108.0,23218.241,34884.518,18.184,17.88,17.88,-4.531,1.0,OLD HOLLAND ROAD,6.146
old_holland_road,Old Holland Road,110.0,23218.686,34882.568,17.726,17.726,17.726,-4.531,1.0,OLD HOLLAND ROAD,5.854
old_holland_road,Old Holland Road,112.0,23219.131,34880.618,17.518,17.518,17.518,-2.578,1.0,OLD HOLLAND ROAD,5.939
old_holland_road,Old Holland Road,114.0,23219.576,34878.668,17.484,17.484,17.518,-0.625,1.0,OLD HOLLAND ROAD,6.053
old_holland_road,Old Holland Road,116.0,23220.022,34876.718,17.501,17.501,17.518,3.854,1.0,OLD HOLLAND ROAD,6.166
old_holland_road,Old Holland Road,118.0,23220.467,34874.769,17.676,17.676,17.676,6.354,1.0,OLD HOLLAND ROAD,6.279
old_holland_road,Old Holland Road,120.0,23220.912,34872.819,17.826,17.826,17.826,,,OLD HOLLAND ROAD,6.393
old_holland_road,Old Holland Road,122.0,23221.384,34870.875,18.026,18.026,18.026,,,OLD HOLLAND ROAD,6.478
old_holland_road,Old Holland Road,124.0,23221.865,34868.934,18.201,18.268,18.268,,,OLD HOLLAND ROAD,6.555
old_holland_road,Old Holland Road,126.0,23222.346,34866.993,21.389,18.511,18.511,,,OLD HOLLAND ROAD,6.631
old_holland_road,Old Holland Road,128.0,23222.827,34865.051,21.158,18.521,18.521,,,OLD HOLLAND ROAD,6.708
old_holland_road,Old Holland Road,130.0,23223.308,34863.11,21.264,18.531,18.531,,,OLD HOLLAND ROAD,6.784
old_holland_road,Old Holland Road,132.0,23223.789,34861.169,19.7,18.541,18.541,,,OLD HOLLAND ROAD,6.861
old_holland_road,Old Holland Road,134.0,23224.27,34859.228,19.75,18.552,18.552,,,OLD HOLLAND ROAD,6.938
old_holland_road,Old Holland Road,136.0,23224.751,34857.286,19.658,18.562,18.562,,,OLD HOLLAND ROAD,7.014
old_holland_road,Old Holland Road,138.0,23225.232,34855.345,18.545,18.572,18.572,,,OLD HOLLAND ROAD,7.091
old_holland_road,Old Holland Road,140.0,23225.713,34853.404,18.582,18.582,18.582,,,OLD HOLLAND ROAD,7.167
old_holland_road,Old Holland Road,142.0,23226.194,34851.462,18.645,18.645,18.645,,,OLD HOLLAND ROAD,7.244
old_holland_road,Old Holland Road,144.0,23226.685,34849.524,18.832,18.832,18.645,,,OLD HOLLAND ROAD,7.31
old_holland_road,Old Holland Road,146.0,23227.194,34847.589,18.982,18.732,18.732,,,OLD HOLLAND ROAD,7.358
old_holland_road,Old Holland Road,148.0,23227.703,34845.655,18.22,18.632,18.753,,,OLD HOLLAND ROAD,7.406
old_holland_road,Old Holland Road,150.0,23228.212,34843.721,18.282,18.753,18.753,,,OLD HOLLAND ROAD,7.453
old_holland_road,Old Holland Road,152.0,23228.721,34841.787,18.37,18.875,18.875,,,OLD HOLLAND ROAD,7.501
old_holland_road,Old Holland Road,154.0,23229.23,34839.853,21.07,18.996,18.996,,,OLD HOLLAND ROAD,7.51
