path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
princess_of_wales_road,1,Princess Of Wales Road_Cam4_20251218_100601_834_B.jpeg,,11.759,5.879,6.0,5.374,-0.729,1.0
princess_of_wales_road,2,Princess Of Wales Road_Cam4_20251218_100605_479_B.jpeg,,21.246,16.502,16.0,4.958,-3.542,1.0
princess_of_wales_road,3,Princess Of Wales Road_Cam4_20251218_100607_882_B.jpeg,,32.207,26.727,26.0,4.524,-3.333,1.0
princess_of_wales_road,4,Princess Of Wales Road_Cam4_20251218_100610_292_B.jpeg,,40.505,36.356,36.0,4.408,0.208,1.0
princess_of_wales_road,5,Princess Of Wales Road_Cam4_20251218_100612_093_B.jpeg,,68.288,54.397,54.0,4.441,0.417,1.0
princess_of_wales_road,6,Princess Of Wales Road_Cam4_20251218_100618_700_B.jpeg,,96.916,82.602,82.0,5.49,-1.45,1.0
princess_of_wales_road,7,Princess Of Wales Road_Cam4_20251218_100625_961_B.jpeg,,104.866,100.891,100.0,4.831,-0.988,1.0
princess_of_wales_road,8,Princess Of Wales Road_Cam4_20251218_100627_810_B.jpeg,,135.807,120.337,120.0,4.818,,
princess_of_wales_road,9,Princess Of Wales Road_Cam4_20251218_100635_714_B.jpeg,,144.34,140.074,140.0,5.724,,
princess_of_wales_road,10,Princess Of Wales Road_Cam4_20251218_100638_117_B.jpeg,,153.267,148.803,148.0,6.598,,
princess_of_wales_road,11,Princess Of Wales Road_Cam4_20251218_100640_655_B.jpeg,,215.248,184.258,184.0,5.661,,
princess_of_wales_road,12,Princess Of Wales Road_Cam4_20251218_100658_696_B.jpeg,,223.134,219.191,220.0,4.302,,
princess_of_wales_road,13,Princess Of Wales Road_Cam4_20251218_100700_497_B.jpeg,,233.136,228.135,228.0,4.902,,
princess_of_wales_road,14,Princess Of Wales Road_Cam4_20251218_100702_904_B.jpeg,,244.951,239.044,240.0,4.609,,
princess_of_wales_road,15,Princess Of Wales Road_Cam4_20251218_100705_910_B.jpeg,,255.907,250.429,250.0,4.193,0.625,1.0
princess_of_wales_road,16,Princess Of Wales Road_Cam4_20251218_100708_913_B.jpeg,,264.419,260.163,260.0,4.468,-1.406,1.0
princess_of_wales_road,17,Princess Of Wales Road_Cam4_20251218_100711_364_B.jpeg,,274.092,269.255,270.0,4.193,1.406,1.0
princess_of_wales_road,18,Princess Of Wales Road_Cam4_20251218_100714_368_B.jpeg,,284.847,279.469,280.0,4.231,-1.406,1.0
princess_of_wales_road,19,Princess Of Wales Road_Cam4_20251218_100717_480_B.jpeg,,296.675,290.761,290.0,4.193,-1.667,1.0
princess_of_wales_road,20,Princess Of Wales Road_Cam4_20251218_100721_085_B.jpeg,,320.217,308.446,308.0,5.218,,
princess_of_wales_road,21,Princess Of Wales Road_Cam4_20251218_100727_695_B.jpeg,,348.368,334.292,334.0,3.599,6.483,1.0
princess_of_wales_road,22,Princess Of Wales Road_Cam4_20251218_100736_108_B.jpeg,,360.922,354.645,354.0,4.895,,
princess_of_wales_road,23,Princess Of Wales Road_Cam4_20251218_100739_751_B.jpeg,,383.526,372.224,372.0,3.75,,
princess_of_wales_road,24,Princess Of Wales Road_Cam4_20251218_100812_334_B.jpeg,,478.99,431.258,432.0,3.95,1.875,1.0
princess_of_wales_road,25,Princess Of Wales Road_Cam4_20251218_100843_595_B.jpeg,,519.587,499.288,500.0,5.033,,
princess_of_wales_road,26,Princess Of Wales Road_Cam4_20251218_100855_603_B.jpeg,,558.264,538.925,538.0,6.041,,
princess_of_wales_road,27,Princess Of Wales Road_Cam4_20251218_101224_651_B.jpeg,,601.363,579.814,580.0,5.989,,
princess_of_wales_road,28,Princess Of Wales Road_Cam4_20251218_101239_152_B.jpeg,,641.417,621.39,622.0,4.577,1.144,1.0
princess_of_wales_road,29,Princess Of Wales Road_Cam4_20251218_101249_360_B.jpeg,,718.005,679.711,680.0,4.741,,
