path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ridgewood_close,1,Ridgewood Close_Cam4_20251219_090515_264_B.jpeg,,13.982,6.991,6.0,30.489,,
ridgewood_close,2,Ridgewood Close_Cam4_20251219_090521_876_B.jpeg,,43.621,28.801,28.0,30.013,,
ridgewood_close,3,Ridgewood Close_Cam4_20251219_090533_906_B.jpeg,,51.73,47.676,48.0,29.769,-3.108,1.0
ridgewood_close,4,Ridgewood Close_Cam4_20251219_090537_509_B.jpeg,,60.894,56.312,56.0,29.594,,
ridgewood_close,5,Ridgewood Close_Cam4_20251219_090541_111_B.jpeg,,73.096,66.995,66.0,28.848,,
ridgewood_close,6,Ridgewood Close_Cam4_20251219_090546_517_B.jpeg,,99.654,86.375,86.0,27.942,,
ridgewood_close,7,Ridgewood Close_Cam4_20251219_090557_930_B.jpeg,,106.693,103.173,104.0,28.308,,
ridgewood_close,8,Ridgewood Close_Cam4_20251219_090600_937_B.jpeg,,116.47,111.581,112.0,28.545,,
ridgewood_close,9,Ridgewood Close_Cam4_20251219_090605_744_B.jpeg,,128.407,122.438,122.0,27.659,,
ridgewood_close,10,Ridgewood Close_Cam4_20251219_090612_350_B.jpeg,,138.71,133.559,134.0,27.634,-0.469,1.0
ridgewood_close,11,Ridgewood Close_Cam4_20251219_090618_955_B.jpeg,,187.955,163.333,164.0,27.684,-0.312,1.0
ridgewood_close,12,Ridgewood Close_Cam4_20251219_090639_385_B.jpeg,,198.461,193.208,194.0,27.709,0.0,1.0
ridgewood_close,13,Ridgewood Close_Cam4_20251219_090642_990_B.jpeg,,280.373,239.417,240.0,30.185,,
ridgewood_close,14,Ridgewood Close_Cam4_20251219_090716_032_B.jpeg,,286.125,283.249,284.0,27.377,,
