path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
second_avenue,1,Second Avenue_Cam4_20251217_080123_468_B.jpeg,,13.314,6.657,6.0,7.893,,
second_avenue,2,Second Avenue_Cam4_20251217_080134_170_B.jpeg,,37.29,25.302,26.0,8.874,8.958,2.0
second_avenue,3,Second Avenue_Cam4_20251217_080158_801_B.jpeg,,48.176,42.733,42.0,10.64,12.917,2.0
second_avenue,4,Second Avenue_Cam4_20251217_080210_815_B.jpeg,,60.133,54.154,54.0,12.6,,
second_avenue,5,Second Avenue_Cam4_20251217_080223_433_B.jpeg,,83.883,72.008,72.0,14.95,,
second_avenue,6,Second Avenue_Cam4_20251217_080248_658_B.jpeg,,95.875,89.879,90.0,17.37,,
second_avenue,7,Second Avenue_Cam4_20251217_080304_283_B.jpeg,,104.161,100.018,100.0,18.955,,
second_avenue,8,Second Avenue_Cam4_20251217_080316_195_B.jpeg,,130.718,117.44,118.0,20.384,9.686,2.0
second_avenue,9,Second Avenue_Cam4_20251217_080345_984_B.jpeg,,139.95,135.334,136.0,22.504,,
second_avenue,10,Second Avenue_Cam4_20251217_080359_204_B.jpeg,,165.642,152.796,152.0,23.736,10.625,2.0
second_avenue,11,Second Avenue_Cam4_20251217_080429_252_B.jpeg,,177.586,171.614,172.0,25.386,5.625,1.0
second_avenue,12,Second Avenue_Cam4_20251217_080443_066_B.jpeg,,200.604,189.095,190.0,26.386,5.625,1.0
second_avenue,13,Second Avenue_Cam4_20251217_080505_768_B.jpeg,,212.891,206.747,206.0,27.336,6.563,1.0
second_avenue,14,Second Avenue_Cam4_20251217_080517_192_B.jpeg,,236.079,224.485,224.0,28.436,7.5,1.0
second_avenue,15,Second Avenue_Cam4_20251217_080548_313_B.jpeg,,247.811,241.945,242.0,29.486,3.438,1.0
second_avenue,16,Second Avenue_Cam4_20251217_080556_126_B.jpeg,,271.852,259.831,260.0,29.586,-2.5,1.0
second_avenue,17,Second Avenue_Cam4_20251217_080606_944_B.jpeg,,284.538,278.195,278.0,29.252,,
second_avenue,18,Second Avenue_Cam4_20251217_080611_629_B.jpeg,,290.579,287.558,288.0,28.05,,
second_avenue,19,Second Avenue_Cam4_20251217_080614_032_B.jpeg,,304.447,297.513,298.0,26.493,,
second_avenue,20,Second Avenue_Cam4_20251217_080619_438_B.jpeg,,310.489,307.468,308.0,24.916,,
second_avenue,21,Second Avenue_Cam4_20251217_080621_240_B.jpeg,,321.295,315.892,316.0,23.636,,
second_avenue,22,Second Avenue_Cam4_20251217_080624_244_B.jpeg,,349.062,335.178,336.0,20.836,,
second_avenue,23,Second Avenue_Cam4_20251217_080632_652_B.jpeg,,359.896,354.479,354.0,19.048,-7.917,1.0
second_avenue,24,Second Avenue_Cam4_20251217_080636_136_B.jpeg,,371.793,365.844,366.0,18.222,,
second_avenue,25,Second Avenue_Cam4_20251217_080639_741_B.jpeg,,389.406,380.6,380.0,18.135,2.123,1.0
second_avenue,26,Second Avenue_Cam4_20251217_080725_395_B.jpeg,,483.478,436.442,436.0,24.67,,
second_avenue,27,Second Avenue_Cam4_20251217_080923_046_B.jpeg,,518.803,501.141,502.0,29.486,-2.5,1.0
second_avenue,28,Second Avenue_Cam4_20251217_080939_879_B.jpeg,,553.888,536.346,536.0,27.636,-5.625,1.0
second_avenue,29,Second Avenue_Cam4_20251217_080952_502_B.jpeg,,718.719,636.304,636.0,19.393,,
