path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sixth_crescent,Sixth Crescent,24.0,23513.724,34258.112,13.256,13.256,13.232,0.0,1.0,SIXTH CRESCENT,12.862
sixth_crescent,Sixth Crescent,26.0,23512.489,34256.539,15.261,13.232,13.22,-0.403,1.0,SIXTH CRESCENT,10.967
sixth_crescent,Sixth Crescent,28.0,23511.253,34254.966,13.208,13.208,13.232,-1.653,1.0,SIXTH CRESCENT,9.072
sixth_crescent,Sixth Crescent,30.0,23510.018,34253.394,13.1,13.1,13.208,-3.336,1.0,SIXTH CRESCENT,7.177
sixth_crescent,Sixth Crescent,32.0,23508.292,34252.829,13.243,13.243,13.1,-5.019,1.0,SIXTH CRESCENT,6.069
sixth_crescent,Sixth Crescent,34.0,23506.292,34252.828,12.635,13.037,13.037,-7.061,1.0,SIXTH CRESCENT,5.401
sixth_crescent,Sixth Crescent,36.0,23504.292,34252.827,12.83,12.83,12.83,,,SIXTH CRESCENT,4.733
sixth_crescent,Sixth Crescent,38.0,23502.292,34252.826,12.643,12.643,12.643,,,SIXTH CRESCENT,4.065
sixth_crescent,Sixth Crescent,40.0,23500.292,34252.825,12.798,12.375,12.375,-9.278,2.0,SIXTH CRESCENT,3.397
sixth_crescent,Sixth Crescent,42.0,23498.292,34252.824,12.107,12.107,12.107,,,SIXTH CRESCENT,2.728
sixth_crescent,Sixth Crescent,44.0,23496.292,34252.824,12.088,12.088,12.088,,,SIXTH CRESCENT,2.06
sixth_crescent,Sixth Crescent,46.0,23494.296,34252.942,11.512,11.991,12.051,,,SIXTH CRESCENT,1.506
sixth_crescent,Sixth Crescent,48.0,23492.301,34253.08,11.841,11.894,12.051,,,SIXTH CRESCENT,0.97
sixth_crescent,Sixth Crescent,50.0,23490.305,34253.218,11.798,12.051,12.051,,,SIXTH CRESCENT,0.435
sixth_crescent,Sixth Crescent,52.0,23488.31,34253.356,11.985,12.324,12.324,,,SIXTH CRESCENT,0.101
sixth_crescent,Sixth Crescent,54.0,23486.315,34253.493,11.913,12.598,12.598,,,SIXTH CRESCENT,0.637
sixth_crescent,Sixth Crescent,56.0,23484.421,34254.117,11.636,12.876,12.876,,,SIXTH CRESCENT,0.681
sixth_crescent,Sixth Crescent,58.0,23482.537,34254.788,13.274,13.155,13.155,,,SIXTH CRESCENT,0.677
sixth_crescent,Sixth Crescent,60.0,23480.654,34255.463,14.869,13.434,13.434,,,SIXTH CRESCENT,0.669
sixth_crescent,Sixth Crescent,62.0,23478.803,34256.219,14.897,13.713,13.713,,,SIXTH CRESCENT,0.574
sixth_crescent,Sixth Crescent,64.0,23476.951,34256.976,15.004,13.991,13.713,,,SIXTH CRESCENT,0.478
sixth_crescent,Sixth Crescent,66.0,23475.1,34257.732,14.179,13.724,13.713,,,SIXTH CRESCENT,0.383
sixth_crescent,Sixth Crescent,68.0,23473.248,34258.488,13.094,13.457,13.457,,,SIXTH CRESCENT,0.288
sixth_crescent,Sixth Crescent,70.0,23471.397,34259.244,12.639,13.171,13.171,,,SIXTH CRESCENT,0.193
sixth_crescent,Sixth Crescent,72.0,23469.545,34260.001,11.89,12.884,12.884,,,SIXTH CRESCENT,0.098
sixth_crescent,Sixth Crescent,74.0,23467.694,34260.757,11.94,12.597,12.597,,,SIXTH CRESCENT,0.003
sixth_crescent,Sixth Crescent,76.0,23465.842,34261.513,11.99,12.31,12.31,,,SIXTH CRESCENT,0.093
sixth_crescent,Sixth Crescent,78.0,23463.991,34262.27,12.023,12.023,12.14,,,SIXTH CRESCENT,0.188
sixth_crescent,Sixth Crescent,80.0,23462.139,34263.026,12.073,12.073,12.14,,,SIXTH CRESCENT,0.283
sixth_crescent,Sixth Crescent,82.0,23460.288,34263.782,12.14,12.14,12.14,1.042,1.0,SIXTH CRESCENT,0.378
sixth_crescent,Sixth Crescent,84.0,23458.436,34264.538,12.173,12.173,12.173,1.25,1.0,SIXTH CRESCENT,0.473
sixth_crescent,Sixth Crescent,86.0,23456.585,34265.295,12.223,12.223,12.223,1.667,1.0,SIXTH CRESCENT,0.569
sixth_crescent,Sixth Crescent,88.0,23454.733,34266.051,12.24,12.24,12.24,1.667,1.0,SIXTH CRESCENT,0.664
sixth_crescent,Sixth Crescent,90.0,23452.882,34266.807,12.273,12.273,12.273,2.083,1.0,SIXTH CRESCENT,0.759
sixth_crescent,Sixth Crescent,92.0,23451.03,34267.564,12.306,12.306,12.306,2.083,1.0,SIXTH CRESCENT,0.854
sixth_crescent,Sixth Crescent,94.0,23449.074,34267.868,12.39,12.39,12.39,1.875,1.0,SIXTH CRESCENT,0.489
