path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
toh_yi_road,1,Toh Yi Road_Cam4_20251216_083759_009_A.jpeg,,10.003,5.001,6.0,31.744,,
toh_yi_road,2,Toh Yi Road_Cam4_20251216_083803_015_A.jpeg,,38.385,24.194,24.0,34.961,,
toh_yi_road,3,Toh Yi Road_Cam4_20251216_083832_460_A.jpeg,,49.586,43.986,44.0,37.869,-0.243,1.0
toh_yi_road,4,Toh Yi Road_Cam4_20251216_083841_506_A.jpeg,,61.171,55.379,56.0,38.849,,
toh_yi_road,5,Toh Yi Road_Cam4_20251216_083851_192_A.jpeg,,162.979,112.075,112.0,31.751,,
toh_yi_road,6,Toh Yi Road_Cam4_20251216_083956_381_A.jpeg,,173.697,168.338,168.0,34.311,,
toh_yi_road,7,Toh Yi Road_Cam4_20251216_084003_988_A.jpeg,,185.01,179.354,180.0,34.576,,
toh_yi_road,8,Toh Yi Road_Cam4_20251216_084013_032_A.jpeg,,192.213,188.612,188.0,35.188,4.531,1.0
toh_yi_road,9,Toh Yi Road_Cam4_20251216_084052_978_A.jpeg,,201.231,196.722,196.0,35.135,,
toh_yi_road,10,Toh Yi Road_Cam4_20251216_084056_004_A.jpeg,,231.03,216.131,216.0,36.059,11.062,2.0
toh_yi_road,11,Toh Yi Road_Cam4_20251216_084104_525_A.jpeg,,239.868,235.449,236.0,38.222,,
toh_yi_road,12,Toh Yi Road_Cam4_20251216_084107_042_A.jpeg,,252.982,246.425,246.0,37.481,,
toh_yi_road,13,Toh Yi Road_Cam4_20251216_084111_063_A.jpeg,,275.281,264.131,264.0,38.973,,
toh_yi_road,14,Toh Yi Road_Cam4_20251216_084118_098_A.jpeg,,285.958,280.619,280.0,32.258,,
toh_yi_road,15,Toh Yi Road_Cam4_20251216_084122_187_A.jpeg,,369.53,327.744,328.0,39.766,,
toh_yi_road,16,Toh Yi Road_Cam4_20251216_084203_165_A.jpeg,,380.941,375.235,376.0,34.0,,
toh_yi_road,17,Toh Yi Road_Cam4_20251216_084207_773_A.jpeg,,397.761,389.351,390.0,33.977,,
