path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
victoria_park_road,1,Victoria Park Road_Cam4_20251218_085724_418_B.jpeg,,12.361,6.181,6.0,9.6,-1.25,1.0
victoria_park_road,2,Victoria Park Road_Cam4_20251218_085730_424_B.jpeg,,20.65,16.506,16.0,9.838,,
victoria_park_road,3,Victoria Park Road_Cam4_20251218_085733_427_B.jpeg,,32.436,26.543,26.0,11.176,,
victoria_park_road,4,Victoria Park Road_Cam4_20251218_085737_630_B.jpeg,,44.4,38.418,38.0,10.137,,
victoria_park_road,5,Victoria Park Road_Cam4_20251218_085741_843_B.jpeg,,66.639,55.519,56.0,9.357,,
victoria_park_road,6,Victoria Park Road_Cam4_20251218_085749_651_B.jpeg,,79.218,72.928,72.0,9.115,-2.188,1.0
victoria_park_road,7,Victoria Park Road_Cam4_20251218_085753_888_B.jpeg,,88.799,84.008,84.0,9.543,,
victoria_park_road,8,Victoria Park Road_Cam4_20251218_085757_494_B.jpeg,,96.812,92.806,92.0,10.052,,
victoria_park_road,9,Victoria Park Road_Cam4_20251218_085800_497_B.jpeg,,106.374,101.593,102.0,10.386,,
victoria_park_road,10,Victoria Park Road_Cam4_20251218_085804_100_B.jpeg,,117.266,111.82,112.0,10.311,,
victoria_park_road,11,Victoria Park Road_Cam4_20251218_085808_305_B.jpeg,,603.549,360.407,360.0,14.831,,
victoria_park_road,12,Victoria Park Road_Cam4_20251218_090929_603_B.jpeg,,613.809,608.679,608.0,21.617,,
victoria_park_road,13,Victoria Park Road_Cam4_20251218_090933_807_B.jpeg,,640.31,627.059,628.0,21.071,,
victoria_park_road,14,Victoria Park Road_Cam4_20251218_090948_823_B.jpeg,,652.6,646.455,646.0,22.28,,
victoria_park_road,15,Victoria Park Road_Cam4_20251218_090959_033_B.jpeg,,664.141,658.371,658.0,21.926,,
victoria_park_road,16,Victoria Park Road_Cam4_20251218_091007_446_B.jpeg,,687.671,675.906,676.0,21.307,,
victoria_park_road,17,Victoria Park Road_Cam4_20251218_091027_284_B.jpeg,,696.933,692.302,692.0,21.745,,
victoria_park_road,18,Victoria Park Road_Cam4_20251218_091035_694_B.jpeg,,723.531,710.232,710.0,20.097,,
victoria_park_road,19,Victoria Park Road_Cam4_20251218_091048_905_B.jpeg,,731.591,727.561,728.0,14.677,,
victoria_park_road,20,Victoria Park Road_Cam4_20251218_091052_508_B.jpeg,,773.778,752.685,752.0,14.565,,
victoria_park_road,21,Victoria Park Road_Cam4_20251218_091109_329_B.jpeg,,785.906,779.842,780.0,16.319,,
victoria_park_road,22,Victoria Park Road_Cam4_20251218_091139_368_B.jpeg,,792.857,789.381,790.0,14.947,,
victoria_park_road,23,Victoria Park Road_Cam4_20251218_091145_378_B.jpeg,,1213.629,1003.243,1004.0,28.193,,
victoria_park_road,24,Victoria Park Road_Cam4_20251218_092015_414_B.jpeg,,1237.059,1225.344,1226.0,19.857,-5.938,1.0
victoria_park_road,25,Victoria Park Road_Cam4_20251218_092022_620_B.jpeg,,1248.501,1242.78,1242.0,19.107,-5.0,1.0
victoria_park_road,26,Victoria Park Road_Cam4_20251218_092025_623_B.jpeg,,1258.538,1253.52,1254.0,18.082,-7.266,1.0
victoria_park_road,27,Victoria Park Road_Cam4_20251218_092028_626_B.jpeg,,1269.695,1264.116,1264.0,17.532,-9.062,2.0
victoria_park_road,28,Victoria Park Road_Cam4_20251218_092032_839_B.jpeg,,1280.558,1275.127,1276.0,16.532,-7.031,1.0
victoria_park_road,29,Victoria Park Road_Cam4_20251218_092038_246_B.jpeg,,1304.369,1292.464,1292.0,15.807,,
victoria_park_road,30,Victoria Park Road_Cam4_20251218_092049_669_B.jpeg,,1314.935,1309.652,1310.0,14.784,,
victoria_park_road,31,Victoria Park Road_Cam4_20251218_092054_473_B.jpeg,,1324.344,1319.64,1320.0,13.663,,
victoria_park_road,32,Victoria Park Road_Cam4_20251218_092101_083_B.jpeg,,1349.074,1336.709,1336.0,12.603,-4.375,1.0
victoria_park_road,33,Victoria Park Road_Cam4_20251218_092115_536_B.jpeg,,1361.786,1355.43,1356.0,11.241,-1.493,1.0
