path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
wilmonar_avenue,1,Wilmonar Avenue_Cam4_20251216_092244_452_C.jpeg,,11.007,5.504,6.0,19.777,-7.656,1.0
wilmonar_avenue,2,Wilmonar Avenue_Cam4_20251216_092249_900_C.jpeg,,22.896,16.951,16.0,18.889,,
wilmonar_avenue,3,Wilmonar Avenue_Cam4_20251216_092254_746_C.jpeg,,30.996,26.946,26.0,19.433,,
wilmonar_avenue,4,Wilmonar Avenue_Cam4_20251216_092257_159_C.jpeg,,44.751,37.873,38.0,20.282,,
wilmonar_avenue,5,Wilmonar Avenue_Cam4_20251216_092300_763_C.jpeg,,68.179,56.465,56.0,20.249,,
wilmonar_avenue,6,Wilmonar Avenue_Cam4_20251216_092309_193_C.jpeg,,93.293,80.736,80.0,16.492,,
wilmonar_avenue,7,Wilmonar Avenue_Cam4_20251216_092324_243_C.jpeg,,105.176,99.235,100.0,20.558,,
wilmonar_avenue,8,Wilmonar Avenue_Cam4_20251216_092328_457_C.jpeg,,117.05,111.113,112.0,22.513,,
wilmonar_avenue,9,Wilmonar Avenue_Cam4_20251216_092332_060_C.jpeg,,123.391,120.22,120.0,21.033,,
wilmonar_avenue,10,Wilmonar Avenue_Cam4_20251216_092333_862_C.jpeg,,132.142,127.767,128.0,18.822,,
wilmonar_avenue,11,Wilmonar Avenue_Cam4_20251216_092336_295_C.jpeg,,143.121,137.632,138.0,16.321,,
wilmonar_avenue,12,Wilmonar Avenue_Cam4_20251216_092339_307_C.jpeg,,152.231,147.676,148.0,18.51,,
wilmonar_avenue,13,Wilmonar Avenue_Cam4_20251216_092341_722_C.jpeg,,163.943,158.087,158.0,22.119,,
wilmonar_avenue,14,Wilmonar Avenue_Cam4_20251216_092344_729_C.jpeg,,173.155,168.549,168.0,21.779,-8.839,2.0
wilmonar_avenue,15,Wilmonar Avenue_Cam4_20251216_092347_135_C.jpeg,,184.455,178.805,178.0,21.462,,
wilmonar_avenue,16,Wilmonar Avenue_Cam4_20251216_092350_160_C.jpeg,,209.085,196.77,196.0,21.602,,
wilmonar_avenue,17,Wilmonar Avenue_Cam4_20251216_092357_401_C.jpeg,,231.19,220.138,220.0,20.222,,
wilmonar_avenue,18,Wilmonar Avenue_Cam4_20251216_092405_833_C.jpeg,,241.797,236.493,236.0,21.442,,
wilmonar_avenue,19,Wilmonar Avenue_Cam4_20251216_092410_042_C.jpeg,,251.804,246.8,246.0,25.216,,
wilmonar_avenue,20,Wilmonar Avenue_Cam4_20251216_092413_649_C.jpeg,,262.325,257.064,258.0,28.397,3.958,1.0
wilmonar_avenue,21,Wilmonar Avenue_Cam4_20251216_092417_261_C.jpeg,,273.03,267.677,268.0,29.049,,
wilmonar_avenue,22,Wilmonar Avenue_Cam4_20251216_092420_864_C.jpeg,,285.058,279.044,280.0,30.089,,
wilmonar_avenue,23,Wilmonar Avenue_Cam4_20251216_092425_078_C.jpeg,,295.634,290.346,290.0,30.92,,
wilmonar_avenue,24,Wilmonar Avenue_Cam4_20251216_092428_688_C.jpeg,,298.353,296.993,296.0,30.053,,
wilmonar_avenue,25,Wilmonar Avenue_Cam4_20251216_092446_746_C.jpeg,,309.615,303.984,304.0,27.64,,
wilmonar_avenue,26,Wilmonar Avenue_Cam4_20251216_092452_156_C.jpeg,,320.242,314.928,314.0,24.961,,
wilmonar_avenue,27,Wilmonar Avenue_Cam4_20251216_092456_360_C.jpeg,,482.703,401.473,402.0,21.216,,
wilmonar_avenue,28,Wilmonar Avenue_Cam4_20251216_092618_204_C.jpeg,,493.365,488.034,488.0,18.824,,
wilmonar_avenue,29,Wilmonar Avenue_Cam4_20251216_092620_608_C.jpeg,,504.249,498.807,498.0,18.852,6.563,1.0
