path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
battery_road,1,Battery Road_Cam4_20251211_082109_654_C.jpeg,,11.259,5.63,6.0,7.18,,
battery_road,2,Battery Road_Cam4_20251211_082113_258_C.jpeg,,20.004,15.632,16.0,7.003,-3.343,1.0
battery_road,3,Battery Road_Cam4_20251211_082119_264_C.jpeg,,43.484,31.744,32.0,5.902,,
battery_road,4,Battery Road_Cam4_20251211_082152_310_C.jpeg,,53.705,48.595,48.0,5.106,,
battery_road,5,Battery Road_Cam4_20251211_082156_515_C.jpeg,,79.215,66.46,66.0,6.936,,
battery_road,6,Battery Road_Cam4_20251211_082209_731_C.jpeg,,89.762,84.489,84.0,11.909,,
battery_road,7,Battery Road_Cam4_20251211_082212_133_C.jpeg,,134.014,111.888,,,,
battery_road,8,Battery Road_Cam4_20251211_082221_744_C.jpeg,,145.753,139.884,,,,
battery_road,9,Battery Road_Cam4_20251211_082228_350_C.jpeg,,172.2,158.977,,,,
battery_road,10,Battery Road_Cam4_20251211_082233_756_C.jpeg,,208.336,190.268,190.0,9.862,,
battery_road,11,Battery Road_Cam4_20251211_085920_424_C.jpeg,,264.167,236.252,236.0,7.867,,
battery_road,12,Battery Road_Cam4_20251211_085944_460_C.jpeg,,275.076,269.622,270.0,7.654,,
battery_road,13,Battery Road_Cam4_20251211_085957_675_C.jpeg,,373.7,324.388,324.0,9.136,,
battery_road,14,Battery Road_Cam4_20260205_074015_065_C.jpeg,,383.517,378.608,,,,
battery_road,15,Battery Road_Cam4_20260205_074023_949_C.jpeg,,413.752,398.634,,,,
battery_road,16,Battery Road_Cam4_20260205_074108_411_C.jpeg,,440.595,427.173,428.0,5.622,,
battery_road,17,Battery Road_Cam4_20260205_074114_417_C.jpeg,,451.284,445.94,446.0,6.379,,
battery_road,18,Battery Road_Cam4_20260205_074117_419_C.jpeg,,458.145,454.714,454.0,6.518,,
battery_road,19,Battery Road_Cam4_20260205_074128_703_C.jpeg,,470.116,464.13,464.0,6.335,,
battery_road,20,Battery Road_Cam4_20260205_074132_909_C.jpeg,,477.323,473.719,474.0,5.683,,
battery_road,21,Battery Road_Cam4_20260205_074135_912_C.jpeg,,504.19,490.756,,,,
battery_road,22,Battery Road_Cam4_20260205_074144_323_C.jpeg,,513.9,509.045,,,,
battery_road,23,Battery Road_Cam4_20260205_074153_337_C.jpeg,,525.76,519.83,,,,
battery_road,24,Battery Road_Cam4_20260205_074202_348_C.jpeg,,533.919,529.84,,,,
battery_road,25,Battery Road_Cam4_20260205_074206_553_C.jpeg,,574.686,554.302,,,,
battery_road,26,Battery Road_Cam4_20260205_074250_182_C.jpeg,,681.851,628.268,628.0,5.668,,
