path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
carpenter_street,Carpenter Street,20.0,29560.044,30109.895,,2.808,2.808,0.0,1.0,CARPENTER STREET,12.353
carpenter_street,Carpenter Street,22.0,29560.489,30107.989,,2.808,2.808,0.0,1.0,CARPENTER STREET,11.014
carpenter_street,Carpenter Street,24.0,29561.058,30106.071,,2.808,2.808,0.0,1.0,CARPENTER STREET,9.733
carpenter_street,Carpenter Street,26.0,29561.627,30104.154,,2.808,2.808,0.0,1.0,CARPENTER STREET,8.453
carpenter_street,Carpenter Street,28.0,29562.196,30102.237,,2.808,2.808,0.0,1.0,CARPENTER STREET,7.173
carpenter_street,Carpenter Street,30.0,29563.01,30100.49,,2.808,2.808,0.0,1.0,CARPENTER STREET,6.17
carpenter_street,Carpenter Street,32.0,29564.609,30099.288,,2.808,2.808,0.0,1.0,CARPENTER STREET,6.056
carpenter_street,Carpenter Street,34.0,29566.208,30098.086,,2.808,2.808,0.0,1.0,CARPENTER STREET,5.942
carpenter_street,Carpenter Street,36.0,29567.806,30096.885,,2.808,2.808,0.0,1.0,CARPENTER STREET,5.828
carpenter_street,Carpenter Street,38.0,29569.405,30095.683,,2.808,2.808,0.0,1.0,CARPENTER STREET,5.715
carpenter_street,Carpenter Street,40.0,29570.945,30094.41,2.808,2.808,2.808,,,CARPENTER STREET,5.509
carpenter_street,Carpenter Street,42.0,29572.425,30093.065,2.808,2.808,2.808,,,CARPENTER STREET,5.212
carpenter_street,Carpenter Street,44.0,29573.905,30091.72,2.808,2.55,2.55,-4.844,1.0,CARPENTER STREET,4.917
carpenter_street,Carpenter Street,46.0,29575.386,30090.375,2.033,2.291,2.291,-4.844,1.0,CARPENTER STREET,4.622
carpenter_street,Carpenter Street,56.0,29582.787,30083.651,,2.033,2.033,,,CARPENTER STREET,3.16
carpenter_street,Carpenter Street,58.0,29584.267,30082.306,,2.033,2.033,,,CARPENTER STREET,2.872
carpenter_street,Carpenter Street,60.0,29585.748,30080.961,,2.033,2.033,0.0,1.0,CARPENTER STREET,2.583
carpenter_street,Carpenter Street,62.0,29587.228,30079.616,,2.033,2.033,0.0,1.0,CARPENTER STREET,2.294
carpenter_street,Carpenter Street,64.0,29588.708,30078.271,,2.033,2.033,0.0,1.0,CARPENTER STREET,2.006
carpenter_street,Carpenter Street,66.0,29590.188,30076.926,,2.033,2.033,0.0,1.0,CARPENTER STREET,1.717
carpenter_street,Carpenter Street,68.0,29591.669,30075.581,,2.033,2.033,0.0,1.0,CARPENTER STREET,1.429
carpenter_street,Carpenter Street,70.0,29593.149,30074.236,,2.033,2.033,0.0,1.0,CARPENTER STREET,1.14
carpenter_street,Carpenter Street,72.0,29594.437,30072.724,,2.033,2.033,0.0,1.0,CARPENTER STREET,0.605
carpenter_street,Carpenter Street,74.0,29595.57,30071.076,,2.033,2.033,0.0,1.0,CARPENTER STREET,0.129
carpenter_street,Carpenter Street,76.0,29596.704,30069.428,,2.033,2.033,0.0,1.0,CARPENTER STREET,0.863
carpenter_street,Carpenter Street,78.0,29597.837,30067.78,,,2.033,0.0,1.0,CARPENTER STREET,1.596
carpenter_street,Carpenter Street,80.0,29598.97,30066.132,,,2.033,,,CARPENTER STREET,2.33
carpenter_street,Carpenter Street,82.0,29600.103,30064.484,,,2.033,,,CARPENTER STREET,3.064
carpenter_street,Carpenter Street,84.0,29601.237,30062.836,,,,,,CARPENTER STREET,3.798
carpenter_street,Carpenter Street,86.0,29602.37,30061.188,,,,,,CARPENTER STREET,4.531
carpenter_street,Carpenter Street,88.0,29603.503,30059.54,,,,,,CARPENTER STREET,5.265
carpenter_street,Carpenter Street,90.0,29604.636,30057.892,,,,,,CARPENTER STREET,5.999
carpenter_street,Carpenter Street,92.0,29605.769,30056.244,,,,,,CARPENTER STREET,6.733
carpenter_street,Carpenter Street,94.0,29606.903,30054.596,,,,,,CARPENTER STREET,7.467
carpenter_street,Carpenter Street,96.0,29608.549,30053.463,,,,,,CARPENTER STREET,7.487
carpenter_street,Carpenter Street,98.0,29610.2,30052.333,,,,,,CARPENTER STREET,7.501
carpenter_street,Carpenter Street,100.0,29611.851,30051.204,,,,,,CARPENTER STREET,7.516
carpenter_street,Carpenter Street,102.0,29613.501,30050.074,,,,,,CARPENTER STREET,7.531
carpenter_street,Carpenter Street,104.0,29615.152,30048.945,,,,,,CARPENTER STREET,7.54
