path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
cecil_street,Cecil Street,0.0,29928.267,29458.433,2.562,2.562,2.533,0.313,1.0,CECIL STREET,3.096
cecil_street,Cecil Street,2.0,29926.37,29457.8,2.812,2.533,2.539,0.208,1.0,CECIL STREET,2.315
cecil_street,Cecil Street,4.0,29924.472,29457.167,2.504,2.504,2.545,,,CECIL STREET,1.534
cecil_street,Cecil Street,6.0,29922.575,29456.533,2.545,2.545,2.545,,,CECIL STREET,0.752
cecil_street,Cecil Street,8.0,29920.678,29455.9,2.52,2.821,2.821,,,CECIL STREET,0.029
cecil_street,Cecil Street,10.0,29918.781,29455.267,2.562,3.097,3.097,,,CECIL STREET,0.81
cecil_street,Cecil Street,12.0,29917.487,29454.269,2.47,3.757,3.757,,,CECIL STREET,1.908
cecil_street,Cecil Street,14.0,29916.824,29452.395,6.587,4.416,4.416,,,CECIL STREET,3.828
cecil_street,Cecil Street,16.0,29916.113,29450.525,5.897,5.076,5.076,,,CECIL STREET,5.748
cecil_street,Cecil Street,18.0,29915.402,29448.656,5.841,,5.736,,,CECIL STREET,7.668
cecil_street,Cecil Street,20.0,29914.691,29446.787,3.891,,6.395,,,CECIL STREET,9.587
cecil_street,Cecil Street,22.0,29913.863,29445.016,7.537,7.055,7.055,,,CECIL STREET,11.418
cecil_street,Cecil Street,24.0,29912.142,29443.996,10.936,7.715,7.715,,,CECIL STREET,12.307
cecil_street,Cecil Street,26.0,29910.422,29442.976,7.305,8.374,8.374,,,CECIL STREET,12.987
cecil_street,Cecil Street,28.0,29908.702,29441.955,10.041,9.034,8.689,,,CECIL STREET,13.667
cecil_street,Cecil Street,30.0,29906.982,29440.935,9.056,8.862,8.689,,,CECIL STREET,14.346
cecil_street,Cecil Street,32.0,29905.684,29441.615,9.816,8.689,8.689,,,CECIL STREET,13.436
cecil_street,Cecil Street,34.0,29904.643,29443.322,3.624,8.516,8.516,,,CECIL STREET,11.564
cecil_street,Cecil Street,36.0,29903.602,29445.03,4.343,8.344,8.344,,,CECIL STREET,9.692
cecil_street,Cecil Street,38.0,29902.56,29446.737,3.018,8.171,8.171,,,CECIL STREET,7.819
cecil_street,Cecil Street,40.0,29901.519,29448.445,2.586,7.999,7.999,,,CECIL STREET,5.947
cecil_street,Cecil Street,42.0,29900.529,29450.18,2.493,7.826,7.826,,,CECIL STREET,4.057
