path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
chulia_street,Chulia Street,0.0,29951.713,29722.161,3.919,3.919,4.021,0.0,1.0,CHULIA STREET,9.969
chulia_street,Chulia Street,2.0,29953.692,29721.87,4.298,4.021,4.068,1.036,1.0,CHULIA STREET,9.935
chulia_street,Chulia Street,4.0,29955.671,29721.578,4.123,4.123,4.021,1.172,1.0,CHULIA STREET,9.9
chulia_street,Chulia Street,6.0,29957.649,29721.287,4.115,4.115,4.083,1.175,1.0,CHULIA STREET,9.865
chulia_street,Chulia Street,8.0,29959.628,29720.996,3.952,3.952,4.115,1.179,1.0,CHULIA STREET,9.826
chulia_street,Chulia Street,10.0,29961.607,29720.705,4.083,4.083,4.115,0.714,1.0,CHULIA STREET,9.787
chulia_street,Chulia Street,12.0,29963.586,29720.414,4.14,4.14,4.115,,,CHULIA STREET,9.748
chulia_street,Chulia Street,14.0,29962.526,29719.97,4.115,4.115,4.14,,,CHULIA STREET,9.173
chulia_street,Chulia Street,16.0,29960.586,29719.482,4.155,4.29,4.29,,,CHULIA STREET,8.444
chulia_street,Chulia Street,18.0,29958.647,29718.993,3.627,4.464,4.464,,,CHULIA STREET,7.715
chulia_street,Chulia Street,20.0,29956.707,29718.505,3.561,4.955,4.955,,,CHULIA STREET,6.985
chulia_street,Chulia Street,22.0,29954.768,29718.016,3.527,5.446,5.446,,,CHULIA STREET,6.251
chulia_street,Chulia Street,24.0,29952.828,29717.528,6.311,5.936,5.936,,,CHULIA STREET,5.518
chulia_street,Chulia Street,26.0,29950.889,29717.04,6.937,,6.427,,,CHULIA STREET,4.785
chulia_street,Chulia Street,28.0,29948.949,29716.551,8.372,,6.918,,,CHULIA STREET,4.051
chulia_street,Chulia Street,30.0,29947.01,29716.063,10.001,7.408,7.408,,,CHULIA STREET,3.318
chulia_street,Chulia Street,32.0,29945.07,29715.575,8.573,7.899,7.899,,,CHULIA STREET,2.584
chulia_street,Chulia Street,34.0,29943.131,29715.086,9.379,8.39,8.39,,,CHULIA STREET,1.851
chulia_street,Chulia Street,36.0,29941.191,29714.598,9.249,8.881,8.754,,,CHULIA STREET,1.117
chulia_street,Chulia Street,38.0,29939.252,29714.11,7.477,9.002,8.754,,,CHULIA STREET,0.384
chulia_street,Chulia Street,40.0,29937.312,29713.621,9.468,8.754,8.754,,,CHULIA STREET,0.349
chulia_street,Chulia Street,42.0,29935.373,29713.133,8.565,8.507,8.507,,,CHULIA STREET,1.083
chulia_street,Chulia Street,44.0,29933.434,29712.645,8.687,8.259,8.259,,,CHULIA STREET,1.816
chulia_street,Chulia Street,46.0,29931.494,29712.156,8.012,8.012,8.012,,,CHULIA STREET,2.55
chulia_street,Chulia Street,48.0,29929.555,29711.668,6.887,7.84,7.84,,,CHULIA STREET,3.283
chulia_street,Chulia Street,50.0,29927.615,29711.18,7.727,7.668,7.668,,,CHULIA STREET,4.016
chulia_street,Chulia Street,52.0,29925.676,29710.691,7.496,7.496,7.496,,,CHULIA STREET,4.75
chulia_street,Chulia Street,54.0,29923.736,29710.203,8.459,7.06,7.06,,,CHULIA STREET,5.483
chulia_street,Chulia Street,56.0,29921.797,29709.715,10.577,6.624,6.624,,,CHULIA STREET,6.217
chulia_street,Chulia Street,58.0,29919.857,29709.226,5.893,6.188,6.188,,,CHULIA STREET,6.95
chulia_street,Chulia Street,60.0,29917.918,29708.738,5.38,,5.752,,,CHULIA STREET,7.684
chulia_street,Chulia Street,62.0,29915.978,29708.25,5.734,,5.316,,,CHULIA STREET,8.417
chulia_street,Chulia Street,64.0,29914.039,29707.761,2.908,4.88,4.88,,,CHULIA STREET,9.15
chulia_street,Chulia Street,206.0,29824.109,29728.277,4.186,4.444,4.444,,,CHULIA STREET,21.919
chulia_street,Chulia Street,208.0,29824.018,29730.275,4.116,4.008,4.008,,,CHULIA STREET,20.334
chulia_street,Chulia Street,210.0,29823.926,29732.273,3.572,3.572,3.572,,,CHULIA STREET,18.748
chulia_street,Chulia Street,212.0,29823.834,29734.271,3.559,3.559,3.559,,,CHULIA STREET,17.163
chulia_street,Chulia Street,214.0,29823.743,29736.269,3.447,3.447,3.447,,,CHULIA STREET,15.577
chulia_street,Chulia Street,216.0,29823.651,29738.267,3.384,3.194,3.194,,,CHULIA STREET,13.992
chulia_street,Chulia Street,218.0,29823.56,29740.264,2.347,2.94,2.94,-7.695,1.0,CHULIA STREET,12.406
chulia_street,Chulia Street,220.0,29823.468,29742.262,2.497,2.831,2.831,,,CHULIA STREET,10.821
chulia_street,Chulia Street,222.0,29823.376,29744.26,2.722,2.722,2.831,,,CHULIA STREET,9.235
chulia_street,Chulia Street,224.0,29823.285,29746.258,2.613,2.613,2.831,,,CHULIA STREET,7.65
chulia_street,Chulia Street,226.0,29823.193,29748.256,2.573,2.88,2.88,7.303,1.0,CHULIA STREET,6.065
chulia_street,Chulia Street,228.0,29823.101,29750.254,2.378,3.148,3.148,,,CHULIA STREET,4.479
