path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
collyer_quay,1,Collyer Quay_Cam4_20251211_082054_038_C.jpeg,,11.136,5.568,,,,
collyer_quay,2,Collyer Quay_Cam4_20251211_082100_645_C.jpeg,,23.779,17.457,,,,
collyer_quay,3,Collyer Quay_Cam4_20251211_082105_451_C.jpeg,,50.206,36.993,,,,
collyer_quay,4,Collyer Quay_Cam4_20251211_082130_075_C.jpeg,,305.432,177.819,,,,
collyer_quay,5,Collyer Quay_Cam4_20251211_083001_978_C.jpeg,,319.394,312.413,312.0,3.86,,
collyer_quay,6,Collyer Quay_Cam4_20251211_083006_192_C.jpeg,,327.068,323.231,324.0,3.956,,
collyer_quay,7,Collyer Quay_Cam4_20251211_083008_594_C.jpeg,,335.418,331.243,332.0,4.184,,
collyer_quay,8,Collyer Quay_Cam4_20251211_083010_997_C.jpeg,,346.194,340.806,340.0,4.503,,
collyer_quay,9,Collyer Quay_Cam4_20251211_083014_001_C.jpeg,,355.919,351.057,,,,
collyer_quay,10,Collyer Quay_Cam4_20251211_083017_604_C.jpeg,,378.126,367.023,,,,
collyer_quay,11,Collyer Quay_Cam4_20251211_083036_225_C.jpeg,,446.677,412.402,,,,
collyer_quay,12,Collyer Quay_Cam4_20251211_083104_465_C.jpeg,,576.712,511.694,,,,
collyer_quay,13,Collyer Quay_Cam4_20251211_083355_714_C.jpeg,,588.747,582.729,,,,
collyer_quay,14,Collyer Quay_Cam4_20251211_083401_721_C.jpeg,,599.17,593.958,,,,
collyer_quay,15,Collyer Quay_Cam4_20251211_083405_326_C.jpeg,,691.953,645.561,,,,
collyer_quay,16,Collyer Quay_Cam4_20251211_084225_160_C.jpeg,,717.554,704.753,,,,
collyer_quay,17,Collyer Quay_Cam4_20251211_084433_734_C.jpeg,,723.735,720.645,,,,
collyer_quay,18,Collyer Quay_Cam4_20251211_084436_137_C.jpeg,,751.558,737.647,,,,
collyer_quay,19,Collyer Quay_Cam4_20251211_084913_050_C.jpeg,,759.44,755.499,,,,
collyer_quay,20,Collyer Quay_Cam4_20251211_084914_251_C.jpeg,,895.085,827.262,,,,
collyer_quay,21,Collyer Quay_Cam4_20251211_085315_711_C.jpeg,,925.89,910.487,,,,
collyer_quay,22,Collyer Quay_Cam4_20251211_085322_916_C.jpeg,,954.225,940.057,,,,
collyer_quay,23,Collyer Quay_Cam4_20251211_085509_274_C.jpeg,,965.051,959.638,,,,
collyer_quay,24,Collyer Quay_Cam4_20251211_085517_087_C.jpeg,,1001.378,983.215,,,,
collyer_quay,25,Collyer Quay_Cam4_20251211_085526_707_C.jpeg,,1010.303,1005.84,,,,
collyer_quay,26,Collyer Quay_Cam4_20251211_085529_112_C.jpeg,,1020.782,1015.542,,,,
collyer_quay,27,Collyer Quay_Cam4_20251211_085532_117_C.jpeg,,1031.249,1026.015,,,,
collyer_quay,28,Collyer Quay_Cam4_20251211_085535_118_C.jpeg,,1087.464,1059.356,1060.0,5.174,,
collyer_quay,29,Collyer Quay_Cam4_20251211_085615_371_C.jpeg,,1111.728,1099.596,1100.0,5.089,,
collyer_quay,30,Collyer Quay_Cam4_20251211_085651_421_C.jpeg,,1121.435,1116.582,1116.0,4.809,,
