path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
commerce_street,1,Commerce Street_Cam4_20260108_083315_745_B.jpeg,,12.992,6.496,6.0,6.143,0.254,1.0
commerce_street,2,Commerce Street_Cam4_20260108_083320_552_B.jpeg,,188.047,100.52,100.0,6.868,,
commerce_street,3,Commerce Street_Cam4_20260108_083456_658_B.jpeg,,358.923,273.485,,,,
commerce_street,4,Commerce Street_Cam4_20260108_083606_365_B.jpeg,,367.351,363.137,,,,
commerce_street,5,Commerce Street_Cam4_20260108_083608_768_B.jpeg,,378.948,373.15,,,,
commerce_street,6,Commerce Street_Cam4_20260108_083612_972_B.jpeg,,387.23,383.089,,,,
commerce_street,7,Commerce Street_Cam4_20260108_083624_382_B.jpeg,,400.456,393.843,,,,
commerce_street,8,Commerce Street_Cam4_20260108_083629_790_B.jpeg,,423.895,412.176,,,,
commerce_street,9,Commerce Street_Cam4_20260108_083636_396_B.jpeg,,449.492,436.694,,,,
commerce_street,10,Commerce Street_Cam4_20260108_083643_608_B.jpeg,,459.011,454.251,,,,
commerce_street,11,Commerce Street_Cam4_20260108_083646_011_B.jpeg,,469.156,464.083,,,,
commerce_street,12,Commerce Street_Cam4_20260108_083648_414_B.jpeg,,478.808,473.982,,,,
commerce_street,13,Commerce Street_Cam4_20260108_083650_816_B.jpeg,,489.479,484.143,,,,
commerce_street,14,Commerce Street_Cam4_20260108_083653_825_B.jpeg,,516.98,503.23,,,,
commerce_street,15,Commerce Street_Cam4_20260108_083701_633_B.jpeg,,527.747,522.363,522.0,4.0,-0.104,1.0
commerce_street,16,Commerce Street_Cam4_20260108_083704_639_B.jpeg,,688.437,608.092,608.0,4.98,,
commerce_street,17,Commerce Street_Cam4_20260108_083931_231_B.jpeg,,698.677,693.557,692.0,4.095,-0.006,1.0
commerce_street,18,Commerce Street_Cam4_20260108_083934_236_B.jpeg,,707.73,703.203,,,,
commerce_street,19,Commerce Street_Cam4_20260108_083936_639_B.jpeg,,754.521,731.125,,,,
commerce_street,20,Commerce Street_Cam4_20260108_084005_470_B.jpeg,,764.379,759.45,,,,
commerce_street,21,Commerce Street_Cam4_20260108_084012_677_B.jpeg,,772.594,768.486,,,,
commerce_street,22,Commerce Street_Cam4_20260108_084018_685_B.jpeg,,783.248,777.921,,,,
commerce_street,23,Commerce Street_Cam4_20260108_084022_891_B.jpeg,,888.849,836.048,,,,
commerce_street,24,Commerce Street_Cam4_20260108_084242_860_B.jpeg,,960.784,924.816,924.0,4.307,,
commerce_street,25,Commerce Street_Cam4_20260108_084451_416_B.jpeg,,968.359,964.571,964.0,4.096,1.938,1.0
commerce_street,26,Commerce Street_Cam4_20260108_084453_818_B.jpeg,,1184.952,1076.655,,,,
commerce_street,27,Commerce Street_Cam4_20260108_090558_002_A.jpeg,,1196.392,1190.672,,,,
commerce_street,28,Commerce Street_Cam4_20260108_090601_607_A.jpeg,,1205.422,1200.907,,,,
commerce_street,29,Commerce Street_Cam4_20260108_090604_011_A.jpeg,,1216.987,1211.204,,,,
commerce_street,30,Commerce Street_Cam4_20260108_090607_013_A.jpeg,,1256.25,1236.619,,,,
commerce_street,31,Commerce Street_Cam4_20260108_090618_433_A.jpeg,,1262.726,1259.488,,,,
commerce_street,32,Commerce Street_Cam4_20260108_090620_237_A.jpeg,,1272.068,1267.397,,,,
commerce_street,33,Commerce Street_Cam4_20260108_090622_639_A.jpeg,,1281.848,1276.958,,,,
commerce_street,34,Commerce Street_Cam4_20260108_090625_041_A.jpeg,,1310.722,1296.285,,,,
commerce_street,35,Commerce Street_Cam4_20260108_090632_855_A.jpeg,,1319.933,1315.328,,,,
commerce_street,36,Commerce Street_Cam4_20260108_090635_261_A.jpeg,,1735.434,1527.684,,,,
commerce_street,37,Commerce Street_Cam4_20260109_085459_293_C.jpeg,,1874.02,1804.727,1804.0,8.529,,
commerce_street,38,Commerce Street_Cam4_20260109_085532_332_C.jpeg,,1890.286,1882.153,1882.0,3.708,4.271,1.0
commerce_street,39,Commerce Street_Cam4_20260109_085544_949_C.jpeg,,1898.805,1894.545,1894.0,4.199,,
commerce_street,40,Commerce Street_Cam4_20260109_085546_151_C.jpeg,,1905.478,1902.142,1902.0,4.03,,
commerce_street,41,Commerce Street_Cam4_20260109_085550_957_C.jpeg,,1916.094,1910.786,1910.0,4.898,,
commerce_street,42,Commerce Street_Cam4_20260109_090155_074_C.jpeg,,1992.03,1954.062,1954.0,4.183,-0.491,1.0
commerce_street,43,Commerce Street_Cam4_20260109_090322_773_C.jpeg,,1999.632,1995.831,1996.0,3.994,-2.452,1.0
commerce_street,44,Commerce Street_Cam4_20260109_090325_179_C.jpeg,,2008.86,2004.246,2004.0,3.763,-1.313,1.0
commerce_street,45,Commerce Street_Cam4_20260109_090328_182_C.jpeg,,2018.308,2013.584,2014.0,3.798,5.057,1.0
commerce_street,46,Commerce Street_Cam4_20260109_090331_194_C.jpeg,,2031.266,2024.787,2024.0,4.504,1.018,1.0
commerce_street,47,Commerce Street_Cam4_20260109_090335_399_C.jpeg,,2040.262,2035.764,2036.0,4.001,,
commerce_street,48,Commerce Street_Cam4_20260109_090338_406_C.jpeg,,2048.645,2044.454,2044.0,4.013,-0.935,1.0
commerce_street,49,Commerce Street_Cam4_20260109_090341_410_C.jpeg,,2059.478,2054.062,2054.0,3.826,-1.354,1.0
commerce_street,50,Commerce Street_Cam4_20260109_090345_012_C.jpeg,,2070.743,2065.11,2066.0,3.738,-1.615,1.0
commerce_street,51,Commerce Street_Cam4_20260109_090348_629_C.jpeg,,2081.88,2076.311,2076.0,3.355,-1.771,1.0
commerce_street,52,Commerce Street_Cam4_20260109_090352_234_C.jpeg,,2103.178,2092.529,2092.0,3.726,-2.188,1.0
commerce_street,53,Commerce Street_Cam4_20260109_090413_863_C.jpeg,,2130.611,2116.895,2116.0,4.251,0.875,1.0
commerce_street,54,Commerce Street_Cam4_20260109_090433_099_C.jpeg,,2170.481,2150.546,2150.0,4.482,4.387,1.0
commerce_street,55,Commerce Street_Cam4_20260109_090450_530_C.jpeg,,2198.741,2184.611,2184.0,4.849,,
commerce_street,56,Commerce Street_Cam4_20260109_090501_342_C.jpeg,,2204.755,2201.748,2202.0,4.143,,
commerce_street,57,Commerce Street_Cam4_20260109_090503_143_C.jpeg,,2288.017,2246.386,2246.0,3.95,0.127,1.0
commerce_street,58,Commerce Street_Cam4_20260109_090534_400_C.jpeg,,2316.21,2302.113,2302.0,4.85,,
commerce_street,59,Commerce Street_Cam4_20260109_090543_413_C.jpeg,,2327.974,2322.092,2322.0,4.192,-0.476,1.0
