path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
fullerton_road,Fullerton Road,706.0,30231.5,29859.1,9.709,8.618,8.618,,,FULLERTON ROAD,37.692
fullerton_road,Fullerton Road,708.0,30231.874,29861.065,9.314,8.618,8.492,,,FULLERTON ROAD,36.292
fullerton_road,Fullerton Road,710.0,30232.249,29863.03,8.618,8.366,8.366,,,FULLERTON ROAD,34.891
fullerton_road,Fullerton Road,712.0,30232.623,29864.994,8.796,8.114,8.114,,,FULLERTON ROAD,33.49
fullerton_road,Fullerton Road,714.0,30232.997,29866.959,7.862,7.862,7.863,,,FULLERTON ROAD,32.09
fullerton_road,Fullerton Road,716.0,30233.371,29868.924,7.531,7.863,7.863,,,FULLERTON ROAD,30.689
fullerton_road,Fullerton Road,718.0,30233.746,29870.888,7.877,7.863,7.863,,,FULLERTON ROAD,29.288
fullerton_road,Fullerton Road,720.0,30234.12,29872.853,7.398,7.864,7.864,,,FULLERTON ROAD,27.887
fullerton_road,Fullerton Road,722.0,30234.494,29874.818,7.098,7.865,7.865,,,FULLERTON ROAD,26.487
fullerton_road,Fullerton Road,724.0,30234.868,29876.782,7.786,7.866,7.866,,,FULLERTON ROAD,25.086
fullerton_road,Fullerton Road,726.0,30235.243,29878.747,7.866,7.866,7.866,,,FULLERTON ROAD,23.685
fullerton_road,Fullerton Road,728.0,30235.617,29880.712,8.048,8.048,7.95,,,FULLERTON ROAD,22.284
fullerton_road,Fullerton Road,730.0,30235.991,29882.676,8.193,8.193,7.95,-2.0,1.0,FULLERTON ROAD,20.884
fullerton_road,Fullerton Road,732.0,30236.365,29884.641,13.568,7.95,7.95,-5.48,1.0,FULLERTON ROAD,19.483
fullerton_road,Fullerton Road,734.0,30236.74,29886.606,11.215,7.706,7.706,,,FULLERTON ROAD,18.082
fullerton_road,Fullerton Road,736.0,30237.114,29888.57,7.463,7.463,7.511,,,FULLERTON ROAD,16.682
fullerton_road,Fullerton Road,738.0,30237.488,29890.535,6.968,7.487,7.511,,,FULLERTON ROAD,15.281
fullerton_road,Fullerton Road,740.0,30237.862,29892.5,6.768,7.511,7.511,,,FULLERTON ROAD,13.88
fullerton_road,Fullerton Road,742.0,30238.237,29894.464,6.671,7.535,7.535,,,FULLERTON ROAD,12.479
fullerton_road,Fullerton Road,744.0,30237.817,29896.382,7.534,7.56,7.535,,,FULLERTON ROAD,11.765
fullerton_road,Fullerton Road,746.0,30237.215,29898.289,7.584,7.584,7.535,,,FULLERTON ROAD,11.209
fullerton_road,Fullerton Road,748.0,30236.612,29900.197,6.88,7.338,7.338,,,FULLERTON ROAD,10.653
fullerton_road,Fullerton Road,750.0,30236.01,29902.104,7.093,7.093,7.093,,,FULLERTON ROAD,10.097
fullerton_road,Fullerton Road,752.0,30235.408,29904.011,8.341,6.963,6.963,,,FULLERTON ROAD,9.541
fullerton_road,Fullerton Road,754.0,30234.805,29905.918,6.537,6.833,6.833,,,FULLERTON ROAD,8.985
fullerton_road,Fullerton Road,756.0,30234.203,29907.825,6.703,6.703,6.75,,,FULLERTON ROAD,8.429
fullerton_road,Fullerton Road,758.0,30233.601,29909.732,6.33,6.727,6.75,,,FULLERTON ROAD,7.873
fullerton_road,Fullerton Road,760.0,30232.998,29911.639,8.062,6.75,6.75,0.29,1.0,FULLERTON ROAD,7.317
fullerton_road,Fullerton Road,762.0,30232.396,29913.547,7.091,6.773,6.75,,,FULLERTON ROAD,6.75
fullerton_road,Fullerton Road,764.0,30231.794,29915.454,6.796,6.796,6.773,,,FULLERTON ROAD,6.081
fullerton_road,Fullerton Road,766.0,30231.191,29917.361,6.743,6.743,6.796,,,FULLERTON ROAD,5.412
fullerton_road,Fullerton Road,768.0,30230.589,29919.268,6.925,6.925,6.796,,,FULLERTON ROAD,4.743
fullerton_road,Fullerton Road,770.0,30229.987,29921.175,5.972,6.816,6.743,-1.587,1.0,FULLERTON ROAD,4.074
fullerton_road,Fullerton Road,772.0,30229.384,29923.082,6.166,6.706,6.706,-1.587,1.0,FULLERTON ROAD,3.405
fullerton_road,Fullerton Road,774.0,30228.782,29924.989,6.597,6.597,6.669,,,FULLERTON ROAD,2.736
fullerton_road,Fullerton Road,776.0,30228.18,29926.897,6.608,6.608,6.669,,,FULLERTON ROAD,2.067
fullerton_road,Fullerton Road,778.0,30227.577,29928.804,6.669,6.669,6.623,-0.573,1.0,FULLERTON ROAD,1.398
fullerton_road,Fullerton Road,780.0,30226.975,29930.711,6.839,6.839,6.623,-2.164,1.0,FULLERTON ROAD,0.729
fullerton_road,Fullerton Road,782.0,30226.373,29932.618,6.623,6.623,6.623,-3.755,1.0,FULLERTON ROAD,0.06
fullerton_road,Fullerton Road,784.0,30225.77,29934.525,6.098,6.473,6.473,-3.755,1.0,FULLERTON ROAD,0.609
fullerton_road,Fullerton Road,786.0,30225.168,29936.432,6.323,6.323,6.323,-3.755,1.0,FULLERTON ROAD,1.278
fullerton_road,Fullerton Road,788.0,30224.566,29938.339,6.243,6.243,6.323,,,FULLERTON ROAD,1.947
fullerton_road,Fullerton Road,790.0,30223.964,29940.247,6.316,6.316,6.323,,,FULLERTON ROAD,2.616
fullerton_road,Fullerton Road,792.0,30223.361,29942.154,6.414,6.414,6.36,,,FULLERTON ROAD,3.285
fullerton_road,Fullerton Road,794.0,30222.759,29944.061,7.494,6.387,6.36,,,FULLERTON ROAD,3.954
fullerton_road,Fullerton Road,796.0,30222.157,29945.968,7.981,6.36,6.36,,,FULLERTON ROAD,4.678
fullerton_road,Fullerton Road,798.0,30222.275,29946.855,7.531,6.332,6.332,,,FULLERTON ROAD,5.421
fullerton_road,Fullerton Road,800.0,30223.872,29945.652,7.553,6.305,6.315,,,FULLERTON ROAD,5.801
fullerton_road,Fullerton Road,802.0,30225.469,29944.448,6.278,6.278,6.305,,,FULLERTON ROAD,6.35
fullerton_road,Fullerton Road,804.0,30227.066,29943.244,6.315,6.315,6.305,,,FULLERTON ROAD,6.898
fullerton_road,Fullerton Road,806.0,30228.663,29942.04,6.139,6.139,6.315,,,FULLERTON ROAD,7.447
fullerton_road,Fullerton Road,808.0,30230.261,29940.836,6.241,6.375,6.375,5.191,1.0,FULLERTON ROAD,7.996
fullerton_road,Fullerton Road,810.0,30231.858,29939.632,6.544,6.611,6.611,6.655,1.0,FULLERTON ROAD,8.544
fullerton_road,Fullerton Road,812.0,30233.455,29938.428,6.847,6.847,6.72,,,FULLERTON ROAD,9.093
fullerton_road,Fullerton Road,814.0,30235.052,29937.224,6.72,6.72,6.847,,,FULLERTON ROAD,9.642
fullerton_road,Fullerton Road,816.0,30236.649,29936.02,7.001,7.001,6.912,3.504,1.0,FULLERTON ROAD,10.19
fullerton_road,Fullerton Road,818.0,30238.246,29934.817,6.912,6.912,7.001,,,FULLERTON ROAD,10.739
fullerton_road,Fullerton Road,820.0,30239.843,29933.613,7.06,7.06,7.001,,,FULLERTON ROAD,11.287
fullerton_road,Fullerton Road,822.0,30241.44,29932.409,9.97,7.012,6.964,,,FULLERTON ROAD,11.836
fullerton_road,Fullerton Road,824.0,30243.037,29931.205,8.705,6.964,6.964,,,FULLERTON ROAD,12.385
fullerton_road,Fullerton Road,826.0,30244.634,29930.001,7.931,6.916,6.964,,,FULLERTON ROAD,12.933
fullerton_road,Fullerton Road,828.0,30245.897,29928.547,7.687,6.868,6.964,,,FULLERTON ROAD,13.064
fullerton_road,Fullerton Road,830.0,30246.601,29926.675,6.82,7.028,7.028,,,FULLERTON ROAD,12.498
fullerton_road,Fullerton Road,832.0,30247.306,29924.803,6.82,7.187,7.147,,,FULLERTON ROAD,11.932
fullerton_road,Fullerton Road,834.0,30248.01,29922.931,7.555,7.167,7.147,,,FULLERTON ROAD,11.437
fullerton_road,Fullerton Road,836.0,30248.714,29921.06,7.735,7.147,7.147,,,FULLERTON ROAD,10.986
fullerton_road,Fullerton Road,838.0,30249.419,29919.188,7.937,7.127,7.127,,,FULLERTON ROAD,10.534
fullerton_road,Fullerton Road,840.0,30250.123,29917.316,7.106,7.106,7.106,,,FULLERTON ROAD,10.083
fullerton_road,Fullerton Road,842.0,30250.828,29915.444,7.435,7.051,7.051,,,FULLERTON ROAD,9.631
fullerton_road,Fullerton Road,844.0,30251.532,29913.572,7.056,6.995,6.995,-1.514,1.0,FULLERTON ROAD,9.179
fullerton_road,Fullerton Road,846.0,30252.236,29911.7,6.747,6.939,6.995,,,FULLERTON ROAD,8.728
fullerton_road,Fullerton Road,848.0,30252.941,29909.828,6.883,6.883,6.985,,,FULLERTON ROAD,8.276
fullerton_road,Fullerton Road,850.0,30253.645,29907.957,7.045,7.045,6.939,,,FULLERTON ROAD,7.825
fullerton_road,Fullerton Road,852.0,30254.35,29906.085,6.985,6.985,6.905,-1.418,1.0,FULLERTON ROAD,7.373
fullerton_road,Fullerton Road,854.0,30255.054,29904.213,6.905,6.905,6.905,-2.716,1.0,FULLERTON ROAD,6.921
fullerton_road,Fullerton Road,856.0,30255.758,29902.341,6.872,6.872,6.872,-3.867,1.0,FULLERTON ROAD,6.47
fullerton_road,Fullerton Road,858.0,30256.463,29900.469,6.722,6.722,6.722,-4.556,1.0,FULLERTON ROAD,6.018
fullerton_road,Fullerton Road,860.0,30257.167,29898.597,6.595,6.595,6.595,-5.244,1.0,FULLERTON ROAD,5.567
fullerton_road,Fullerton Road,862.0,30257.872,29896.725,6.236,6.452,6.452,-3.432,1.0,FULLERTON ROAD,5.115
fullerton_road,Fullerton Road,864.0,30258.576,29894.854,6.309,6.309,6.452,-1.848,1.0,FULLERTON ROAD,4.664
fullerton_road,Fullerton Road,866.0,30259.28,29892.982,6.447,6.447,6.447,0.306,1.0,FULLERTON ROAD,4.212
fullerton_road,Fullerton Road,868.0,30259.985,29891.11,6.649,6.649,6.447,2.461,1.0,FULLERTON ROAD,3.76
fullerton_road,Fullerton Road,870.0,30260.689,29889.238,6.44,6.44,6.611,3.966,1.0,FULLERTON ROAD,3.309
fullerton_road,Fullerton Road,872.0,30261.394,29887.366,6.611,6.611,6.649,,,FULLERTON ROAD,2.857
fullerton_road,Fullerton Road,874.0,30262.098,29885.494,6.886,6.886,6.765,,,FULLERTON ROAD,2.406
fullerton_road,Fullerton Road,876.0,30262.802,29883.623,6.376,6.825,6.765,,,FULLERTON ROAD,1.954
fullerton_road,Fullerton Road,878.0,30263.507,29881.751,7.211,6.765,6.765,-0.577,1.0,FULLERTON ROAD,1.502
fullerton_road,Fullerton Road,880.0,30264.211,29879.879,6.659,6.704,6.722,,,FULLERTON ROAD,1.051
fullerton_road,Fullerton Road,882.0,30264.916,29878.007,6.643,6.643,6.718,,,FULLERTON ROAD,0.599
fullerton_road,Fullerton Road,884.0,30265.62,29876.135,6.722,6.722,6.704,,,FULLERTON ROAD,0.148
fullerton_road,Fullerton Road,886.0,30266.324,29874.263,6.718,6.718,6.643,-1.223,1.0,FULLERTON ROAD,0.304
fullerton_road,Fullerton Road,888.0,30267.029,29872.391,6.631,6.631,6.631,-1.138,1.0,FULLERTON ROAD,0.755
fullerton_road,Fullerton Road,890.0,30267.733,29870.52,6.621,6.621,6.621,,,FULLERTON ROAD,1.207
fullerton_road,Fullerton Road,892.0,30268.438,29868.648,6.61,6.61,6.613,,,FULLERTON ROAD,1.659
fullerton_road,Fullerton Road,894.0,30269.142,29866.776,7.099,6.612,6.613,-0.095,1.0,FULLERTON ROAD,2.11
fullerton_road,Fullerton Road,896.0,30269.846,29864.904,7.099,6.613,6.612,0.0,1.0,FULLERTON ROAD,2.562
fullerton_road,Fullerton Road,898.0,30270.551,29863.032,6.614,6.614,6.613,,,FULLERTON ROAD,3.013
