path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
keng_cheow_street,Keng Cheow Street,0.0,29133.19,30006.853,3.342,3.342,3.573,,,KENG CHEOW STREET,7.712
keng_cheow_street,Keng Cheow Street,2.0,29135.09,30007.477,3.35,3.573,3.689,7.247,1.0,KENG CHEOW STREET,6.725
keng_cheow_street,Keng Cheow Street,4.0,29136.99,30008.1,3.26,3.804,3.804,5.776,1.0,KENG CHEOW STREET,5.739
keng_cheow_street,Keng Cheow Street,6.0,29138.89,30008.724,4.035,4.035,4.008,,,KENG CHEOW STREET,4.752
keng_cheow_street,Keng Cheow Street,8.0,29140.791,30009.348,4.205,4.205,4.035,,,KENG CHEOW STREET,3.764
keng_cheow_street,Keng Cheow Street,10.0,29142.588,30010.124,4.008,4.008,4.062,,,KENG CHEOW STREET,2.956
keng_cheow_street,Keng Cheow Street,12.0,29143.885,30011.647,3.719,4.062,4.205,,,KENG CHEOW STREET,3.021
keng_cheow_street,Keng Cheow Street,14.0,29145.181,30013.171,4.981,4.326,4.326,,,KENG CHEOW STREET,3.086
keng_cheow_street,Keng Cheow Street,16.0,29146.477,30014.694,5.304,4.707,4.707,,,KENG CHEOW STREET,3.151
keng_cheow_street,Keng Cheow Street,18.0,29147.774,30016.217,3.749,5.088,5.088,,,KENG CHEOW STREET,3.216
keng_cheow_street,Keng Cheow Street,20.0,29149.07,30017.74,3.374,5.607,5.607,,,KENG CHEOW STREET,3.281
keng_cheow_street,Keng Cheow Street,22.0,29150.395,30019.235,6.234,6.126,6.126,,,KENG CHEOW STREET,3.307
keng_cheow_street,Keng Cheow Street,24.0,29151.815,30020.644,6.098,6.646,6.646,,,KENG CHEOW STREET,3.203
keng_cheow_street,Keng Cheow Street,26.0,29153.235,30022.052,6.157,7.165,7.165,,,KENG CHEOW STREET,3.099
keng_cheow_street,Keng Cheow Street,28.0,29154.655,30023.461,4.692,7.684,7.684,,,KENG CHEOW STREET,2.996
