path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
liang_seah_street,Liang Seah Street,18.0,30595.445,31118.839,5.704,5.704,5.659,,,LIANG SEAH STREET,4.462
liang_seah_street,Liang Seah Street,20.0,30594.183,31120.389,6.328,5.659,5.636,0.0,1.0,LIANG SEAH STREET,4.38
liang_seah_street,Liang Seah Street,22.0,30592.872,31121.9,5.422,5.614,5.659,0.56,1.0,LIANG SEAH STREET,4.36
liang_seah_street,Liang Seah Street,24.0,30591.562,31123.411,7.253,5.569,5.659,,,LIANG SEAH STREET,4.34
liang_seah_street,Liang Seah Street,26.0,30590.251,31124.922,5.716,5.716,5.704,,,LIANG SEAH STREET,4.32
liang_seah_street,Liang Seah Street,28.0,30588.941,31126.432,5.704,5.704,5.716,,,LIANG SEAH STREET,4.3
liang_seah_street,Liang Seah Street,30.0,30587.631,31127.943,5.822,5.822,5.716,,,LIANG SEAH STREET,4.28
liang_seah_street,Liang Seah Street,32.0,30586.32,31129.454,6.76,5.768,5.714,,,LIANG SEAH STREET,4.26
liang_seah_street,Liang Seah Street,34.0,30585.016,31130.97,8.478,5.714,5.714,,,LIANG SEAH STREET,4.232
liang_seah_street,Liang Seah Street,36.0,30583.764,31132.53,7.331,5.66,5.66,,,LIANG SEAH STREET,4.137
liang_seah_street,Liang Seah Street,38.0,30582.511,31134.089,6.49,5.606,5.606,,,LIANG SEAH STREET,4.041
liang_seah_street,Liang Seah Street,40.0,30581.256,31135.646,3.306,5.551,5.551,,,LIANG SEAH STREET,3.949
liang_seah_street,Liang Seah Street,42.0,30579.891,31137.108,4.543,5.497,5.497,,,LIANG SEAH STREET,4.003
liang_seah_street,Liang Seah Street,44.0,30578.526,31138.569,5.793,5.478,5.478,,,LIANG SEAH STREET,4.056
liang_seah_street,Liang Seah Street,46.0,30577.161,31140.031,3.768,5.458,5.458,,,LIANG SEAH STREET,4.11
liang_seah_street,Liang Seah Street,48.0,30575.796,31141.493,5.781,5.439,5.439,,,LIANG SEAH STREET,4.163
liang_seah_street,Liang Seah Street,50.0,30574.43,31142.954,4.318,5.42,5.42,,,LIANG SEAH STREET,4.217
liang_seah_street,Liang Seah Street,52.0,30573.069,31144.419,4.481,5.4,5.42,,,LIANG SEAH STREET,4.266
liang_seah_street,Liang Seah Street,54.0,30571.712,31145.888,5.381,5.381,5.42,,,LIANG SEAH STREET,4.309
liang_seah_street,Liang Seah Street,56.0,30570.354,31147.357,4.156,5.431,5.431,,,LIANG SEAH STREET,4.352
liang_seah_street,Liang Seah Street,58.0,30568.997,31148.826,5.281,5.481,5.481,4.515,1.0,LIANG SEAH STREET,4.395
liang_seah_street,Liang Seah Street,60.0,30567.637,31150.292,9.731,5.531,5.531,,,LIANG SEAH STREET,4.441
liang_seah_street,Liang Seah Street,62.0,30566.273,31151.755,3.581,5.781,5.781,,,LIANG SEAH STREET,4.494
liang_seah_street,Liang Seah Street,64.0,30564.908,31153.217,6.031,6.031,5.798,3.333,1.0,LIANG SEAH STREET,4.546
liang_seah_street,Liang Seah Street,66.0,30563.544,31154.679,10.068,5.914,5.798,-1.25,1.0,LIANG SEAH STREET,4.599
liang_seah_street,Liang Seah Street,68.0,30562.179,31156.142,4.506,5.798,5.798,-2.917,1.0,LIANG SEAH STREET,4.652
liang_seah_street,Liang Seah Street,70.0,30560.832,31157.619,4.493,5.681,5.681,-4.375,1.0,LIANG SEAH STREET,4.682
liang_seah_street,Liang Seah Street,72.0,30559.517,31159.127,9.806,5.564,5.564,-5.833,1.0,LIANG SEAH STREET,4.667
liang_seah_street,Liang Seah Street,74.0,30558.203,31160.634,9.581,5.448,5.448,,,LIANG SEAH STREET,4.652
liang_seah_street,Liang Seah Street,76.0,30556.889,31162.142,5.331,5.331,5.331,,,LIANG SEAH STREET,4.637
liang_seah_street,Liang Seah Street,78.0,30555.575,31163.649,5.331,5.041,5.041,,,LIANG SEAH STREET,4.622
liang_seah_street,Liang Seah Street,80.0,30554.261,31165.157,4.381,4.75,4.75,,,LIANG SEAH STREET,4.607
liang_seah_street,Liang Seah Street,82.0,30552.946,31166.665,5.873,4.488,4.488,,,LIANG SEAH STREET,4.592
liang_seah_street,Liang Seah Street,84.0,30551.632,31168.172,5.823,4.226,4.226,,,LIANG SEAH STREET,4.577
liang_seah_street,Liang Seah Street,86.0,30550.957,31170.01,3.373,3.964,3.964,,,LIANG SEAH STREET,3.865
liang_seah_street,Liang Seah Street,88.0,30550.491,31171.954,4.423,3.702,3.702,,,LIANG SEAH STREET,2.925
