path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
marina_way,Marina Way,502.0,30349.141,28966.536,3.708,3.708,3.615,0.0,1.0,MARINA WAY,12.029
marina_way,Marina Way,504.0,30350.153,28964.81,3.576,3.576,3.637,-0.197,1.0,MARINA WAY,10.249
marina_way,Marina Way,506.0,30351.165,28963.085,3.615,3.615,3.615,0.0,1.0,MARINA WAY,8.468
marina_way,Marina Way,508.0,30352.177,28961.36,3.658,3.658,3.603,,,MARINA WAY,6.687
marina_way,Marina Way,510.0,30353.189,28959.635,3.515,3.515,3.615,,,MARINA WAY,4.907
marina_way,Marina Way,512.0,30354.201,28957.91,3.362,3.603,3.658,,,MARINA WAY,3.126
marina_way,Marina Way,514.0,30355.213,28956.185,3.515,3.875,3.875,,,MARINA WAY,1.345
marina_way,Marina Way,516.0,30356.225,28954.46,3.501,4.146,4.146,,,MARINA WAY,0.435
marina_way,Marina Way,518.0,30357.237,28952.735,4.247,4.418,4.418,,,MARINA WAY,2.216
marina_way,Marina Way,520.0,30358.249,28951.01,4.803,4.689,4.689,,,MARINA WAY,3.997
marina_way,Marina Way,522.0,30359.261,28949.285,5.376,4.96,4.96,,,MARINA WAY,5.777
marina_way,Marina Way,524.0,30360.273,28947.559,5.733,5.239,5.239,,,MARINA WAY,7.558
marina_way,Marina Way,526.0,30361.285,28945.834,5.076,5.519,5.519,,,MARINA WAY,9.339
marina_way,Marina Way,528.0,30361.54,28944.152,6.001,5.798,5.798,,,MARINA WAY,10.459
marina_way,Marina Way,530.0,30360.342,28942.55,5.598,5.83,5.83,,,MARINA WAY,10.31
marina_way,Marina Way,532.0,30359.144,28940.949,6.994,5.862,5.862,,,MARINA WAY,10.16
marina_way,Marina Way,534.0,30357.946,28939.347,5.769,5.894,5.862,,,MARINA WAY,10.011
marina_way,Marina Way,536.0,30356.948,28937.617,5.926,5.926,5.862,,,MARINA WAY,10.1
marina_way,Marina Way,538.0,30355.984,28935.864,5.676,5.676,5.705,,,MARINA WAY,10.229
marina_way,Marina Way,540.0,30355.02,28934.112,6.408,5.69,5.705,-1.786,1.0,MARINA WAY,10.358
marina_way,Marina Way,542.0,30354.056,28932.359,5.538,5.705,5.705,,,MARINA WAY,10.488
marina_way,Marina Way,544.0,30353.093,28930.607,5.719,5.719,5.719,,,MARINA WAY,10.617
marina_way,Marina Way,546.0,30352.085,28928.88,7.694,5.739,5.739,,,MARINA WAY,10.696
marina_way,Marina Way,548.0,30351.064,28927.16,7.346,5.76,5.76,,,MARINA WAY,10.76
marina_way,Marina Way,550.0,30350.043,28925.44,8.374,5.78,5.78,,,MARINA WAY,10.823
marina_way,Marina Way,552.0,30349.022,28923.721,5.285,5.8,5.8,,,MARINA WAY,10.887
marina_way,Marina Way,554.0,30348.001,28922.001,5.645,5.821,5.821,,,MARINA WAY,10.95
marina_way,Marina Way,556.0,30346.933,28920.31,5.038,5.841,5.841,,,MARINA WAY,10.959
marina_way,Marina Way,558.0,30345.844,28918.632,4.027,5.861,5.861,,,MARINA WAY,10.943
marina_way,Marina Way,560.0,30344.756,28916.954,4.092,5.882,5.882,,,MARINA WAY,10.927
marina_way,Marina Way,562.0,30343.667,28915.277,5.692,5.902,5.902,,,MARINA WAY,10.911
marina_way,Marina Way,564.0,30342.579,28913.599,6.408,5.922,5.922,,,MARINA WAY,10.895
marina_way,Marina Way,566.0,30341.49,28911.921,5.87,5.943,5.943,,,MARINA WAY,10.879
marina_way,Marina Way,568.0,30340.385,28910.254,4.306,5.963,5.945,,,MARINA WAY,10.844
marina_way,Marina Way,570.0,30339.261,28908.6,6.056,6.056,5.963,,,MARINA WAY,10.785
marina_way,Marina Way,572.0,30338.136,28906.946,5.945,5.945,6.028,,,MARINA WAY,10.726
marina_way,Marina Way,574.0,30337.012,28905.292,3.956,6.028,6.056,,,MARINA WAY,10.667
marina_way,Marina Way,576.0,30335.905,28903.626,4.131,6.11,6.11,,,MARINA WAY,10.629
marina_way,Marina Way,598.0,30324.05,28885.094,4.768,6.192,6.192,,,MARINA WAY,10.595
marina_way,Marina Way,600.0,30322.972,28883.409,5.986,6.275,6.275,,,MARINA WAY,10.592
marina_way,Marina Way,602.0,30321.894,28881.725,5.905,6.357,6.357,,,MARINA WAY,10.589
marina_way,Marina Way,604.0,30320.816,28880.04,4.13,6.439,6.439,,,MARINA WAY,10.586
marina_way,Marina Way,606.0,30319.739,28878.355,6.973,6.453,6.453,,,MARINA WAY,10.583
marina_way,Marina Way,608.0,30318.661,28876.67,6.455,6.466,6.466,1.961,1.0,MARINA WAY,10.58
marina_way,Marina Way,610.0,30317.583,28874.986,6.48,6.48,6.48,,,MARINA WAY,10.577
marina_way,Marina Way,612.0,30316.505,28873.301,4.104,6.596,6.596,,,MARINA WAY,10.574
