path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
middle_road,1,Cam4_20251208_073619_405_C.jpeg,,13.414,6.707,,,,
middle_road,2,Cam4_20251208_073622_408_C.jpeg,,119.306,66.36,66.0,4.247,,
middle_road,3,Cam4_20251208_073858_191_C.jpeg,,160.232,139.769,,,,
middle_road,4,Cam4_20251208_073931_239_C.jpeg,,269.969,215.1,,,,
middle_road,5,Cam4_20251208_074110_260_C.jpeg,,286.614,278.291,,,,
middle_road,6,Cam4_20251208_074203_120_C.jpeg,,763.274,524.944,524.0,13.683,,
middle_road,7,Cam4_20251211_075530_831_A.jpeg,,773.092,768.183,768.0,,,
middle_road,8,Cam4_20251211_075539_886_A.jpeg,,795.221,784.156,784.0,,,
middle_road,9,Cam4_20251211_075614_566_A.jpeg,,834.72,814.971,,,,
middle_road,10,Cam4_20251211_075730_507_A.jpeg,,869.179,851.949,,,,
middle_road,11,Cam4_20251211_075817_284_A.jpeg,,878.527,873.853,874.0,,,
middle_road,12,Cam4_20251211_075820_299_A.jpeg,,891.306,884.916,884.0,,,
middle_road,13,Cam4_20251211_075824_863_A.jpeg,,903.111,897.209,898.0,,,
middle_road,14,Cam4_20251211_075829_371_A.jpeg,,927.774,915.443,916.0,9.208,-4.333,1.0
middle_road,15,Cam4_20251211_075838_403_A.jpeg,,957.699,942.737,942.0,8.082,-4.333,1.0
middle_road,16,Cam4_20251211_075848_966_A.jpeg,,964.58,961.14,,,,
middle_road,17,Cam4_20251211_075851_487_A.jpeg,,973.019,968.8,,,,
middle_road,18,Cam4_20251211_075900_047_A.jpeg,,1087.931,1030.475,1030.0,10.263,7.502,1.0
middle_road,19,Cam4_20251211_080419_201_A.jpeg,,1097.086,1092.508,1092.0,3.657,,
middle_road,20,Cam4_20251211_080423_206_A.jpeg,,1108.519,1102.802,1102.0,3.329,,
middle_road,21,Cam4_20251211_080428_230_A.jpeg,,1117.185,1112.852,1112.0,3.782,,
middle_road,22,Cam4_20251211_080437_264_A.jpeg,,1127.391,1122.288,1122.0,4.756,,
middle_road,23,Cam4_20251211_080505_865_A.jpeg,,1172.939,1150.165,,,,
middle_road,24,Cam4_20251211_080553_493_A.jpeg,,1185.972,1179.455,1180.0,9.19,,
middle_road,25,Cam4_20251211_080557_520_A.jpeg,,1193.738,1189.855,1190.0,8.853,,
middle_road,26,Cam4_20251211_080559_522_A.jpeg,,1201.648,1197.693,1198.0,7.835,,
middle_road,27,Cam4_20251211_080601_529_A.jpeg,,1213.03,1207.339,1208.0,7.677,,
middle_road,28,Cam4_20251211_080604_542_A.jpeg,,1242.826,1227.928,1228.0,8.106,,
middle_road,29,Cam4_20251211_080613_555_A.jpeg,,1248.993,1245.91,1246.0,8.538,,
middle_road,30,Cam4_20251211_080615_557_A.jpeg,,1288.23,1268.611,,,,
middle_road,31,Cam4_20251211_081319_207_A.jpeg,,1297.069,1292.649,1292.0,7.181,,
middle_road,32,Cam4_20251211_081322_724_A.jpeg,,1311.302,1304.185,1304.0,9.905,,
middle_road,33,Cam4_20251211_081412_449_A.jpeg,,1319.606,1315.454,1316.0,13.0,,
