path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
nicoll_highway,Nicoll Highway,0.0,31353.247,31493.558,8.606,10.191,10.191,,,NICOLL HIGHWAY,21.186
nicoll_highway,Nicoll Highway,2.0,31355.204,31493.144,6.351,10.191,10.191,,,NICOLL HIGHWAY,19.714
nicoll_highway,Nicoll Highway,4.0,31357.161,31492.73,6.461,10.191,10.191,,,NICOLL HIGHWAY,18.241
nicoll_highway,Nicoll Highway,6.0,31359.117,31492.315,7.074,10.191,10.191,,,NICOLL HIGHWAY,16.769
nicoll_highway,Nicoll Highway,8.0,31361.074,31491.901,10.191,10.191,10.191,,,NICOLL HIGHWAY,15.297
nicoll_highway,Nicoll Highway,10.0,31363.03,31491.486,9.66,10.016,10.016,,,NICOLL HIGHWAY,13.824
nicoll_highway,Nicoll Highway,12.0,31364.795,31491.99,11.521,9.841,9.841,,,NICOLL HIGHWAY,13.211
nicoll_highway,Nicoll Highway,14.0,31366.423,31493.153,11.461,9.666,9.666,,,NICOLL HIGHWAY,13.214
nicoll_highway,Nicoll Highway,16.0,31368.05,31494.315,10.239,9.491,9.491,,,NICOLL HIGHWAY,13.217
nicoll_highway,Nicoll Highway,18.0,31369.677,31495.478,9.316,9.316,9.316,,,NICOLL HIGHWAY,13.221
nicoll_highway,Nicoll Highway,20.0,31371.305,31496.641,10.816,8.829,8.829,,,NICOLL HIGHWAY,13.224
nicoll_highway,Nicoll Highway,22.0,31372.932,31497.803,9.492,8.341,8.341,,,NICOLL HIGHWAY,13.227
nicoll_highway,Nicoll Highway,24.0,31374.559,31498.966,8.325,7.853,7.853,,,NICOLL HIGHWAY,13.23
nicoll_highway,Nicoll Highway,26.0,31376.187,31500.129,9.12,,7.366,,,NICOLL HIGHWAY,13.234
nicoll_highway,Nicoll Highway,28.0,31377.814,31501.291,6.467,,6.878,,,NICOLL HIGHWAY,13.237
nicoll_highway,Nicoll Highway,30.0,31379.441,31502.454,4.306,6.39,6.39,,,NICOLL HIGHWAY,13.24
nicoll_highway,Nicoll Highway,32.0,31381.069,31503.617,4.22,5.903,5.903,,,NICOLL HIGHWAY,13.243
