path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
north_bridge_road,North Bridge Road,22.0,30791.504,31563.308,11.344,11.344,11.282,0.0,1.0,NORTH BRIDGE ROAD,6.507
north_bridge_road,North Bridge Road,24.0,30792.213,31565.178,10.994,11.282,11.25,0.0,1.0,NORTH BRIDGE ROAD,5.805
north_bridge_road,North Bridge Road,26.0,30792.921,31567.048,11.219,11.219,11.282,-0.781,1.0,NORTH BRIDGE ROAD,5.103
north_bridge_road,North Bridge Road,28.0,30793.63,31568.919,11.219,11.219,11.282,-1.406,1.0,NORTH BRIDGE ROAD,4.401
north_bridge_road,North Bridge Road,30.0,30794.339,31570.789,11.469,11.469,11.219,-2.031,1.0,NORTH BRIDGE ROAD,3.699
north_bridge_road,North Bridge Road,32.0,30795.048,31572.659,10.819,11.294,11.219,-2.166,1.0,NORTH BRIDGE ROAD,2.997
north_bridge_road,North Bridge Road,34.0,30795.756,31574.529,11.119,11.119,11.119,-1.519,1.0,NORTH BRIDGE ROAD,2.295
north_bridge_road,North Bridge Road,36.0,30796.465,31576.399,,11.109,11.109,-1.028,1.0,NORTH BRIDGE ROAD,1.593
north_bridge_road,North Bridge Road,38.0,30797.174,31578.27,,11.098,11.098,-0.537,1.0,NORTH BRIDGE ROAD,0.892
north_bridge_road,North Bridge Road,40.0,30797.883,31580.14,,11.087,11.087,-0.537,1.0,NORTH BRIDGE ROAD,0.19
north_bridge_road,North Bridge Road,42.0,30798.591,31582.01,,11.076,11.076,-0.537,1.0,NORTH BRIDGE ROAD,0.512
north_bridge_road,North Bridge Road,44.0,30799.3,31583.88,,11.066,11.066,-0.307,1.0,NORTH BRIDGE ROAD,1.214
north_bridge_road,North Bridge Road,46.0,30800.009,31585.75,,11.055,11.055,-0.307,1.0,NORTH BRIDGE ROAD,1.916
north_bridge_road,North Bridge Road,54.0,30802.844,31593.231,,11.044,11.044,-0.307,1.0,NORTH BRIDGE ROAD,3.169
north_bridge_road,North Bridge Road,56.0,30803.552,31595.102,,11.033,11.033,-0.307,1.0,NORTH BRIDGE ROAD,3.235
north_bridge_road,North Bridge Road,58.0,30804.261,31596.972,,11.023,11.023,-0.537,1.0,NORTH BRIDGE ROAD,3.3
north_bridge_road,North Bridge Road,60.0,30804.97,31598.842,,11.012,11.012,-0.537,1.0,NORTH BRIDGE ROAD,3.366
north_bridge_road,North Bridge Road,62.0,30805.679,31600.712,,11.001,11.001,-0.537,1.0,NORTH BRIDGE ROAD,3.432
north_bridge_road,North Bridge Road,64.0,30806.387,31602.582,,10.99,10.99,-0.537,1.0,NORTH BRIDGE ROAD,3.498
north_bridge_road,North Bridge Road,66.0,30807.096,31604.453,,10.98,10.98,-0.537,1.0,NORTH BRIDGE ROAD,3.564
north_bridge_road,North Bridge Road,68.0,30807.529,31606.382,,10.969,10.969,-0.537,1.0,NORTH BRIDGE ROAD,3.908
north_bridge_road,North Bridge Road,70.0,30807.649,31608.378,,10.958,10.958,-0.537,1.0,NORTH BRIDGE ROAD,4.565
north_bridge_road,North Bridge Road,72.0,30807.77,31610.375,,10.947,10.947,-0.537,1.0,NORTH BRIDGE ROAD,5.222
north_bridge_road,North Bridge Road,74.0,30807.891,31612.371,,10.937,10.937,-0.537,1.0,NORTH BRIDGE ROAD,5.88
north_bridge_road,North Bridge Road,76.0,30808.011,31614.367,,10.926,10.926,-0.537,1.0,NORTH BRIDGE ROAD,6.537
north_bridge_road,North Bridge Road,78.0,30808.181,31616.354,,10.915,10.915,-0.537,1.0,NORTH BRIDGE ROAD,7.145
north_bridge_road,North Bridge Road,80.0,30808.862,31618.234,,10.904,10.904,-0.537,1.0,NORTH BRIDGE ROAD,7.241
north_bridge_road,North Bridge Road,82.0,30809.542,31620.115,,10.894,10.894,-0.537,1.0,NORTH BRIDGE ROAD,7.337
north_bridge_road,North Bridge Road,84.0,30810.223,31621.995,,10.883,10.883,-0.47,1.0,NORTH BRIDGE ROAD,7.432
north_bridge_road,North Bridge Road,86.0,30811.189,31623.709,,10.872,10.872,-0.403,1.0,NORTH BRIDGE ROAD,7.201
north_bridge_road,North Bridge Road,88.0,30812.495,31625.223,,,10.867,-0.336,1.0,NORTH BRIDGE ROAD,6.578
north_bridge_road,North Bridge Road,90.0,30813.802,31626.738,,,10.861,,,NORTH BRIDGE ROAD,5.955
north_bridge_road,North Bridge Road,92.0,30815.109,31628.252,,,10.856,,,NORTH BRIDGE ROAD,5.332
north_bridge_road,North Bridge Road,94.0,30816.415,31629.766,,,,,,NORTH BRIDGE ROAD,4.71
north_bridge_road,North Bridge Road,96.0,30817.722,31631.28,,,,,,NORTH BRIDGE ROAD,4.087
north_bridge_road,North Bridge Road,98.0,30819.028,31632.794,,,,,,NORTH BRIDGE ROAD,3.464
north_bridge_road,North Bridge Road,100.0,30819.028,31634.643,,,,,,NORTH BRIDGE ROAD,4.176
north_bridge_road,North Bridge Road,102.0,30818.608,31636.598,,,,,,NORTH BRIDGE ROAD,5.316
north_bridge_road,North Bridge Road,104.0,30818.188,31638.553,,,,,,NORTH BRIDGE ROAD,6.457
north_bridge_road,North Bridge Road,106.0,30817.768,31640.509,,,,,,NORTH BRIDGE ROAD,7.597
north_bridge_road,North Bridge Road,232.0,30859.321,31721.625,,,,,,NORTH BRIDGE ROAD,18.623
north_bridge_road,North Bridge Road,234.0,30860.17,31719.814,,,,,,NORTH BRIDGE ROAD,16.715
north_bridge_road,North Bridge Road,236.0,30861.019,31718.003,,,,,,NORTH BRIDGE ROAD,14.808
north_bridge_road,North Bridge Road,238.0,30861.869,31716.193,,,,,,NORTH BRIDGE ROAD,12.901
north_bridge_road,North Bridge Road,240.0,30862.718,31714.382,,,,,,NORTH BRIDGE ROAD,10.994
north_bridge_road,North Bridge Road,242.0,30863.567,31712.571,,,,,,NORTH BRIDGE ROAD,9.086
north_bridge_road,North Bridge Road,244.0,30864.416,31710.76,,,,,,NORTH BRIDGE ROAD,7.179
north_bridge_road,North Bridge Road,246.0,30865.265,31708.949,,,,,,NORTH BRIDGE ROAD,5.272
north_bridge_road,North Bridge Road,248.0,30866.114,31707.139,,,,,,NORTH BRIDGE ROAD,3.365
north_bridge_road,North Bridge Road,250.0,30866.963,31705.328,,,,,,NORTH BRIDGE ROAD,1.458
north_bridge_road,North Bridge Road,252.0,30867.812,31703.517,,,,,,NORTH BRIDGE ROAD,0.45
north_bridge_road,North Bridge Road,254.0,30868.661,31701.706,,,,,,NORTH BRIDGE ROAD,2.357
north_bridge_road,North Bridge Road,256.0,30869.51,31699.895,,,,,,NORTH BRIDGE ROAD,4.264
north_bridge_road,North Bridge Road,258.0,30870.359,31698.084,,,,,,NORTH BRIDGE ROAD,6.171
north_bridge_road,North Bridge Road,260.0,30871.208,31696.274,,,,,,NORTH BRIDGE ROAD,8.078
north_bridge_road,North Bridge Road,262.0,30872.058,31694.463,,,,,,NORTH BRIDGE ROAD,9.986
north_bridge_road,North Bridge Road,264.0,30872.907,31692.652,,,,,,NORTH BRIDGE ROAD,11.893
north_bridge_road,North Bridge Road,266.0,30873.756,31690.841,,,,,,NORTH BRIDGE ROAD,13.8
north_bridge_road,North Bridge Road,268.0,30874.605,31689.03,,,,,,NORTH BRIDGE ROAD,15.707
north_bridge_road,North Bridge Road,306.0,30871.798,31663.09,,,,,,NORTH BRIDGE ROAD,30.862
north_bridge_road,North Bridge Road,308.0,30869.883,31662.515,,,,,,NORTH BRIDGE ROAD,29.413
north_bridge_road,North Bridge Road,310.0,30867.967,31661.94,,,,,,NORTH BRIDGE ROAD,27.964
north_bridge_road,North Bridge Road,312.0,30866.052,31661.365,,,,,,NORTH BRIDGE ROAD,26.515
north_bridge_road,North Bridge Road,314.0,30864.136,31660.79,,,,,,NORTH BRIDGE ROAD,25.067
north_bridge_road,North Bridge Road,316.0,30863.798,31661.591,,,,,,NORTH BRIDGE ROAD,24.403
north_bridge_road,North Bridge Road,318.0,30864.628,31663.411,,,,,,NORTH BRIDGE ROAD,24.321
north_bridge_road,North Bridge Road,320.0,30865.458,31665.23,,,,,,NORTH BRIDGE ROAD,24.239
