path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
north_bridge_road,1,Cam4_20251208_075452_514_C.jpeg,,13.908,6.954,,,,
north_bridge_road,2,Cam4_20251208_075500_807_C.jpeg,,67.061,40.485,40.0,11.087,-0.537,1.0
north_bridge_road,3,Cam4_20251208_075727_417_C.jpeg,,77.825,72.443,72.0,10.947,-0.537,1.0
north_bridge_road,4,Cam4_20251208_075735_227_C.jpeg,,85.09,81.457,82.0,10.894,-0.537,1.0
north_bridge_road,5,Cam4_20251208_075743_034_C.jpeg,,98.486,91.788,92.0,10.856,,
north_bridge_road,6,Cam4_20251208_075755_656_C.jpeg,,143.213,120.85,,,,
north_bridge_road,7,Cam4_20251208_080028_690_C.jpeg,,205.113,174.163,,,,
north_bridge_road,8,Cam4_20251208_080222_227_C.jpeg,,216.37,210.742,,,,
north_bridge_road,9,Cam4_20251208_080228_835_C.jpeg,,292.299,254.335,254.0,,,
north_bridge_road,10,Cam4_20251208_085458_811_C.jpeg,,314.851,303.575,306.0,,,
north_bridge_road,11,Cam4_20251208_085518_033_C.jpeg,,370.076,342.463,340.0,,,
north_bridge_road,12,Cam4_20251208_085640_323_C.jpeg,,430.311,400.193,400.0,,,
north_bridge_road,13,Cam4_20251208_085808_577_C.jpeg,,440.259,435.285,,,,
north_bridge_road,14,Cam4_20251208_085812_783_C.jpeg,,466.238,453.248,,,,
north_bridge_road,15,Cam4_20251208_090047_678_C.jpeg,,476.255,471.246,,,,
north_bridge_road,16,Cam4_20251208_090051_883_C.jpeg,,506.382,491.319,,,,
north_bridge_road,17,Cam4_20251208_090106_299_C.jpeg,,541.524,523.953,,,,
north_bridge_road,18,Cam4_20251208_090404_575_C.jpeg,,570.396,555.96,556.0,,,
north_bridge_road,19,Cam4_20251208_090501_640_C.jpeg,,579.079,574.737,,,,
north_bridge_road,20,Cam4_20251208_090507_649_C.jpeg,,860.995,720.037,720.0,,,
north_bridge_road,21,Cam4_20251211_072116_172_C.jpeg,,872.352,866.673,866.0,,,
north_bridge_road,22,Cam4_20251211_072122_177_C.jpeg,,883.784,878.068,878.0,,,
north_bridge_road,23,Cam4_20251211_072126_982_C.jpeg,,905.722,894.753,894.0,,,
north_bridge_road,24,Cam4_20251211_072138_396_C.jpeg,,917.91,911.816,912.0,,,
north_bridge_road,25,Cam4_20251211_072143_802_C.jpeg,,925.122,921.516,922.0,,,
north_bridge_road,26,Cam4_20251211_072147_406_C.jpeg,,951.535,938.328,938.0,,,
