path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
purvis_street,Purvis Street,126.0,30491.586,30950.361,7.17,4.13,4.13,,,PURVIS STREET,8.779
purvis_street,Purvis Street,128.0,30492.154,30948.444,6.462,4.13,4.13,,,PURVIS STREET,7.622
purvis_street,Purvis Street,130.0,30492.723,30946.526,6.846,4.13,4.13,,,PURVIS STREET,6.465
purvis_street,Purvis Street,132.0,30493.292,30944.609,5.154,4.13,4.13,,,PURVIS STREET,5.308
purvis_street,Purvis Street,134.0,30493.861,30942.692,3.979,4.13,4.13,,,PURVIS STREET,4.151
purvis_street,Purvis Street,136.0,30494.43,30940.774,4.13,4.13,4.13,,,PURVIS STREET,2.994
purvis_street,Purvis Street,138.0,30494.999,30938.857,3.796,4.15,4.15,,,PURVIS STREET,1.837
purvis_street,Purvis Street,140.0,30495.568,30936.94,5.847,4.171,4.171,,,PURVIS STREET,0.68
purvis_street,Purvis Street,142.0,30496.137,30935.022,6.247,4.191,4.191,,,PURVIS STREET,0.477
purvis_street,Purvis Street,144.0,30494.527,30936.156,5.759,4.212,4.212,,,PURVIS STREET,0.579
purvis_street,Purvis Street,146.0,30492.899,30937.316,4.758,4.232,4.232,,,PURVIS STREET,0.671
purvis_street,Purvis Street,148.0,30491.27,30938.477,4.355,4.252,4.235,,,PURVIS STREET,0.764
purvis_street,Purvis Street,150.0,30489.641,30939.638,4.273,4.273,4.252,,,PURVIS STREET,0.856
purvis_street,Purvis Street,152.0,30487.991,30940.766,4.235,4.235,4.273,,,PURVIS STREET,0.988
purvis_street,Purvis Street,154.0,30486.305,30941.843,4.914,4.327,4.327,,,PURVIS STREET,1.182
purvis_street,Purvis Street,156.0,30484.62,30942.919,4.123,4.419,4.419,4.121,1.0,PURVIS STREET,1.376
purvis_street,Purvis Street,158.0,30482.934,30943.996,3.91,4.511,4.511,,,PURVIS STREET,1.57
purvis_street,Purvis Street,160.0,30481.249,30945.073,4.602,4.602,4.602,,,PURVIS STREET,1.764
purvis_street,Purvis Street,162.0,30479.563,30946.149,5.831,4.611,4.611,,,PURVIS STREET,1.957
purvis_street,Purvis Street,170.0,30472.821,30950.455,4.915,4.62,4.62,,,PURVIS STREET,2.733
purvis_street,Purvis Street,172.0,30471.135,30951.532,5.366,4.629,4.629,,,PURVIS STREET,2.927
purvis_street,Purvis Street,174.0,30469.45,30952.608,4.626,4.637,4.637,,,PURVIS STREET,3.121
purvis_street,Purvis Street,176.0,30467.764,30953.685,4.646,4.646,4.646,,,PURVIS STREET,3.315
purvis_street,Purvis Street,178.0,30466.301,30955.047,4.656,4.656,4.656,,,PURVIS STREET,3.146
purvis_street,Purvis Street,180.0,30464.844,30956.417,4.901,4.901,4.901,,,PURVIS STREET,2.968
purvis_street,Purvis Street,182.0,30463.387,30957.787,6.956,5.06,5.06,,,PURVIS STREET,2.79
purvis_street,Purvis Street,184.0,30461.93,30959.158,5.956,5.219,5.219,,,PURVIS STREET,2.611
purvis_street,Purvis Street,186.0,30460.473,30960.527,5.596,5.378,5.378,,,PURVIS STREET,2.433
purvis_street,Purvis Street,188.0,30459.014,30961.895,6.291,5.538,5.392,,,PURVIS STREET,2.258
purvis_street,Purvis Street,190.0,30457.555,30963.263,5.901,5.465,5.392,,,PURVIS STREET,2.083
purvis_street,Purvis Street,192.0,30456.096,30964.631,5.856,5.392,5.392,,,PURVIS STREET,1.908
purvis_street,Purvis Street,194.0,30454.637,30965.999,6.503,5.166,5.166,,,PURVIS STREET,1.733
purvis_street,Purvis Street,196.0,30453.178,30967.367,4.213,4.94,4.94,,,PURVIS STREET,1.557
purvis_street,Purvis Street,198.0,30451.719,30968.735,4.48,4.714,4.714,,,PURVIS STREET,1.382
purvis_street,Purvis Street,200.0,30450.124,30969.938,4.488,4.488,4.488,,,PURVIS STREET,1.42
purvis_street,Purvis Street,202.0,30448.505,30971.113,4.538,4.323,4.323,,,PURVIS STREET,1.496
purvis_street,Purvis Street,204.0,30446.886,30972.287,4.157,4.157,4.323,,,PURVIS STREET,1.572
purvis_street,Purvis Street,206.0,30445.267,30973.462,3.905,4.218,4.323,,,PURVIS STREET,1.647
purvis_street,Purvis Street,208.0,30443.654,30974.644,3.764,4.411,4.411,,,PURVIS STREET,1.713
purvis_street,Purvis Street,210.0,30442.041,30975.826,3.771,4.605,4.605,,,PURVIS STREET,1.78
purvis_street,Purvis Street,212.0,30440.428,30977.008,4.077,4.902,4.902,,,PURVIS STREET,1.846
purvis_street,Purvis Street,214.0,30438.815,30978.19,4.327,5.199,5.199,,,PURVIS STREET,1.912
purvis_street,Purvis Street,216.0,30437.201,30979.373,6.521,5.496,5.199,,,PURVIS STREET,1.978
purvis_street,Purvis Street,218.0,30435.588,30980.555,6.289,5.337,5.199,,,PURVIS STREET,2.044
purvis_street,Purvis Street,220.0,30434.0,30981.768,6.389,5.179,5.179,,,PURVIS STREET,2.07
purvis_street,Purvis Street,222.0,30432.479,30983.068,6.527,5.021,5.021,,,PURVIS STREET,1.987
purvis_street,Purvis Street,224.0,30430.959,30984.367,4.862,4.862,4.862,,,PURVIS STREET,1.903
purvis_street,Purvis Street,226.0,30429.451,30985.68,4.979,4.739,4.739,,,PURVIS STREET,1.801
purvis_street,Purvis Street,228.0,30427.948,30987.001,4.616,4.616,4.616,-4.635,1.0,PURVIS STREET,1.69
purvis_street,Purvis Street,230.0,30426.446,30988.321,4.616,4.616,4.616,-3.333,1.0,PURVIS STREET,1.579
purvis_street,Purvis Street,232.0,30424.944,30989.641,4.441,4.441,4.491,-2.031,1.0,PURVIS STREET,1.468
purvis_street,Purvis Street,234.0,30423.441,30990.961,4.491,4.491,4.466,-2.031,1.0,PURVIS STREET,1.357
purvis_street,Purvis Street,236.0,30421.899,30992.233,4.466,4.466,4.454,-0.937,1.0,PURVIS STREET,1.309
purvis_street,Purvis Street,238.0,30420.303,30993.438,4.454,4.454,4.454,-1.25,1.0,PURVIS STREET,1.347
purvis_street,Purvis Street,240.0,30418.707,30994.643,4.416,4.416,4.416,-2.734,1.0,PURVIS STREET,1.385
purvis_street,Purvis Street,242.0,30417.11,30995.847,4.366,4.366,4.366,-4.219,1.0,PURVIS STREET,1.423
purvis_street,Purvis Street,244.0,30415.514,30997.052,3.841,4.241,4.241,-3.75,1.0,PURVIS STREET,1.461
purvis_street,Purvis Street,246.0,30413.916,30998.255,4.116,4.116,4.116,-4.062,1.0,PURVIS STREET,1.501
purvis_street,Purvis Street,248.0,30412.313,30999.452,4.116,4.116,4.116,-2.969,1.0,PURVIS STREET,1.549
purvis_street,Purvis Street,250.0,30410.711,31000.648,4.041,4.041,4.041,-1.875,1.0,PURVIS STREET,1.598
purvis_street,Purvis Street,252.0,30409.108,31001.844,3.991,3.991,3.991,-1.875,1.0,PURVIS STREET,1.646
purvis_street,Purvis Street,254.0,30407.505,31003.04,3.966,3.966,3.966,-1.168,1.0,PURVIS STREET,1.695
purvis_street,Purvis Street,256.0,30405.902,31004.236,3.817,3.817,3.966,-0.543,1.0,PURVIS STREET,1.744
purvis_street,Purvis Street,258.0,30404.385,31005.538,3.923,3.923,3.948,0.473,1.0,PURVIS STREET,1.657
purvis_street,Purvis Street,260.0,30402.885,31006.861,4.004,4.004,3.948,,,PURVIS STREET,1.541
purvis_street,Purvis Street,262.0,30401.386,31008.185,3.948,3.948,4.004,,,PURVIS STREET,1.426
purvis_street,Purvis Street,264.0,30399.887,31009.509,3.698,4.124,4.124,6.24,1.0,PURVIS STREET,1.31
purvis_street,Purvis Street,266.0,30398.388,31010.833,3.698,4.301,4.301,5.912,1.0,PURVIS STREET,1.194
purvis_street,Purvis Street,268.0,30396.889,31012.157,4.477,4.477,4.447,,,PURVIS STREET,1.078
purvis_street,Purvis Street,270.0,30395.39,31013.48,4.447,4.447,4.477,,,PURVIS STREET,0.963
purvis_street,Purvis Street,272.0,30393.89,31014.804,4.412,4.613,4.613,2.89,1.0,PURVIS STREET,0.847
purvis_street,Purvis Street,274.0,30392.391,31016.128,4.779,4.779,4.678,,,PURVIS STREET,0.731
purvis_street,Purvis Street,276.0,30390.892,31017.452,4.742,4.742,4.678,,,PURVIS STREET,0.616
purvis_street,Purvis Street,278.0,30389.393,31018.776,5.932,4.678,4.678,,,PURVIS STREET,0.5
purvis_street,Purvis Street,280.0,30387.894,31020.1,5.335,4.615,4.615,,,PURVIS STREET,0.384
purvis_street,Purvis Street,282.0,30386.394,31021.423,6.81,4.551,4.551,,,PURVIS STREET,0.268
purvis_street,Purvis Street,284.0,30384.895,31022.747,5.722,4.488,4.488,,,PURVIS STREET,0.153
purvis_street,Purvis Street,286.0,30383.317,31023.965,5.747,4.425,4.425,,,PURVIS STREET,0.17
purvis_street,Purvis Street,288.0,30381.62,31025.022,4.361,4.361,4.425,,,PURVIS STREET,0.386
purvis_street,Purvis Street,290.0,30379.922,31026.08,4.134,4.421,4.425,,,PURVIS STREET,0.601
purvis_street,Purvis Street,292.0,30379.575,31025.99,4.113,4.481,4.481,,,PURVIS STREET,0.886
purvis_street,Purvis Street,294.0,30380.892,31024.485,4.279,4.728,4.728,,,PURVIS STREET,1.257
purvis_street,Purvis Street,296.0,30382.209,31022.98,4.586,4.974,4.974,,,PURVIS STREET,1.628
purvis_street,Purvis Street,298.0,30383.526,31021.475,5.743,5.221,5.221,,,PURVIS STREET,1.999
purvis_street,Purvis Street,300.0,30384.843,31019.969,7.6,5.467,5.351,,,PURVIS STREET,2.37
purvis_street,Purvis Street,302.0,30386.159,31018.464,7.185,5.409,5.351,,,PURVIS STREET,2.741
purvis_street,Purvis Street,312.0,30392.744,31010.938,5.532,5.351,5.351,,,PURVIS STREET,4.596
purvis_street,Purvis Street,314.0,30394.061,31009.432,7.602,5.293,5.293,,,PURVIS STREET,4.967
purvis_street,Purvis Street,316.0,30395.378,31007.927,8.557,5.236,5.236,,,PURVIS STREET,5.339
purvis_street,Purvis Street,318.0,30396.694,31006.422,7.892,5.178,5.178,,,PURVIS STREET,5.71
purvis_street,Purvis Street,320.0,30398.011,31004.917,5.904,5.12,5.12,,,PURVIS STREET,6.081
purvis_street,Purvis Street,322.0,30399.328,31003.411,5.023,5.062,5.118,,,PURVIS STREET,6.452
purvis_street,Purvis Street,324.0,30400.645,31001.906,5.004,5.004,5.118,,,PURVIS STREET,6.823
purvis_street,Purvis Street,326.0,30401.962,31000.401,4.798,5.118,5.118,,,PURVIS STREET,7.194
purvis_street,Purvis Street,328.0,30403.279,30998.896,5.231,5.231,5.231,2.967,1.0,PURVIS STREET,7.565
