path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
raffles_avenue,1,Cam4_20251211_082528_346_B.jpeg,,10.229,5.115,6.0,3.988,0.098,1.0
raffles_avenue,2,Cam4_20251211_082530_753_B.jpeg,,20.158,15.194,16.0,4.277,,
raffles_avenue,3,Cam4_20251211_082533_155_B.jpeg,,31.792,25.975,26.0,4.671,6.211,1.0
raffles_avenue,4,Cam4_20251211_082536_161_B.jpeg,,43.126,37.459,38.0,5.076,-1.514,1.0
raffles_avenue,5,Cam4_20251211_082539_166_B.jpeg,,54.273,48.7,48.0,4.782,0.938,1.0
raffles_avenue,6,Cam4_20251211_082542_179_B.jpeg,,60.958,57.616,58.0,5.438,,
raffles_avenue,7,Cam4_20251211_082543_988_B.jpeg,,70.421,65.689,66.0,5.897,,
raffles_avenue,8,Cam4_20251211_082546_394_B.jpeg,,80.043,75.232,76.0,5.503,,
raffles_avenue,9,Cam4_20251211_082548_797_B.jpeg,,91.939,85.991,86.0,5.947,,
raffles_avenue,10,Cam4_20251211_082551_813_B.jpeg,,103.507,97.723,98.0,4.629,,
raffles_avenue,11,Cam4_20251211_082554_816_B.jpeg,,114.169,108.838,108.0,3.531,,
raffles_avenue,12,Cam4_20251211_082557_828_B.jpeg,,138.7,126.435,126.0,3.506,2.187,1.0
raffles_avenue,13,Cam4_20251211_082605_040_B.jpeg,,147.657,143.179,144.0,3.693,-0.156,1.0
raffles_avenue,14,Cam4_20251211_082607_444_B.jpeg,,159.705,153.681,154.0,3.681,0.313,1.0
raffles_avenue,15,Cam4_20251211_082610_446_B.jpeg,,167.16,163.432,164.0,3.731,2.246,1.0
raffles_avenue,16,Cam4_20251211_082612_248_B.jpeg,,176.215,171.687,172.0,4.112,,
raffles_avenue,17,Cam4_20251211_082614_650_B.jpeg,,204.319,190.267,190.0,6.249,,
raffles_avenue,18,Cam4_20251211_082622_458_B.jpeg,,215.491,209.905,210.0,10.512,,
raffles_avenue,19,Cam4_20251211_082726_771_B.jpeg,,238.5,226.996,226.0,10.555,,
raffles_avenue,20,Cam4_20251211_082811_232_B.jpeg,,248.755,243.628,244.0,10.516,,
