path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
seah_street,1,Cam4_20251208_074732_308_C.jpeg,,11.873,5.936,,,,
seah_street,2,Cam4_20251208_074737_715_C.jpeg,,13.8,12.837,,,,
seah_street,3,Cam4_20251208_074744_921_C.jpeg,,457.79,235.795,,,,
seah_street,4,Cam4_20251208_075345_819_C.jpeg,,835.728,646.759,,,,
seah_street,5,Cam4_20251211_075338_374_A.jpeg,,862.359,849.043,,,,
seah_street,6,Cam4_20251211_075347_927_A.jpeg,,1037.079,949.719,,,,
seah_street,7,Cam4_20251211_075851_235_C.jpeg,,1098.837,1067.958,,,,
seah_street,8,Cam4_20251211_075917_663_C.jpeg,,1165.102,1131.969,,,,
seah_street,9,Cam4_20251211_075941_688_C.jpeg,,1174.586,1169.844,,,,
seah_street,10,Cam4_20251211_075944_690_C.jpeg,,1550.64,1362.613,1362.0,5.518,,
seah_street,11,Cam4_20251211_080206_459_C.jpeg,,1930.348,1740.494,,,,
seah_street,12,Cam4_20251211_092221_320_A.jpeg,,1937.272,1933.81,,,,
seah_street,13,Cam4_20251211_092223_322_A.jpeg,,2099.23,2018.251,,,,
seah_street,14,Cam4_20251211_094013_809_A.jpeg,,2126.309,2112.77,,,,
seah_street,15,Cam4_20251211_094027_358_A.jpeg,,2312.687,2219.498,,,,
seah_street,16,Cam4_20251211_094208_063_A.jpeg,,2324.08,2318.383,2318.0,9.125,,
seah_street,17,Cam4_20251211_094213_070_A.jpeg,,2347.047,2335.563,,,,
seah_street,18,Cam4_20251211_094225_603_A.jpeg,,2373.048,2360.047,2360.0,12.208,,
seah_street,19,Cam4_20251211_094236_621_A.jpeg,,2384.714,2378.881,2378.0,4.103,,
seah_street,20,Cam4_20251211_094245_135_A.jpeg,,2420.211,2402.463,2402.0,4.019,,
seah_street,21,Cam4_20251211_094303_664_A.jpeg,,2432.298,2426.255,2426.0,8.487,,
seah_street,22,Cam4_20251211_094307_668_A.jpeg,,2460.905,2446.602,2446.0,5.628,,
seah_street,23,Cam4_20251211_094327_231_A.jpeg,,2471.612,2466.258,2464.0,4.444,0.145,1.0
seah_street,24,Cam4_20251211_094332_743_A.jpeg,,2483.394,2477.503,,,,
seah_street,25,Cam4_20251211_094345_264_A.jpeg,,2534.721,2509.057,2510.0,4.244,,
seah_street,26,Cam4_20251211_094410_842_A.jpeg,,2541.986,2538.353,2538.0,4.528,,
seah_street,27,Cam4_20251211_094413_851_A.jpeg,,2711.297,2626.642,,,,
seah_street,28,Cam4_20251211_094937_054_A.jpeg,,2720.982,2716.14,,,,
seah_street,29,Cam4_20251211_094940_569_A.jpeg,,2731.114,2726.048,,,,
seah_street,30,Cam4_20251211_094944_073_A.jpeg,,2742.341,2736.728,,,,
seah_street,31,Cam4_20251211_094947_584_A.jpeg,,2868.677,2805.509,,,,
seah_street,32,Cam4_20251211_095035_684_A.jpeg,,3228.083,3048.38,,,,
seah_street,33,Cam4_20260204_082203_174_A.jpeg,,3238.026,3233.054,,,,
seah_street,34,Cam4_20260204_082204_977_A.jpeg,,3246.293,3242.16,,,,
seah_street,35,Cam4_20260204_082206_778_A.jpeg,,3435.987,3341.14,,,,
seah_street,36,Cam4_20260204_095643_944_C.jpeg,,3650.134,3543.061,,,,
seah_street,37,Cam4_20260204_111451_899_A.jpeg,,3823.265,3736.7,,,,
seah_street,38,Cam4_20260205_102220_666_A.jpeg,,3861.59,3842.428,,,,
seah_street,39,Cam4_20260205_102424_031_A.jpeg,,3908.977,3885.284,,,,
