path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
south_canal_road,1,Cam4_20251211_081809_453_C.jpeg,,13.745,6.873,6.0,5.988,,
south_canal_road,2,Cam4_20251211_081815_464_C.jpeg,,23.113,18.429,18.0,5.264,,
south_canal_road,3,Cam4_20251211_081819_667_C.jpeg,,30.627,26.87,26.0,5.25,,
south_canal_road,4,Cam4_20251211_081822_670_C.jpeg,,229.866,130.247,,,,
south_canal_road,5,Cam4_20251211_093529_120_C.jpeg,,237.075,233.471,,,,
south_canal_road,6,Cam4_20251211_093531_522_C.jpeg,,256.853,246.964,,,,
south_canal_road,7,Cam4_20251211_093553_785_C.jpeg,,286.018,271.435,,,,
south_canal_road,8,Cam4_20251211_093604_608_C.jpeg,,324.274,305.146,,,,
south_canal_road,9,Cam4_20251211_093616_058_C.jpeg,,333.123,328.698,,,,
south_canal_road,10,Cam4_20251211_093619_062_C.jpeg,,347.08,340.102,,,,
south_canal_road,11,Cam4_20251211_093624_468_C.jpeg,,352.645,349.863,,,,
south_canal_road,12,Cam4_20251211_093626_871_C.jpeg,,385.924,369.285,,,,
south_canal_road,13,Cam4_20251211_093638_293_C.jpeg,,743.089,564.507,564.0,1.983,-0.855,1.0
south_canal_road,14,Cam4_20251211_115520_355_B.jpeg,,770.345,756.717,756.0,3.284,,
south_canal_road,15,Cam4_20251211_115527_563_B.jpeg,,794.4,782.373,782.0,5.579,,
south_canal_road,16,Cam4_20251211_115533_574_B.jpeg,,804.474,799.437,800.0,3.463,,
south_canal_road,17,Cam4_20251211_115535_976_B.jpeg,,815.97,810.222,810.0,2.702,,
south_canal_road,18,Cam4_20251211_115538_378_B.jpeg,,822.244,819.107,820.0,3.583,,
south_canal_road,19,Cam4_20251211_115540_780_B.jpeg,,832.671,827.458,828.0,3.047,,
south_canal_road,20,Cam4_20251211_115543_187_B.jpeg,,1070.986,951.828,,,,
south_canal_road,21,Cam4_20260205_090544_223_C.jpeg,,1081.068,1076.027,,,,
south_canal_road,22,Cam4_20260205_090546_024_C.jpeg,,1401.921,1241.495,1242.0,3.455,,
