path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
wallich_street,1,Cam4_20260108_093004_608_A.jpeg,,11.343,5.672,6.0,7.062,,
wallich_street,2,Cam4_20260108_093009_412_A.jpeg,,22.344,16.843,16.0,6.799,,
wallich_street,3,Cam4_20260108_093014_218_A.jpeg,,34.391,28.367,28.0,5.651,,
wallich_street,4,Cam4_20260108_093019_624_A.jpeg,,40.133,37.262,38.0,7.022,,
wallich_street,5,Cam4_20260108_093022_027_A.jpeg,,50.633,45.383,46.0,7.567,,
wallich_street,6,Cam4_20260108_093026_833_A.jpeg,,59.842,55.237,56.0,7.133,,
wallich_street,7,Cam4_20260108_093031_049_A.jpeg,,70.875,65.358,66.0,7.031,,
wallich_street,8,Cam4_20260108_093035_220_A.jpeg,,83.853,77.364,78.0,6.313,,
wallich_street,9,Cam4_20260108_093041_826_A.jpeg,,91.095,87.474,88.0,5.868,,
wallich_street,10,Cam4_20260108_093049_033_A.jpeg,,103.536,97.315,98.0,8.035,,
wallich_street,11,Cam4_20260108_093054_318_A.jpeg,,126.037,114.786,114.0,11.439,,
wallich_street,12,Cam4_20260108_093101_529_A.jpeg,,138.699,132.368,132.0,8.182,,
wallich_street,13,Cam4_20260108_093105_134_A.jpeg,,149.774,144.237,144.0,7.544,,
wallich_street,14,Cam4_20260108_093108_138_A.jpeg,,160.006,154.89,154.0,6.861,-7.605,1.0
wallich_street,15,Cam4_20260108_093112_943_A.jpeg,,166.31,163.158,164.0,6.161,,
wallich_street,16,Cam4_20260108_093114_746_A.jpeg,,175.253,170.781,170.0,5.838,,
wallich_street,17,Cam4_20260108_093116_546_A.jpeg,,185.055,180.154,180.0,6.184,5.905,1.0
wallich_street,18,Cam4_20260108_093119_550_A.jpeg,,195.763,190.409,190.0,6.659,,
wallich_street,19,Cam4_20260108_093124_239_A.jpeg,,205.384,200.574,200.0,6.3,,
wallich_street,20,Cam4_20260108_093127_837_A.jpeg,,216.112,210.748,210.0,6.305,,
wallich_street,21,Cam4_20260108_093131_416_A.jpeg,,225.154,220.633,220.0,5.952,,
wallich_street,22,Cam4_20260108_093137_425_A.jpeg,,236.19,230.672,,,,
wallich_street,23,Cam4_20260108_093141_027_A.jpeg,,301.669,268.93,,,,
wallich_street,24,Cam4_20260108_095558_137_A.jpeg,,407.375,354.522,,,,
wallich_street,25,Cam4_20260108_100530_155_A.jpeg,,469.321,438.348,438.0,5.4,-0.313,1.0
wallich_street,26,Cam4_20260108_100547_076_A.jpeg,,483.487,476.404,476.0,6.516,,
wallich_street,27,Cam4_20260108_100550_086_A.jpeg,,491.029,487.258,488.0,7.63,,
wallich_street,28,Cam4_20260108_100551_887_A.jpeg,,500.57,495.8,496.0,7.491,,
wallich_street,29,Cam4_20260108_100554_289_A.jpeg,,536.049,518.309,518.0,6.911,,
