path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
changi_road,Changi Road,38.0,37211.866,33711.62,,,,,,CHANGI ROAD,11.855
changi_road,Changi Road,40.0,37213.866,33711.619,,,,,,CHANGI ROAD,10.15
changi_road,Changi Road,42.0,37215.866,33711.619,,,,,,CHANGI ROAD,8.446
changi_road,Changi Road,44.0,37217.866,33711.618,,,,,,CHANGI ROAD,6.741
changi_road,Changi Road,46.0,37219.866,33711.618,,,,,,CHANGI ROAD,5.036
changi_road,Changi Road,48.0,37221.866,33711.617,,,,,,CHANGI ROAD,3.331
changi_road,Changi Road,50.0,37223.866,33711.617,,,,,,CHANGI ROAD,1.626
changi_road,Changi Road,52.0,37225.866,33711.617,,,,,,CHANGI ROAD,0.079
changi_road,Changi Road,54.0,37227.866,33711.616,,,,,,CHANGI ROAD,1.784
changi_road,Changi Road,56.0,37229.866,33711.616,,,,,,CHANGI ROAD,3.489
changi_road,Changi Road,58.0,37231.866,33711.615,,,,,,CHANGI ROAD,5.194
changi_road,Changi Road,60.0,37233.866,33711.615,,,,,,CHANGI ROAD,6.899
changi_road,Changi Road,62.0,37235.866,33711.614,,,,,,CHANGI ROAD,8.604
changi_road,Changi Road,64.0,37237.866,33711.614,,,,,,CHANGI ROAD,10.308
changi_road,Changi Road,66.0,37239.866,33711.613,,,,,,CHANGI ROAD,12.013
changi_road,Changi Road,68.0,37241.866,33711.613,,,,,,CHANGI ROAD,13.718
changi_road,Changi Road,116.0,37289.866,33711.602,,,,,,CHANGI ROAD,16.33
changi_road,Changi Road,118.0,37291.866,33711.601,,,,,,CHANGI ROAD,14.79
changi_road,Changi Road,120.0,37293.866,33711.601,,,,,,CHANGI ROAD,13.25
changi_road,Changi Road,122.0,37295.866,33711.6,,,,,,CHANGI ROAD,11.71
changi_road,Changi Road,124.0,37297.866,33711.6,,,,,,CHANGI ROAD,10.17
changi_road,Changi Road,126.0,37299.866,33711.6,,,,,,CHANGI ROAD,8.63
changi_road,Changi Road,128.0,37301.866,33711.599,,,,,,CHANGI ROAD,7.091
changi_road,Changi Road,130.0,37303.866,33711.599,,,,,,CHANGI ROAD,5.551
changi_road,Changi Road,132.0,37305.866,33711.598,,,,,,CHANGI ROAD,4.011
changi_road,Changi Road,134.0,37307.866,33711.598,,,,,,CHANGI ROAD,2.471
changi_road,Changi Road,136.0,37309.866,33711.597,,,,,,CHANGI ROAD,0.931
changi_road,Changi Road,138.0,37311.866,33711.597,,,,,,CHANGI ROAD,0.608
changi_road,Changi Road,140.0,37313.866,33711.596,,,,,,CHANGI ROAD,2.148
changi_road,Changi Road,142.0,37315.866,33711.596,,,,,,CHANGI ROAD,3.688
changi_road,Changi Road,144.0,37317.866,33711.595,,,,,,CHANGI ROAD,5.228
changi_road,Changi Road,146.0,37319.866,33711.595,,,,,,CHANGI ROAD,6.768
changi_road,Changi Road,148.0,37321.866,33711.594,,,,,,CHANGI ROAD,8.308
changi_road,Changi Road,150.0,37323.866,33711.594,,,,,,CHANGI ROAD,9.847
changi_road,Changi Road,152.0,37325.866,33711.594,,,,,,CHANGI ROAD,11.387
changi_road,Changi Road,154.0,37327.866,33711.593,,,,,,CHANGI ROAD,12.927
changi_road,Changi Road,156.0,37329.866,33711.593,,,,,,CHANGI ROAD,14.467
changi_road,Changi Road,158.0,37331.866,33711.592,,,,,,CHANGI ROAD,16.007
changi_road,Changi Road,300.0,37473.866,33711.56,,,,,,CHANGI ROAD,9.391
changi_road,Changi Road,302.0,37475.866,33711.559,,,,,,CHANGI ROAD,8.639
changi_road,Changi Road,304.0,37477.866,33711.559,,,,,,CHANGI ROAD,7.886
changi_road,Changi Road,306.0,37479.866,33711.558,,,,,,CHANGI ROAD,7.134
changi_road,Changi Road,308.0,37481.866,33711.558,,,,,,CHANGI ROAD,6.381
changi_road,Changi Road,310.0,37483.866,33711.557,,,,,,CHANGI ROAD,5.629
changi_road,Changi Road,312.0,37485.866,33711.557,,,,,,CHANGI ROAD,4.876
changi_road,Changi Road,314.0,37487.866,33711.556,,,,,,CHANGI ROAD,4.123
changi_road,Changi Road,316.0,37489.866,33711.556,,,,,,CHANGI ROAD,3.371
