path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
tanjong_katong_road,1,Cam4_20260110_100422_799_A.jpeg,,11.957,5.979,6.0,1.231,-0.428,1.0
tanjong_katong_road,2,Cam4_20260110_100427_008_A.jpeg,,1485.108,748.532,,,,
tanjong_katong_road,3,Cam4_20260110_104310_302_C.jpeg,,1495.137,1490.122,1490.0,,,
tanjong_katong_road,4,Cam4_20260110_104313_306_C.jpeg,,1506.337,1500.737,1500.0,,,
tanjong_katong_road,5,Cam4_20260110_104316_913_C.jpeg,,1517.374,1511.855,1512.0,,,
tanjong_katong_road,6,Cam4_20260110_104320_517_C.jpeg,,1528.946,1523.16,1524.0,,,
tanjong_katong_road,7,Cam4_20260110_104324_721_C.jpeg,,1550.702,1539.824,1540.0,,,
tanjong_katong_road,8,Cam4_20260110_104331_332_C.jpeg,,1562.692,1556.697,1556.0,,,
tanjong_katong_road,9,Cam4_20260110_104334_946_C.jpeg,,1573.83,1568.261,1568.0,,,
tanjong_katong_road,10,Cam4_20260110_104338_549_C.jpeg,,1584.122,1578.976,1578.0,,,
tanjong_katong_road,11,Cam4_20260110_104342_153_C.jpeg,,1606.776,1595.449,1596.0,,,
tanjong_katong_road,12,Cam4_20260110_104356_569_C.jpeg,,1618.981,1612.879,1612.0,,,
tanjong_katong_road,13,Cam4_20260110_104359_592_C.jpeg,,1628.343,1623.662,1624.0,,,
tanjong_katong_road,14,Cam4_20260110_104402_007_C.jpeg,,1652.002,1640.173,1640.0,,,
tanjong_katong_road,15,Cam4_20260110_104409_212_C.jpeg,,1661.638,1656.82,1656.0,,,
tanjong_katong_road,16,Cam4_20260110_104412_215_C.jpeg,,1674.527,1668.082,1668.0,,,
tanjong_katong_road,17,Cam4_20260110_104415_818_C.jpeg,,1683.656,1679.092,1680.0,,,
tanjong_katong_road,18,Cam4_20260110_104418_219_C.jpeg,,1707.999,1695.828,1696.0,,,
tanjong_katong_road,19,Cam4_20260110_104425_428_C.jpeg,,1718.376,1713.188,1714.0,,,
tanjong_katong_road,20,Cam4_20260110_104428_436_C.jpeg,,1728.245,1723.31,1724.0,,,
