path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ah_soo_garden,1,Ah Soo Garden_Cam4_20260112_083909_079_C.jpeg,,11.177,5.589,6.0,26.17,,
ah_soo_garden,2,Ah Soo Garden_Cam4_20260112_083922_302_C.jpeg,,22.558,16.868,16.0,25.532,,
ah_soo_garden,3,Ah Soo Garden_Cam4_20260112_083931_356_C.jpeg,,33.734,28.146,28.0,25.539,0.069,1.0
ah_soo_garden,4,Ah Soo Garden_Cam4_20260112_083939_767_C.jpeg,,56.192,44.963,44.0,25.55,0.069,1.0
ah_soo_garden,5,Ah Soo Garden_Cam4_20260112_083955_986_C.jpeg,,67.082,61.637,62.0,25.562,0.061,1.0
ah_soo_garden,6,Ah Soo Garden_Cam4_20260112_084003_796_C.jpeg,,75.529,71.305,72.0,,,
ah_soo_garden,7,Ah Soo Garden_Cam4_20260112_084010_411_C.jpeg,,86.984,81.256,82.0,,,
ah_soo_garden,8,Ah Soo Garden_Cam4_20260112_084019_433_C.jpeg,,98.542,92.763,92.0,,,
ah_soo_garden,9,Ah Soo Garden_Cam4_20260112_084029_641_C.jpeg,,121.601,110.071,110.0,,,
ah_soo_garden,10,Ah Soo Garden_Cam4_20260112_084040_453_C.jpeg,,134.055,127.828,128.0,,,
ah_soo_garden,11,Ah Soo Garden_Cam4_20260112_084044_657_C.jpeg,,143.983,139.019,140.0,,,
ah_soo_garden,12,Ah Soo Garden_Cam4_20260112_084047_660_C.jpeg,,166.489,155.236,156.0,,,
ah_soo_garden,13,Ah Soo Garden_Cam4_20260112_084054_874_C.jpeg,,192.191,179.34,180.0,,,
ah_soo_garden,14,Ah Soo Garden_Cam4_20260112_084105_089_C.jpeg,,202.417,197.304,198.0,,,
ah_soo_garden,15,Ah Soo Garden_Cam4_20260112_084108_694_C.jpeg,,213.598,208.008,208.0,,,
ah_soo_garden,16,Ah Soo Garden_Cam4_20260112_084112_898_C.jpeg,,225.864,219.731,220.0,,,
ah_soo_garden,17,Ah Soo Garden_Cam4_20260112_084117_709_C.jpeg,,290.216,258.04,258.0,,,
ah_soo_garden,18,Ah Soo Garden_Cam4_20260112_085115_777_C.jpeg,,301.973,296.094,296.0,,,
ah_soo_garden,19,Ah Soo Garden_Cam4_20260112_085122_997_C.jpeg,,312.608,307.291,308.0,,,
ah_soo_garden,20,Ah Soo Garden_Cam4_20260112_085128_404_C.jpeg,,373.881,343.245,344.0,,,
ah_soo_garden,21,Ah Soo Garden_Cam4_20260112_085152_321_C.jpeg,,383.971,378.926,378.0,25.781,0.069,1.0
ah_soo_garden,22,Ah Soo Garden_Cam4_20260112_085156_534_C.jpeg,,396.288,390.13,390.0,25.79,0.069,1.0
ah_soo_garden,23,Ah Soo Garden_Cam4_20260112_085200_750_C.jpeg,,403.888,400.088,400.0,25.797,0.069,1.0
ah_soo_garden,24,Ah Soo Garden_Cam4_20260112_085203_153_C.jpeg,,440.323,422.106,422.0,25.809,,
