path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
defu_avenue_1,DEFU AVENUE 1,116.0,34531.684,36508.281,,,,,,DEFU AVENUE 1,21.308
defu_avenue_1,DEFU AVENUE 1,118.0,34533.215,36509.567,,,,,,DEFU AVENUE 1,19.689
defu_avenue_1,DEFU AVENUE 1,120.0,34534.269,36511.191,,,,,,DEFU AVENUE 1,18.524
defu_avenue_1,DEFU AVENUE 1,122.0,34534.968,36513.065,,,,,,DEFU AVENUE 1,17.694
defu_avenue_1,DEFU AVENUE 1,124.0,34535.668,36514.938,,,,,,DEFU AVENUE 1,16.864
defu_avenue_1,DEFU AVENUE 1,126.0,34536.233,36516.844,,,,,,DEFU AVENUE 1,16.165
defu_avenue_1,DEFU AVENUE 1,128.0,34536.457,36518.831,,,,,,DEFU AVENUE 1,15.801
defu_avenue_1,DEFU AVENUE 1,130.0,34536.681,36520.819,,,,,,DEFU AVENUE 1,15.437
defu_avenue_1,DEFU AVENUE 1,132.0,34536.906,36522.806,,,,,,DEFU AVENUE 1,15.073
defu_avenue_1,DEFU AVENUE 1,134.0,34537.13,36524.794,,,,,,DEFU AVENUE 1,14.709
defu_avenue_1,DEFU AVENUE 1,136.0,34537.355,36526.781,,,,,,DEFU AVENUE 1,14.344
defu_avenue_1,DEFU AVENUE 1,138.0,34537.579,36528.768,,,,,,DEFU AVENUE 1,13.98
defu_avenue_1,DEFU AVENUE 1,140.0,34537.803,36530.756,,,,,,DEFU AVENUE 1,13.616
defu_avenue_1,DEFU AVENUE 1,142.0,34538.028,36532.743,,,,,,DEFU AVENUE 1,13.252
defu_avenue_1,DEFU AVENUE 1,144.0,34538.252,36534.73,,,,,,DEFU AVENUE 1,12.887
defu_avenue_1,DEFU AVENUE 1,146.0,34538.477,36536.718,,,,,,DEFU AVENUE 1,12.523
defu_avenue_1,DEFU AVENUE 1,148.0,34538.701,36538.705,,,,,,DEFU AVENUE 1,12.159
defu_avenue_1,DEFU AVENUE 1,150.0,34538.926,36540.693,,,,,,DEFU AVENUE 1,11.795
defu_avenue_1,DEFU AVENUE 1,152.0,34539.101,36542.68,,,,,,DEFU AVENUE 1,11.479
defu_avenue_1,DEFU AVENUE 1,154.0,34538.85,36544.664,,,,,,DEFU AVENUE 1,11.589
defu_avenue_1,DEFU AVENUE 1,156.0,34538.599,36546.648,,,,,,DEFU AVENUE 1,11.7
defu_avenue_1,DEFU AVENUE 1,158.0,34538.348,36548.632,,,,,,DEFU AVENUE 1,11.667
defu_avenue_1,DEFU AVENUE 1,160.0,34538.097,36550.616,,,,,,DEFU AVENUE 1,11.494
defu_avenue_1,DEFU AVENUE 1,162.0,34537.846,36552.601,,,,,,DEFU AVENUE 1,11.321
defu_avenue_1,DEFU AVENUE 1,164.0,34537.532,36554.571,,,,,,DEFU AVENUE 1,11.214
defu_avenue_1,DEFU AVENUE 1,166.0,34536.963,36556.489,,,,,,DEFU AVENUE 1,11.365
defu_avenue_1,DEFU AVENUE 1,168.0,34536.395,36558.407,,,,,,DEFU AVENUE 1,11.517
defu_avenue_1,DEFU AVENUE 1,170.0,34535.827,36560.324,,,,,,DEFU AVENUE 1,11.668
defu_avenue_1,DEFU AVENUE 1,172.0,34535.259,36562.242,,,,,,DEFU AVENUE 1,11.82
defu_avenue_1,DEFU AVENUE 1,174.0,34534.69,36564.159,,,,,,DEFU AVENUE 1,11.971
defu_avenue_1,DEFU AVENUE 1,176.0,34534.145,36566.083,,,,,,DEFU AVENUE 1,12.099
defu_avenue_1,DEFU AVENUE 1,178.0,34533.665,36568.024,,,,,,DEFU AVENUE 1,12.16
defu_avenue_1,DEFU AVENUE 1,180.0,34533.184,36569.966,,,,,,DEFU AVENUE 1,12.22
defu_avenue_1,DEFU AVENUE 1,182.0,34532.704,36571.907,,,,,,DEFU AVENUE 1,12.281
defu_avenue_1,DEFU AVENUE 1,184.0,34532.223,36573.849,,,,,,DEFU AVENUE 1,12.341
defu_avenue_1,DEFU AVENUE 1,186.0,34531.756,36575.793,,,,,,DEFU AVENUE 1,12.389
defu_avenue_1,DEFU AVENUE 1,188.0,34531.392,36577.76,,,,,,DEFU AVENUE 1,12.33
defu_avenue_1,DEFU AVENUE 1,190.0,34531.029,36579.726,,,,,,DEFU AVENUE 1,12.271
defu_avenue_1,DEFU AVENUE 1,192.0,34530.665,36581.693,,,,,,DEFU AVENUE 1,12.212
defu_avenue_1,DEFU AVENUE 1,194.0,34530.302,36583.66,,,,,,DEFU AVENUE 1,12.153
defu_avenue_1,DEFU AVENUE 1,196.0,34529.938,36585.626,,,,,,DEFU AVENUE 1,12.094
defu_avenue_1,DEFU AVENUE 1,198.0,34529.574,36587.593,,,,,,DEFU AVENUE 1,12.035
defu_avenue_1,DEFU AVENUE 1,200.0,34529.211,36589.56,,,,,,DEFU AVENUE 1,11.976
defu_avenue_1,DEFU AVENUE 1,202.0,34528.847,36591.526,,,,,,DEFU AVENUE 1,11.917
defu_avenue_1,DEFU AVENUE 1,204.0,34528.484,36593.493,,,,,,DEFU AVENUE 1,11.858
defu_avenue_1,DEFU AVENUE 1,206.0,34528.12,36595.46,,,,,,DEFU AVENUE 1,11.799
defu_avenue_1,DEFU AVENUE 1,208.0,34527.757,36597.426,,,,,,DEFU AVENUE 1,11.74
defu_avenue_1,DEFU AVENUE 1,210.0,34527.357,36599.385,,,,,,DEFU AVENUE 1,11.721
defu_avenue_1,DEFU AVENUE 1,212.0,34526.866,36601.324,,,,,,DEFU AVENUE 1,11.866
defu_avenue_1,DEFU AVENUE 1,214.0,34526.375,36603.263,,,,,,DEFU AVENUE 1,12.013
defu_avenue_1,DEFU AVENUE 1,216.0,34525.884,36605.202,,,,,,DEFU AVENUE 1,12.16
defu_avenue_1,DEFU AVENUE 1,218.0,34525.393,36607.141,,,,,,DEFU AVENUE 1,12.307
defu_avenue_1,DEFU AVENUE 1,220.0,34524.902,36609.079,,,,,,DEFU AVENUE 1,12.454
defu_avenue_1,DEFU AVENUE 1,222.0,34524.42,36611.02,,,,,,DEFU AVENUE 1,12.592
