path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
hougang_street_11,1,Hougang Street 11_Cam4_20260112_083207_891_C.jpeg,,12.355,6.178,6.0,16.214,1.364,1.0
hougang_street_11,2,Hougang Street 11_Cam4_20260112_083211_494_C.jpeg,,24.087,18.221,18.0,17.39,,
hougang_street_11,3,Hougang Street 11_Cam4_20260112_083215_697_C.jpeg,,325.185,174.636,174.0,20.334,,
hougang_street_11,4,Hougang Street 11_Cam4_20260130_103206_529_A.jpeg,,335.63,330.407,330.0,15.248,-1.778,1.0
hougang_street_11,5,Hougang Street 11_Cam4_20260130_103208_994_A.jpeg,,358.544,347.087,348.0,14.968,-1.697,1.0
hougang_street_11,6,Hougang Street 11_Cam4_20260130_103214_435_A.jpeg,,368.583,363.564,364.0,14.712,-1.434,1.0
hougang_street_11,7,Hougang Street 11_Cam4_20260130_103216_848_A.jpeg,,381.222,374.903,374.0,14.561,-0.95,1.0
hougang_street_11,8,Hougang Street 11_Cam4_20260130_103219_850_A.jpeg,,388.741,384.982,384.0,14.45,-1.172,1.0
hougang_street_11,9,Hougang Street 11_Cam4_20260130_103221_652_A.jpeg,,398.327,393.534,394.0,14.44,0.65,1.0
hougang_street_11,10,Hougang Street 11_Cam4_20260130_103224_124_A.jpeg,,423.757,411.042,412.0,14.626,-4.266,1.0
hougang_street_11,11,Hougang Street 11_Cam4_20260130_103230_831_A.jpeg,,435.034,429.396,430.0,14.216,2.144,1.0
hougang_street_11,12,Hougang Street 11_Cam4_20260130_103236_420_A.jpeg,,443.461,439.247,440.0,14.386,0.5,1.0
hougang_street_11,13,Hougang Street 11_Cam4_20260130_103240_022_A.jpeg,,470.522,456.991,456.0,14.36,0.728,1.0
hougang_street_11,14,Hougang Street 11_Cam4_20260130_103248_041_A.jpeg,,481.387,475.954,476.0,14.466,0.197,1.0
hougang_street_11,15,Hougang Street 11_Cam4_20260130_103251_047_A.jpeg,,491.769,486.578,486.0,14.472,-0.009,1.0
hougang_street_11,16,Hougang Street 11_Cam4_20260130_103254_080_A.jpeg,,515.944,503.857,504.0,14.446,-0.094,1.0
hougang_street_11,17,Hougang Street 11_Cam4_20260130_103301_335_A.jpeg,,528.459,522.202,522.0,14.488,0.528,1.0
hougang_street_11,18,Hougang Street 11_Cam4_20260130_103304_967_A.jpeg,,535.237,531.848,532.0,14.468,-0.244,1.0
hougang_street_11,19,Hougang Street 11_Cam4_20260130_103306_796_A.jpeg,,544.946,540.091,540.0,14.458,-0.319,1.0
hougang_street_11,20,Hougang Street 11_Cam4_20260130_103309_216_A.jpeg,,555.855,550.4,550.0,14.421,-0.691,1.0
hougang_street_11,21,Hougang Street 11_Cam4_20260130_103312_219_A.jpeg,,584.203,570.029,570.0,14.277,-0.553,1.0
hougang_street_11,22,Hougang Street 11_Cam4_20260130_103320_774_A.jpeg,,592.571,588.387,588.0,14.094,-0.275,1.0
hougang_street_11,23,Hougang Street 11_Cam4_20260130_103323_777_A.jpeg,,601.365,596.968,596.0,14.048,-1.056,1.0
hougang_street_11,24,Hougang Street 11_Cam4_20260130_103326_780_A.jpeg,,610.028,605.697,606.0,13.576,,
hougang_street_11,25,Hougang Street 11_Cam4_20260130_103329_189_A.jpeg,,620.576,615.302,616.0,13.526,0.194,1.0
hougang_street_11,26,Hougang Street 11_Cam4_20260130_103332_193_A.jpeg,,632.336,626.456,626.0,13.598,0.919,1.0
hougang_street_11,27,Hougang Street 11_Cam4_20260130_103335_797_A.jpeg,,639.827,636.082,636.0,13.694,1.459,1.0
hougang_street_11,28,Hougang Street 11_Cam4_20260130_103338_219_A.jpeg,,671.259,655.543,656.0,14.697,2.903,1.0
hougang_street_11,29,Hougang Street 11_Cam4_20260130_103352_056_A.jpeg,,681.829,676.544,676.0,14.466,,
hougang_street_11,30,Hougang Street 11_Cam4_20260130_103355_660_A.jpeg,,693.619,687.724,688.0,15.873,,
hougang_street_11,31,Hougang Street 11_Cam4_20260130_103359_864_A.jpeg,,735.531,714.575,714.0,15.24,1.134,1.0
hougang_street_11,32,Hougang Street 11_Cam4_20260130_103414_852_A.jpeg,,748.762,742.147,742.0,16.471,,
hougang_street_11,33,Hougang Street 11_Cam4_20260130_103502_654_A.jpeg,,757.084,752.923,752.0,15.963,,
hougang_street_11,34,Hougang Street 11_Cam4_20260130_103505_796_A.jpeg,,835.757,796.421,796.0,15.203,-2.606,1.0
hougang_street_11,35,Hougang Street 11_Cam4_20260130_105357_860_A.jpeg,,847.446,841.601,842.0,15.549,,
hougang_street_11,36,Hougang Street 11_Cam4_20260130_105402_672_A.jpeg,,853.796,850.621,850.0,14.621,,
hougang_street_11,37,Hougang Street 11_Cam4_20260130_105404_474_A.jpeg,,864.7,859.248,860.0,14.396,-1.987,1.0
hougang_street_11,38,Hougang Street 11_Cam4_20260130_105407_479_A.jpeg,,873.381,869.041,870.0,14.235,-1.506,1.0
hougang_street_11,39,Hougang Street 11_Cam4_20260130_105410_482_A.jpeg,,884.216,878.799,878.0,14.122,-1.137,1.0
hougang_street_11,40,Hougang Street 11_Cam4_20260130_105414_088_A.jpeg,,893.441,888.829,888.0,13.999,-1.681,1.0
hougang_street_11,41,Hougang Street 11_Cam4_20260130_105912_937_A.jpeg,,905.812,899.627,900.0,13.844,-1.669,1.0
hougang_street_11,42,Hougang Street 11_Cam4_20260130_105918_947_A.jpeg,,914.711,910.262,910.0,13.575,-0.188,1.0
hougang_street_11,43,Hougang Street 11_Cam4_20260130_105921_954_A.jpeg,,924.273,919.492,920.0,13.672,1.484,1.0
hougang_street_11,44,Hougang Street 11_Cam4_20260130_105924_959_A.jpeg,,937.8,931.036,932.0,13.695,0.144,1.0
hougang_street_11,45,Hougang Street 11_Cam4_20260130_105928_570_A.jpeg,,985.591,961.695,962.0,13.785,0.575,1.0
hougang_street_11,46,Hougang Street 11_Cam4_20260130_105941_197_A.jpeg,,991.908,988.75,988.0,13.919,1.6,1.0
hougang_street_11,47,Hougang Street 11_Cam4_20260130_105942_999_A.jpeg,,1001.178,996.543,996.0,13.966,0.616,1.0
hougang_street_11,48,Hougang Street 11_Cam4_20260130_105945_402_A.jpeg,,1014.934,1008.056,1008.0,14.093,2.066,1.0
hougang_street_11,49,Hougang Street 11_Cam4_20260130_105949_007_A.jpeg,,1021.783,1018.359,1018.0,14.197,0.406,1.0
hougang_street_11,50,Hougang Street 11_Cam4_20260130_105950_810_A.jpeg,,1030.727,1026.255,1026.0,14.211,0.703,1.0
hougang_street_11,51,Hougang Street 11_Cam4_20260130_105953_214_A.jpeg,,1041.108,1035.917,1036.0,14.276,0.369,1.0
hougang_street_11,52,Hougang Street 11_Cam4_20260130_105956_224_A.jpeg,,1051.942,1046.525,1046.0,14.314,0.069,1.0
hougang_street_11,53,Hougang Street 11_Cam4_20260130_105959_149_A.jpeg,,1061.851,1056.897,1056.0,14.218,-0.594,1.0
hougang_street_11,54,Hougang Street 11_Cam4_20260130_110001_551_A.jpeg,,1072.123,1066.987,1066.0,14.178,-0.45,1.0
hougang_street_11,55,Hougang Street 11_Cam4_20260130_110003_954_A.jpeg,,1082.862,1077.492,1078.0,14.192,0.484,1.0
hougang_street_11,56,Hougang Street 11_Cam4_20260130_110006_361_A.jpeg,,1091.045,1086.954,1086.0,14.208,-0.2,1.0
hougang_street_11,57,Hougang Street 11_Cam4_20260130_110008_162_A.jpeg,,1139.8,1115.423,1116.0,14.117,1.303,1.0
hougang_street_11,58,Hougang Street 11_Cam4_20260130_110020_174_A.jpeg,,1149.504,1144.652,1144.0,14.118,1.825,1.0
hougang_street_11,59,Hougang Street 11_Cam4_20260130_110022_581_A.jpeg,,1159.62,1154.562,1154.0,14.256,0.469,1.0
hougang_street_11,60,Hougang Street 11_Cam4_20260130_110024_986_A.jpeg,,1170.038,1164.829,1164.0,14.245,-0.287,1.0
hougang_street_11,61,Hougang Street 11_Cam4_20260130_110027_397_A.jpeg,,1195.746,1182.892,1182.0,14.439,2.544,1.0
hougang_street_11,62,Hougang Street 11_Cam4_20260130_110034_011_A.jpeg,,1208.264,1202.005,1202.0,14.782,2.944,1.0
hougang_street_11,63,Hougang Street 11_Cam4_20260130_110037_614_A.jpeg,,1216.095,1212.179,1212.0,15.082,1.666,1.0
hougang_street_11,64,Hougang Street 11_Cam4_20260130_110039_419_A.jpeg,,1225.3,1220.698,1220.0,15.202,1.231,1.0
