path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_kelichap,Jalan Kelichap,0.0,33267.723,36618.824,16.582,14.345,14.345,,,JALAN KELICHAP,6.975
jalan_kelichap,Jalan Kelichap,2.0,33268.311,36616.912,15.484,14.345,14.448,,,JALAN KELICHAP,4.992
jalan_kelichap,Jalan Kelichap,4.0,33268.899,36615.0,14.345,14.551,14.551,,,JALAN KELICHAP,3.008
jalan_kelichap,Jalan Kelichap,6.0,33269.486,36613.089,14.338,14.757,14.757,,,JALAN KELICHAP,1.025
jalan_kelichap,Jalan Kelichap,8.0,33270.074,36611.177,14.303,14.759,14.759,,,JALAN KELICHAP,0.959
jalan_kelichap,Jalan Kelichap,10.0,33270.662,36609.266,14.489,14.76,14.76,,,JALAN KELICHAP,2.942
jalan_kelichap,Jalan Kelichap,12.0,33271.431,36607.462,22.489,14.762,14.762,,,JALAN KELICHAP,4.85
jalan_kelichap,Jalan Kelichap,14.0,33272.839,36606.042,17.66,14.764,14.764,,,JALAN KELICHAP,6.488
jalan_kelichap,Jalan Kelichap,16.0,33274.246,36604.621,17.803,14.766,14.766,,,JALAN KELICHAP,8.126
jalan_kelichap,Jalan Kelichap,18.0,33275.654,36603.2,15.659,14.768,14.768,,,JALAN KELICHAP,9.765
jalan_kelichap,Jalan Kelichap,20.0,33277.062,36601.78,17.46,14.77,14.77,,,JALAN KELICHAP,11.403
jalan_kelichap,Jalan Kelichap,22.0,33278.47,36600.359,17.061,14.772,14.772,,,JALAN KELICHAP,13.041
jalan_kelichap,Jalan Kelichap,24.0,33279.724,36601.291,15.632,14.774,14.774,,,JALAN KELICHAP,12.335
jalan_kelichap,Jalan Kelichap,26.0,33280.935,36602.883,15.709,14.775,14.775,,,JALAN KELICHAP,10.971
jalan_kelichap,Jalan Kelichap,28.0,33282.146,36604.474,18.677,14.777,14.777,,,JALAN KELICHAP,9.607
jalan_kelichap,Jalan Kelichap,30.0,33283.356,36606.066,14.718,14.779,14.777,,,JALAN KELICHAP,8.243
jalan_kelichap,Jalan Kelichap,32.0,33284.567,36607.658,14.781,14.781,14.777,,,JALAN KELICHAP,6.879
jalan_kelichap,Jalan Kelichap,34.0,33285.828,36609.19,14.577,14.577,14.779,,,JALAN KELICHAP,5.582
jalan_kelichap,Jalan Kelichap,36.0,33287.606,36610.107,14.619,14.619,14.781,,,JALAN KELICHAP,4.979
jalan_kelichap,Jalan Kelichap,38.0,33289.383,36611.024,15.626,15.178,15.178,,,JALAN KELICHAP,4.376
jalan_kelichap,Jalan Kelichap,40.0,33291.165,36611.932,15.587,15.738,15.738,,,JALAN KELICHAP,3.782
jalan_kelichap,Jalan Kelichap,42.0,33292.968,36612.797,14.324,16.297,16.297,,,JALAN KELICHAP,3.235
jalan_kelichap,Jalan Kelichap,44.0,33294.772,36613.662,14.659,17.459,17.459,,,JALAN KELICHAP,2.688
jalan_kelichap,Jalan Kelichap,46.0,33296.575,36614.527,14.466,18.621,18.621,,,JALAN KELICHAP,2.141
jalan_kelichap,Jalan Kelichap,48.0,33298.378,36615.392,20.055,19.783,19.783,,,JALAN KELICHAP,1.593
jalan_kelichap,Jalan Kelichap,50.0,33300.182,36616.256,27.224,20.944,20.944,,,JALAN KELICHAP,1.046
jalan_kelichap,Jalan Kelichap,52.0,33301.985,36617.121,25.181,22.236,22.236,,,JALAN KELICHAP,0.499
jalan_kelichap,Jalan Kelichap,54.0,33303.945,36617.488,24.721,23.527,23.527,,,JALAN KELICHAP,0.468
jalan_kelichap,Jalan Kelichap,56.0,33305.919,36617.812,24.721,24.818,24.818,,,JALAN KELICHAP,0.483
jalan_kelichap,Jalan Kelichap,58.0,33307.892,36618.136,24.721,26.109,26.109,,,JALAN KELICHAP,0.498
jalan_kelichap,Jalan Kelichap,60.0,33309.866,36618.46,24.721,27.401,27.401,,,JALAN KELICHAP,0.512
jalan_kelichap,Jalan Kelichap,62.0,33311.839,36618.784,29.983,28.692,28.692,,,JALAN KELICHAP,0.527
jalan_kelichap,Jalan Kelichap,64.0,33313.828,36618.998,29.983,29.983,29.983,,,JALAN KELICHAP,0.652
jalan_kelichap,Jalan Kelichap,66.0,33315.817,36619.202,29.983,29.983,29.983,,,JALAN KELICHAP,0.788
jalan_kelichap,Jalan Kelichap,68.0,33317.807,36619.405,29.983,29.983,29.983,-4.157,1.0,JALAN KELICHAP,0.924
jalan_kelichap,Jalan Kelichap,70.0,33319.796,36619.609,,29.817,29.817,-6.236,1.0,JALAN KELICHAP,1.06
jalan_kelichap,Jalan Kelichap,72.0,33321.786,36619.812,,29.65,29.65,-8.314,1.0,JALAN KELICHAP,1.196
jalan_kelichap,Jalan Kelichap,74.0,33323.752,36620.171,,29.484,29.484,-8.314,1.0,JALAN KELICHAP,1.175
jalan_kelichap,Jalan Kelichap,76.0,33325.71,36620.577,,29.318,29.318,-8.314,1.0,JALAN KELICHAP,1.106
jalan_kelichap,Jalan Kelichap,78.0,33327.669,36620.983,,29.152,29.152,-8.314,1.0,JALAN KELICHAP,1.038
jalan_kelichap,Jalan Kelichap,80.0,33329.627,36621.389,,28.985,28.985,-8.314,1.0,JALAN KELICHAP,0.968
jalan_kelichap,Jalan Kelichap,82.0,33331.575,36621.841,,28.819,28.819,-8.314,1.0,JALAN KELICHAP,0.852
jalan_kelichap,Jalan Kelichap,84.0,33333.523,36622.293,,28.653,28.653,-8.314,1.0,JALAN KELICHAP,0.74
jalan_kelichap,Jalan Kelichap,86.0,33335.472,36622.745,,28.486,28.486,-8.314,1.0,JALAN KELICHAP,0.628
jalan_kelichap,Jalan Kelichap,88.0,33337.42,36623.197,,28.32,28.32,-8.314,1.0,JALAN KELICHAP,0.515
jalan_kelichap,Jalan Kelichap,90.0,33339.366,36623.659,,28.154,28.154,-8.314,1.0,JALAN KELICHAP,0.393
jalan_kelichap,Jalan Kelichap,92.0,33341.301,36624.162,,27.988,27.988,-8.314,1.0,JALAN KELICHAP,0.228
jalan_kelichap,Jalan Kelichap,94.0,33343.237,36624.666,,27.821,27.821,-8.314,1.0,JALAN KELICHAP,0.062
jalan_kelichap,Jalan Kelichap,96.0,33345.172,36625.17,,27.655,27.655,-8.314,1.0,JALAN KELICHAP,0.103
jalan_kelichap,Jalan Kelichap,98.0,33347.108,36625.673,,27.489,27.489,-8.314,1.0,JALAN KELICHAP,0.268
jalan_kelichap,Jalan Kelichap,100.0,33349.043,36626.177,,27.322,27.322,-8.314,1.0,JALAN KELICHAP,0.434
jalan_kelichap,Jalan Kelichap,102.0,33350.985,36626.657,,27.156,27.156,-8.314,1.0,JALAN KELICHAP,0.575
jalan_kelichap,Jalan Kelichap,104.0,33352.933,36627.11,,26.99,26.99,-8.314,1.0,JALAN KELICHAP,0.689
jalan_kelichap,Jalan Kelichap,106.0,33354.881,36627.563,,26.824,26.824,-8.314,1.0,JALAN KELICHAP,0.802
jalan_kelichap,Jalan Kelichap,108.0,33356.829,36628.016,,26.657,26.657,-8.314,1.0,JALAN KELICHAP,0.916
jalan_kelichap,Jalan Kelichap,110.0,33358.777,36628.469,,26.491,26.491,-8.314,1.0,JALAN KELICHAP,1.029
jalan_kelichap,Jalan Kelichap,112.0,33360.744,36628.825,,26.325,26.325,-7.275,1.0,JALAN KELICHAP,1.043
jalan_kelichap,Jalan Kelichap,114.0,33362.717,36629.158,,26.158,26.158,-6.236,1.0,JALAN KELICHAP,1.034
jalan_kelichap,Jalan Kelichap,116.0,33364.689,36629.491,,,26.075,-5.196,1.0,JALAN KELICHAP,1.025
jalan_kelichap,Jalan Kelichap,118.0,33366.661,36629.824,,,25.992,,,JALAN KELICHAP,1.016
jalan_kelichap,Jalan Kelichap,120.0,33368.633,36630.157,,,25.909,,,JALAN KELICHAP,1.007
jalan_kelichap,Jalan Kelichap,122.0,33370.63,36630.227,,,,,,JALAN KELICHAP,0.735
jalan_kelichap,Jalan Kelichap,124.0,33372.63,36630.283,,,,,,JALAN KELICHAP,0.448
jalan_kelichap,Jalan Kelichap,126.0,33374.629,36630.338,,,,,,JALAN KELICHAP,0.161
jalan_kelichap,Jalan Kelichap,128.0,33376.628,36630.393,,,,,,JALAN KELICHAP,0.127
jalan_kelichap,Jalan Kelichap,130.0,33378.627,36630.449,,,,,,JALAN KELICHAP,0.414
jalan_kelichap,Jalan Kelichap,132.0,33380.617,36630.602,,,,,,JALAN KELICHAP,0.603
jalan_kelichap,Jalan Kelichap,134.0,33382.586,36630.952,,,,,,JALAN KELICHAP,0.594
jalan_kelichap,Jalan Kelichap,136.0,33384.555,36631.303,,,,,,JALAN KELICHAP,0.586
jalan_kelichap,Jalan Kelichap,138.0,33386.524,36631.653,,,,,,JALAN KELICHAP,0.577
jalan_kelichap,Jalan Kelichap,140.0,33388.493,36632.003,,,,,,JALAN KELICHAP,0.569
jalan_kelichap,Jalan Kelichap,142.0,33390.374,36632.213,,,,,,JALAN KELICHAP,0.683
jalan_kelichap,Jalan Kelichap,144.0,33390.906,36630.286,,,,,,JALAN KELICHAP,2.673
jalan_kelichap,Jalan Kelichap,146.0,33391.439,36628.358,,,,,,JALAN KELICHAP,4.664
jalan_kelichap,Jalan Kelichap,148.0,33391.971,36626.43,,,,,,JALAN KELICHAP,6.568
jalan_kelichap,Jalan Kelichap,150.0,33392.503,36624.502,,,,,,JALAN KELICHAP,6.372
jalan_kelichap,Jalan Kelichap,152.0,33393.035,36622.574,,,,,,JALAN KELICHAP,6.176
jalan_kelichap,Jalan Kelichap,154.0,33393.568,36620.646,,,,,,JALAN KELICHAP,5.98
jalan_kelichap,Jalan Kelichap,156.0,33394.1,36618.718,,,,,,JALAN KELICHAP,5.784
jalan_kelichap,Jalan Kelichap,158.0,33394.632,36616.79,,,,,,JALAN KELICHAP,5.588
jalan_kelichap,Jalan Kelichap,160.0,33395.164,36614.863,,,,,,JALAN KELICHAP,5.392
jalan_kelichap,Jalan Kelichap,162.0,33395.697,36612.935,,,,,,JALAN KELICHAP,5.196
jalan_kelichap,Jalan Kelichap,164.0,33396.229,36611.007,,,,,,JALAN KELICHAP,5.0
jalan_kelichap,Jalan Kelichap,166.0,33396.761,36609.079,,,,,,JALAN KELICHAP,4.804
jalan_kelichap,Jalan Kelichap,168.0,33397.294,36607.151,,,,,,JALAN KELICHAP,4.608
jalan_kelichap,Jalan Kelichap,170.0,33397.573,36605.174,,,,,,JALAN KELICHAP,4.67
jalan_kelichap,Jalan Kelichap,172.0,33397.809,36603.188,,,,,,JALAN KELICHAP,4.776
jalan_kelichap,Jalan Kelichap,174.0,33398.045,36601.201,,,,,,JALAN KELICHAP,4.882
jalan_kelichap,Jalan Kelichap,176.0,33398.28,36599.215,,,,,,JALAN KELICHAP,4.988
jalan_kelichap,Jalan Kelichap,178.0,33398.753,36597.276,,,,,,JALAN KELICHAP,5.099
jalan_kelichap,Jalan Kelichap,180.0,33399.292,36595.35,,,,,,JALAN KELICHAP,5.192
jalan_kelichap,Jalan Kelichap,182.0,33399.832,36593.425,,,,,,JALAN KELICHAP,5.285
jalan_kelichap,Jalan Kelichap,184.0,33400.372,36591.499,,,,,,JALAN KELICHAP,5.379
jalan_kelichap,Jalan Kelichap,186.0,33400.912,36589.573,,,,,,JALAN KELICHAP,5.472
jalan_kelichap,Jalan Kelichap,188.0,33401.014,36587.593,,,,,,JALAN KELICHAP,5.998
jalan_kelichap,Jalan Kelichap,190.0,33400.965,36585.593,,,,,,JALAN KELICHAP,6.674
jalan_kelichap,Jalan Kelichap,192.0,33400.916,36583.594,,,,,,JALAN KELICHAP,7.437
jalan_kelichap,Jalan Kelichap,194.0,33400.867,36581.595,,,,,,JALAN KELICHAP,8.432
jalan_kelichap,Jalan Kelichap,196.0,33400.818,36579.595,,,,,,JALAN KELICHAP,7.496
jalan_kelichap,Jalan Kelichap,198.0,33400.769,36577.596,,,,,,JALAN KELICHAP,5.532
jalan_kelichap,Jalan Kelichap,200.0,33399.11,36576.761,,,,,,JALAN KELICHAP,4.98
jalan_kelichap,Jalan Kelichap,202.0,33397.226,36576.089,,,,,,JALAN KELICHAP,4.624
jalan_kelichap,Jalan Kelichap,204.0,33395.343,36575.416,,,,,,JALAN KELICHAP,4.269
jalan_kelichap,Jalan Kelichap,206.0,33393.459,36574.744,,,,,,JALAN KELICHAP,3.914
jalan_kelichap,Jalan Kelichap,208.0,33391.575,36574.074,,,,,,JALAN KELICHAP,3.561
jalan_kelichap,Jalan Kelichap,210.0,33389.689,36573.406,,,,,,JALAN KELICHAP,3.211
