path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_lye_kwee,Jalan Lye Kwee,0.0,35135.782,39298.132,14.35,14.35,14.561,,,JALAN LYE KWEE,5.408
jalan_lye_kwee,Jalan Lye Kwee,2.0,35134.293,39296.797,14.032,14.561,14.667,7.037,1.0,JALAN LYE KWEE,3.41
jalan_lye_kwee,Jalan Lye Kwee,4.0,35132.804,39295.462,13.917,14.772,14.772,,,JALAN LYE KWEE,1.413
jalan_lye_kwee,Jalan Lye Kwee,6.0,35131.314,39294.127,14.984,14.984,14.984,,,JALAN LYE KWEE,0.585
jalan_lye_kwee,Jalan Lye Kwee,8.0,35129.825,39292.792,14.953,15.194,15.194,,,JALAN LYE KWEE,2.583
jalan_lye_kwee,Jalan Lye Kwee,10.0,35128.336,39291.458,15.625,15.405,15.405,,,JALAN LYE KWEE,4.58
jalan_lye_kwee,Jalan Lye Kwee,12.0,35126.846,39290.123,15.616,15.616,15.405,,,JALAN LYE KWEE,6.578
jalan_lye_kwee,Jalan Lye Kwee,14.0,35125.889,39288.883,15.271,15.424,15.405,,,JALAN LYE KWEE,8.102
jalan_lye_kwee,Jalan Lye Kwee,16.0,35127.748,39288.145,15.233,15.233,15.233,,,JALAN LYE KWEE,7.123
jalan_lye_kwee,Jalan Lye Kwee,18.0,35129.607,39287.407,15.911,14.949,14.949,,,JALAN LYE KWEE,6.144
jalan_lye_kwee,Jalan Lye Kwee,20.0,35131.466,39286.669,14.155,14.666,14.666,,,JALAN LYE KWEE,5.165
jalan_lye_kwee,Jalan Lye Kwee,22.0,35133.325,39285.932,13.585,14.382,14.382,,,JALAN LYE KWEE,4.186
jalan_lye_kwee,Jalan Lye Kwee,24.0,35135.184,39285.194,13.895,14.098,14.098,,,JALAN LYE KWEE,3.207
jalan_lye_kwee,Jalan Lye Kwee,26.0,35137.043,39284.456,13.815,13.815,13.863,,,JALAN LYE KWEE,2.228
jalan_lye_kwee,Jalan Lye Kwee,28.0,35138.902,39283.719,13.825,13.825,13.825,,,JALAN LYE KWEE,1.249
jalan_lye_kwee,Jalan Lye Kwee,30.0,35140.761,39282.981,13.863,13.863,13.815,-3.42,1.0,JALAN LYE KWEE,0.27
jalan_lye_kwee,Jalan Lye Kwee,32.0,35142.62,39282.243,13.714,13.714,13.714,-2.941,1.0,JALAN LYE KWEE,0.709
jalan_lye_kwee,Jalan Lye Kwee,34.0,35144.478,39281.505,13.583,13.583,13.589,-1.031,1.0,JALAN LYE KWEE,1.688
jalan_lye_kwee,Jalan Lye Kwee,36.0,35146.087,39280.433,13.394,13.394,13.589,0.879,1.0,JALAN LYE KWEE,2.262
jalan_lye_kwee,Jalan Lye Kwee,38.0,35147.323,39278.86,13.361,13.589,13.589,3.403,1.0,JALAN LYE KWEE,2.231
jalan_lye_kwee,Jalan Lye Kwee,40.0,35148.559,39277.288,13.784,13.784,13.784,4.72,1.0,JALAN LYE KWEE,2.201
jalan_lye_kwee,Jalan Lye Kwee,42.0,35149.795,39275.715,13.862,13.862,13.862,3.502,1.0,JALAN LYE KWEE,2.17
jalan_lye_kwee,Jalan Lye Kwee,44.0,35151.031,39274.143,14.022,14.022,13.967,2.283,1.0,JALAN LYE KWEE,2.139
jalan_lye_kwee,Jalan Lye Kwee,46.0,35152.269,39272.572,13.984,13.984,13.967,1.021,1.0,JALAN LYE KWEE,2.111
jalan_lye_kwee,Jalan Lye Kwee,48.0,35153.513,39271.006,13.967,13.967,13.967,,,JALAN LYE KWEE,2.091
jalan_lye_kwee,Jalan Lye Kwee,50.0,35154.757,39269.44,13.943,13.943,13.943,,,JALAN LYE KWEE,2.071
jalan_lye_kwee,Jalan Lye Kwee,52.0,35156.002,39267.874,14.069,13.804,13.804,,,JALAN LYE KWEE,2.051
jalan_lye_kwee,Jalan Lye Kwee,54.0,35157.246,39266.309,14.062,13.664,13.664,,,JALAN LYE KWEE,2.031
jalan_lye_kwee,Jalan Lye Kwee,56.0,35158.49,39264.743,14.019,13.375,13.375,,,JALAN LYE KWEE,2.011
jalan_lye_kwee,Jalan Lye Kwee,58.0,35159.722,39263.168,12.856,13.085,13.085,,,JALAN LYE KWEE,1.976
jalan_lye_kwee,Jalan Lye Kwee,60.0,35160.874,39261.533,12.796,12.796,12.796,,,JALAN LYE KWEE,1.841
jalan_lye_kwee,Jalan Lye Kwee,62.0,35162.027,39259.899,12.732,12.732,12.732,,,JALAN LYE KWEE,1.707
jalan_lye_kwee,Jalan Lye Kwee,64.0,35163.19,39258.272,12.673,12.673,12.673,-2.756,1.0,JALAN LYE KWEE,1.585
jalan_lye_kwee,Jalan Lye Kwee,66.0,35164.41,39256.687,12.626,12.626,12.626,-2.444,1.0,JALAN LYE KWEE,1.534
jalan_lye_kwee,Jalan Lye Kwee,68.0,35165.63,39255.102,12.576,12.576,12.576,-2.262,1.0,JALAN LYE KWEE,1.483
jalan_lye_kwee,Jalan Lye Kwee,70.0,35166.849,39253.517,12.536,12.536,12.536,-2.0,1.0,JALAN LYE KWEE,1.432
jalan_lye_kwee,Jalan Lye Kwee,72.0,35168.069,39251.932,12.492,12.492,12.492,-2.0,1.0,JALAN LYE KWEE,1.381
jalan_lye_kwee,Jalan Lye Kwee,74.0,35169.289,39250.347,12.466,12.466,12.466,-2.306,1.0,JALAN LYE KWEE,1.33
jalan_lye_kwee,Jalan Lye Kwee,76.0,35170.563,39248.806,12.416,12.416,12.416,-2.325,1.0,JALAN LYE KWEE,1.348
