path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
kim_chuan_drive,1,Kim Chuan Drive_Cam4_20260113_102252_888_B.jpeg,,14.674,7.337,,,,
kim_chuan_drive,2,Kim Chuan Drive_Cam4_20260113_102257_232_B.jpeg,,22.545,18.609,,,,
kim_chuan_drive,3,Kim Chuan Drive_Cam4_20260113_102259_783_B.jpeg,,30.736,26.641,,,,
kim_chuan_drive,4,Kim Chuan Drive_Cam4_20260113_102302_936_B.jpeg,,40.561,35.648,,,,
kim_chuan_drive,5,Kim Chuan Drive_Cam4_20260113_102306_057_B.jpeg,,50.744,45.652,,,,
kim_chuan_drive,6,Kim Chuan Drive_Cam4_20260113_102309_245_B.jpeg,,62.309,56.526,,,,
kim_chuan_drive,7,Kim Chuan Drive_Cam4_20260113_102312_344_B.jpeg,,72.333,67.321,,,,
kim_chuan_drive,8,Kim Chuan Drive_Cam4_20260113_102314_906_B.jpeg,,80.041,76.187,,,,
kim_chuan_drive,9,Kim Chuan Drive_Cam4_20260113_102316_768_B.jpeg,,256.431,168.236,168.0,13.929,,
kim_chuan_drive,10,Kim Chuan Drive_Cam4_20260113_102424_522_B.jpeg,,292.031,274.231,,,,
kim_chuan_drive,11,Kim Chuan Drive_Cam4_20260113_102443_320_B.jpeg,,323.394,307.713,308.0,11.279,-2.696,1.0
kim_chuan_drive,12,Kim Chuan Drive_Cam4_20260113_102452_870_B.jpeg,,333.837,328.616,328.0,10.394,-2.731,1.0
kim_chuan_drive,13,Kim Chuan Drive_Cam4_20260113_102455_905_B.jpeg,,360.255,347.046,348.0,9.794,,
kim_chuan_drive,14,Kim Chuan Drive_Cam4_20260113_102503_023_B.jpeg,,370.122,365.189,366.0,9.02,-3.487,1.0
kim_chuan_drive,15,Kim Chuan Drive_Cam4_20260113_102505_426_B.jpeg,,412.311,391.217,392.0,8.163,-3.694,1.0
kim_chuan_drive,16,Kim Chuan Drive_Cam4_20260113_102518_981_B.jpeg,,424.226,418.269,418.0,7.217,-1.091,1.0
kim_chuan_drive,17,Kim Chuan Drive_Cam4_20260113_102522_127_B.jpeg,,432.191,428.208,428.0,6.98,-1.2,1.0
kim_chuan_drive,18,Kim Chuan Drive_Cam4_20260113_102524_016_B.jpeg,,440.334,436.262,436.0,6.918,,
kim_chuan_drive,19,Kim Chuan Drive_Cam4_20260113_102525_817_B.jpeg,,450.972,445.653,446.0,6.899,,
kim_chuan_drive,20,Kim Chuan Drive_Cam4_20260113_102528_397_B.jpeg,,461.542,456.257,456.0,6.794,-0.297,1.0
kim_chuan_drive,21,Kim Chuan Drive_Cam4_20260113_102530_945_B.jpeg,,474.465,468.003,468.0,6.697,-1.325,1.0
kim_chuan_drive,22,Kim Chuan Drive_Cam4_20260113_102534_131_B.jpeg,,480.083,477.274,478.0,6.582,-0.687,1.0
kim_chuan_drive,23,Kim Chuan Drive_Cam4_20260113_102535_333_B.jpeg,,511.697,495.89,496.0,6.328,-1.813,1.0
kim_chuan_drive,24,Kim Chuan Drive_Cam4_20260113_102543_614_B.jpeg,,519.971,515.834,516.0,6.409,,
kim_chuan_drive,25,Kim Chuan Drive_Cam4_20260113_102546_720_B.jpeg,,528.73,524.351,524.0,7.234,,
kim_chuan_drive,26,Kim Chuan Drive_Cam4_20260113_102549_883_B.jpeg,,540.07,534.4,534.0,7.066,,
kim_chuan_drive,27,Kim Chuan Drive_Cam4_20260113_102553_637_B.jpeg,,549.518,544.794,544.0,6.973,,
kim_chuan_drive,28,Kim Chuan Drive_Cam4_20260113_102556_670_B.jpeg,,741.58,645.549,646.0,8.35,,
kim_chuan_drive,29,Kim Chuan Drive_Cam4_20260113_103136_224_B.jpeg,,775.305,758.443,758.0,10.252,1.081,1.0
kim_chuan_drive,30,Kim Chuan Drive_Cam4_20260113_103148_828_B.jpeg,,785.916,780.61,780.0,11.171,,
kim_chuan_drive,31,Kim Chuan Drive_Cam4_20260113_103153_879_B.jpeg,,798.023,791.969,792.0,11.303,0.712,1.0
kim_chuan_drive,32,Kim Chuan Drive_Cam4_20260113_103158_204_B.jpeg,,808.75,803.387,804.0,11.444,1.433,1.0
