path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lim_ah_pin_road,1,Lim Ah Pin Road_Cam4_20260110_142203_048_B.jpeg,,12.341,6.171,6.0,7.335,,
lim_ah_pin_road,2,Lim Ah Pin Road_Cam4_20260110_142206_659_B.jpeg,,115.526,63.934,64.0,9.159,,
lim_ah_pin_road,3,Lim Ah Pin Road_Cam4_20260130_075855_829_B.jpeg,,145.368,130.447,130.0,8.735,5.792,1.0
lim_ah_pin_road,4,Lim Ah Pin Road_Cam4_20260130_075904_235_B.jpeg,,151.742,148.555,148.0,10.101,,
lim_ah_pin_road,5,Lim Ah Pin Road_Cam4_20260130_075906_036_B.jpeg,,161.528,156.635,156.0,10.617,,
lim_ah_pin_road,6,Lim Ah Pin Road_Cam4_20260130_075909_641_B.jpeg,,189.82,175.674,176.0,9.104,,
lim_ah_pin_road,7,Lim Ah Pin Road_Cam4_20260130_075921_064_B.jpeg,,217.971,203.895,204.0,8.567,6.842,1.0
lim_ah_pin_road,8,Lim Ah Pin Road_Cam4_20260130_075937_280_B.jpeg,,240.239,229.105,230.0,8.783,,
lim_ah_pin_road,9,Lim Ah Pin Road_Cam4_20260130_075943_293_B.jpeg,,251.772,246.006,246.0,7.776,-2.672,1.0
lim_ah_pin_road,10,Lim Ah Pin Road_Cam4_20260130_075946_296_B.jpeg,,257.602,254.687,254.0,7.661,-0.559,1.0
lim_ah_pin_road,11,Lim Ah Pin Road_Cam4_20260130_075951_708_B.jpeg,,365.656,311.629,312.0,10.188,0.0,1.0
lim_ah_pin_road,12,Lim Ah Pin Road_Cam4_20260130_080052_972_B.jpeg,,398.005,381.831,382.0,,,
lim_ah_pin_road,13,Lim Ah Pin Road_Cam4_20260130_080112_198_B.jpeg,,426.092,412.048,412.0,,,
lim_ah_pin_road,14,Lim Ah Pin Road_Cam4_20260130_080124_211_B.jpeg,,437.176,431.634,432.0,,,
lim_ah_pin_road,15,Lim Ah Pin Road_Cam4_20260130_080128_416_B.jpeg,,444.697,440.936,440.0,,,
lim_ah_pin_road,16,Lim Ah Pin Road_Cam4_20260130_080131_418_B.jpeg,,455.221,449.959,450.0,,,
lim_ah_pin_road,17,Lim Ah Pin Road_Cam4_20260130_080135_630_B.jpeg,,501.09,478.155,478.0,,,
lim_ah_pin_road,18,Lim Ah Pin Road_Cam4_20260130_080150_047_B.jpeg,,545.993,523.541,524.0,,,
lim_ah_pin_road,19,Lim Ah Pin Road_Cam4_20260130_080209_267_B.jpeg,,624.887,585.44,586.0,,,
lim_ah_pin_road,20,Lim Ah Pin Road_Cam4_20260130_080251_189_B.jpeg,,630.946,627.917,628.0,,,
