path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
park_villas_rise,1,Park Villas Rise_Cam4_20260131_085919_022_A.jpeg,,11.148,5.574,6.0,13.378,,
park_villas_rise,2,Park Villas Rise_Cam4_20260131_085922_625_A.jpeg,,22.203,16.675,16.0,12.07,,
park_villas_rise,3,Park Villas Rise_Cam4_20260131_085926_230_A.jpeg,,33.077,27.64,28.0,11.361,,
park_villas_rise,4,Park Villas Rise_Cam4_20260131_085929_838_A.jpeg,,44.121,38.599,38.0,12.914,,
park_villas_rise,5,Park Villas Rise_Cam4_20260131_085932_840_A.jpeg,,66.528,55.324,56.0,14.308,,
park_villas_rise,6,Park Villas Rise_Cam4_20260131_085938_846_A.jpeg,,78.074,72.301,72.0,13.603,,
park_villas_rise,7,Park Villas Rise_Cam4_20260131_085941_850_A.jpeg,,90.221,84.148,84.0,12.942,,
park_villas_rise,8,Park Villas Rise_Cam4_20260131_085944_852_A.jpeg,,113.223,101.722,102.0,14.542,,
park_villas_rise,9,Park Villas Rise_Cam4_20260131_085951_460_A.jpeg,,123.295,118.259,118.0,14.05,2.93,1.0
park_villas_rise,10,Park Villas Rise_Cam4_20260131_085954_465_A.jpeg,,134.455,128.875,128.0,14.441,3.712,1.0
park_villas_rise,11,Park Villas Rise_Cam4_20260131_085957_470_A.jpeg,,144.849,139.652,140.0,14.878,3.912,1.0
park_villas_rise,12,Park Villas Rise_Cam4_20260131_090000_474_A.jpeg,,167.781,156.315,156.0,17.941,,
park_villas_rise,13,Park Villas Rise_Cam4_20260131_090006_481_A.jpeg,,179.228,173.504,174.0,21.034,,
park_villas_rise,14,Park Villas Rise_Cam4_20260131_090010_086_A.jpeg,,188.853,184.041,184.0,18.23,,
park_villas_rise,15,Park Villas Rise_Cam4_20260131_090013_089_A.jpeg,,201.184,195.019,196.0,17.388,,
park_villas_rise,16,Park Villas Rise_Cam4_20260131_090017_294_A.jpeg,,224.369,212.776,212.0,17.312,,
park_villas_rise,17,Park Villas Rise_Cam4_20260131_090026_784_A.jpeg,,234.679,229.524,230.0,17.917,,
park_villas_rise,18,Park Villas Rise_Cam4_20260131_090031_589_A.jpeg,,242.536,238.608,238.0,18.983,,
park_villas_rise,19,Park Villas Rise_Cam4_20260131_090035_793_A.jpeg,,253.085,247.811,248.0,18.206,,
park_villas_rise,20,Park Villas Rise_Cam4_20260131_090040_597_A.jpeg,,264.696,258.891,258.0,17.752,,
park_villas_rise,21,Park Villas Rise_Cam4_20260131_090046_607_A.jpeg,,276.334,270.515,270.0,16.145,,
