path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
phillips_avenue,Phillips Avenue,0.0,33223.691,38466.14,,,,,,PHILLIPS AVENUE,4.219
phillips_avenue,Phillips Avenue,2.0,33223.334,38464.172,,,,,,PHILLIPS AVENUE,3.973
phillips_avenue,Phillips Avenue,4.0,33222.977,38462.204,,,,,,PHILLIPS AVENUE,3.727
phillips_avenue,Phillips Avenue,6.0,33222.621,38460.236,,,,,,PHILLIPS AVENUE,3.481
phillips_avenue,Phillips Avenue,8.0,33222.264,38458.268,,,,,,PHILLIPS AVENUE,3.235
phillips_avenue,Phillips Avenue,10.0,33221.908,38456.3,,,,,,PHILLIPS AVENUE,2.99
phillips_avenue,Phillips Avenue,12.0,33221.551,38454.332,,,,,,PHILLIPS AVENUE,2.744
phillips_avenue,Phillips Avenue,14.0,33221.201,38452.363,,,,,,PHILLIPS AVENUE,2.505
phillips_avenue,Phillips Avenue,16.0,33221.023,38450.371,,,,,,PHILLIPS AVENUE,2.438
phillips_avenue,Phillips Avenue,18.0,33220.844,38448.379,,,,,,PHILLIPS AVENUE,2.371
phillips_avenue,Phillips Avenue,20.0,33220.665,38446.387,,,,,,PHILLIPS AVENUE,2.305
phillips_avenue,Phillips Avenue,22.0,33220.486,38444.395,,,,,,PHILLIPS AVENUE,2.238
phillips_avenue,Phillips Avenue,24.0,33220.312,38442.403,,,,,,PHILLIPS AVENUE,2.175
phillips_avenue,Phillips Avenue,26.0,33220.199,38440.406,,,,,,PHILLIPS AVENUE,2.174
phillips_avenue,Phillips Avenue,28.0,33220.086,38438.41,,,,,,PHILLIPS AVENUE,2.174
phillips_avenue,Phillips Avenue,30.0,33219.973,38436.413,,,,,,PHILLIPS AVENUE,2.173
phillips_avenue,Phillips Avenue,32.0,33219.859,38434.416,,,,,,PHILLIPS AVENUE,2.171
phillips_avenue,Phillips Avenue,34.0,33219.743,38432.419,,,,,,PHILLIPS AVENUE,2.167
phillips_avenue,Phillips Avenue,36.0,33219.626,38430.423,,,,,,PHILLIPS AVENUE,2.162
phillips_avenue,Phillips Avenue,38.0,33219.51,38428.426,,,,,,PHILLIPS AVENUE,2.158
phillips_avenue,Phillips Avenue,40.0,33219.393,38426.43,,,,,,PHILLIPS AVENUE,2.153
phillips_avenue,Phillips Avenue,42.0,33219.277,38424.433,,,,,,PHILLIPS AVENUE,2.149
phillips_avenue,Phillips Avenue,44.0,33219.152,38422.437,,,,,,PHILLIPS AVENUE,2.136
phillips_avenue,Phillips Avenue,46.0,33219.01,38420.442,,,,,,PHILLIPS AVENUE,2.106
phillips_avenue,Phillips Avenue,48.0,33218.868,38418.447,,,,,,PHILLIPS AVENUE,2.076
phillips_avenue,Phillips Avenue,50.0,33218.726,38416.452,,,,,,PHILLIPS AVENUE,2.046
phillips_avenue,Phillips Avenue,52.0,33218.605,38414.456,,,,,,PHILLIPS AVENUE,2.037
phillips_avenue,Phillips Avenue,54.0,33218.529,38412.457,,,,,,PHILLIPS AVENUE,2.073
phillips_avenue,Phillips Avenue,56.0,33218.454,38410.459,,,,,,PHILLIPS AVENUE,2.11
phillips_avenue,Phillips Avenue,58.0,33218.378,38408.46,,,,,,PHILLIPS AVENUE,2.147
phillips_avenue,Phillips Avenue,60.0,33218.303,38406.462,,,,,,PHILLIPS AVENUE,2.183
phillips_avenue,Phillips Avenue,62.0,33218.227,38404.463,,,,,,PHILLIPS AVENUE,2.22
phillips_avenue,Phillips Avenue,64.0,33218.152,38402.464,,,,,,PHILLIPS AVENUE,2.256
phillips_avenue,Phillips Avenue,66.0,33218.076,38400.466,,,,,,PHILLIPS AVENUE,2.293
phillips_avenue,Phillips Avenue,68.0,33218.001,38398.467,,,,,,PHILLIPS AVENUE,2.329
phillips_avenue,Phillips Avenue,70.0,33217.925,38396.469,,,,,,PHILLIPS AVENUE,2.366
phillips_avenue,Phillips Avenue,72.0,33217.849,38394.47,,,,,,PHILLIPS AVENUE,2.403
phillips_avenue,Phillips Avenue,74.0,33217.774,38392.472,,,,,,PHILLIPS AVENUE,2.439
phillips_avenue,Phillips Avenue,76.0,33217.698,38390.473,,,,,,PHILLIPS AVENUE,2.476
phillips_avenue,Phillips Avenue,78.0,33217.623,38388.474,,,,,,PHILLIPS AVENUE,2.512
phillips_avenue,Phillips Avenue,80.0,33217.547,38386.476,,,,,,PHILLIPS AVENUE,2.549
phillips_avenue,Phillips Avenue,82.0,33217.469,38384.477,,,,,,PHILLIPS AVENUE,2.582
