path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_serangoon_road,Upper Serangoon Road,0.0,35838.949,40135.063,6.821,8.024,8.297,,,UPPER SERANGOON ROAD,19.4
upper_serangoon_road,Upper Serangoon Road,2.0,35838.823,40133.067,7.613,8.297,8.434,,,UPPER SERANGOON ROAD,19.398
upper_serangoon_road,Upper Serangoon Road,4.0,35838.698,40131.071,8.024,8.57,8.57,,,UPPER SERANGOON ROAD,19.395
upper_serangoon_road,Upper Serangoon Road,6.0,35838.572,40129.075,7.477,8.844,8.844,,,UPPER SERANGOON ROAD,19.393
upper_serangoon_road,Upper Serangoon Road,8.0,35838.447,40127.079,8.047,8.911,8.911,,,UPPER SERANGOON ROAD,19.469
upper_serangoon_road,Upper Serangoon Road,10.0,35838.321,40125.083,10.568,8.978,8.978,,,UPPER SERANGOON ROAD,19.574
upper_serangoon_road,Upper Serangoon Road,12.0,35838.165,40123.089,11.912,9.045,9.045,,,UPPER SERANGOON ROAD,19.648
upper_serangoon_road,Upper Serangoon Road,14.0,35837.997,40121.096,13.054,9.112,9.112,,,UPPER SERANGOON ROAD,19.711
upper_serangoon_road,Upper Serangoon Road,16.0,35837.83,40119.103,12.336,9.179,9.179,,,UPPER SERANGOON ROAD,19.774
upper_serangoon_road,Upper Serangoon Road,18.0,35837.662,40117.11,11.046,9.246,9.246,,,UPPER SERANGOON ROAD,19.837
upper_serangoon_road,Upper Serangoon Road,20.0,35837.494,40115.117,8.703,9.313,9.313,,,UPPER SERANGOON ROAD,19.9
upper_serangoon_road,Upper Serangoon Road,22.0,35837.286,40113.13,9.825,9.38,9.38,,,UPPER SERANGOON ROAD,19.923
upper_serangoon_road,Upper Serangoon Road,24.0,35836.899,40111.168,9.329,9.447,9.447,,,UPPER SERANGOON ROAD,19.763
upper_serangoon_road,Upper Serangoon Road,26.0,35836.511,40109.206,9.514,9.514,9.514,,,UPPER SERANGOON ROAD,19.604
upper_serangoon_road,Upper Serangoon Road,28.0,35836.123,40107.244,8.53,9.559,9.559,,,UPPER SERANGOON ROAD,19.467
upper_serangoon_road,Upper Serangoon Road,30.0,35835.736,40105.282,9.67,9.603,9.603,1.663,1.0,UPPER SERANGOON ROAD,19.387
upper_serangoon_road,Upper Serangoon Road,32.0,35835.348,40103.319,12.36,9.648,9.625,,,UPPER SERANGOON ROAD,19.308
upper_serangoon_road,Upper Serangoon Road,34.0,35834.979,40101.354,9.625,9.625,9.648,,,UPPER SERANGOON ROAD,19.248
upper_serangoon_road,Upper Serangoon Road,36.0,35834.71,40099.373,7.636,9.913,9.913,,,UPPER SERANGOON ROAD,19.289
upper_serangoon_road,Upper Serangoon Road,38.0,35834.441,40097.391,9.612,10.201,9.913,,,UPPER SERANGOON ROAD,19.33
upper_serangoon_road,Upper Serangoon Road,40.0,35834.171,40095.409,8.436,10.045,9.913,,,UPPER SERANGOON ROAD,19.371
upper_serangoon_road,Upper Serangoon Road,42.0,35833.902,40093.427,9.365,9.888,9.888,,,UPPER SERANGOON ROAD,19.412
upper_serangoon_road,Upper Serangoon Road,44.0,35833.633,40091.445,9.616,9.732,9.732,,,UPPER SERANGOON ROAD,19.453
upper_serangoon_road,Upper Serangoon Road,46.0,35833.364,40089.463,12.531,9.575,9.575,,,UPPER SERANGOON ROAD,19.494
upper_serangoon_road,Upper Serangoon Road,48.0,35833.095,40087.482,12.684,9.418,9.418,,,UPPER SERANGOON ROAD,19.536
upper_serangoon_road,Upper Serangoon Road,50.0,35832.826,40085.5,12.736,9.262,9.262,,,UPPER SERANGOON ROAD,19.649
upper_serangoon_road,Upper Serangoon Road,52.0,35832.557,40083.518,14.006,9.105,9.105,,,UPPER SERANGOON ROAD,19.772
upper_serangoon_road,Upper Serangoon Road,54.0,35832.288,40081.536,19.054,8.949,8.949,,,UPPER SERANGOON ROAD,19.896
upper_serangoon_road,Upper Serangoon Road,56.0,35832.019,40079.554,17.714,8.792,8.792,,,UPPER SERANGOON ROAD,20.019
upper_serangoon_road,Upper Serangoon Road,58.0,35831.669,40077.585,18.169,8.636,8.636,,,UPPER SERANGOON ROAD,20.061
upper_serangoon_road,Upper Serangoon Road,60.0,35831.304,40075.619,8.061,8.479,8.479,,,UPPER SERANGOON ROAD,20.087
upper_serangoon_road,Upper Serangoon Road,62.0,35830.939,40073.653,8.306,8.323,8.323,,,UPPER SERANGOON ROAD,20.113
upper_serangoon_road,Upper Serangoon Road,64.0,35830.574,40071.686,9.67,8.166,8.166,,,UPPER SERANGOON ROAD,20.139
upper_serangoon_road,Upper Serangoon Road,66.0,35830.209,40069.72,8.009,8.009,8.166,,,UPPER SERANGOON ROAD,20.165
upper_serangoon_road,Upper Serangoon Road,68.0,35829.829,40067.757,7.969,7.969,8.109,,,UPPER SERANGOON ROAD,20.176
upper_serangoon_road,Upper Serangoon Road,70.0,35829.352,40065.814,8.17,8.17,8.048,,,UPPER SERANGOON ROAD,20.098
upper_serangoon_road,Upper Serangoon Road,72.0,35828.875,40063.872,9.544,8.109,8.048,,,UPPER SERANGOON ROAD,20.157
upper_serangoon_road,Upper Serangoon Road,74.0,35828.397,40061.93,9.816,8.048,8.048,,,UPPER SERANGOON ROAD,20.253
upper_serangoon_road,Upper Serangoon Road,76.0,35827.92,40059.988,8.551,7.987,7.987,,,UPPER SERANGOON ROAD,20.349
