path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
owen_road,Owen Road,0.0,30027.878,33057.495,4.385,6.168,6.168,,,OWEN ROAD,9.209
owen_road,Owen Road,2.0,30026.451,33058.897,4.702,6.168,6.168,,,OWEN ROAD,9.178
owen_road,Owen Road,4.0,30025.025,33060.298,5.152,6.168,6.168,,,OWEN ROAD,9.148
owen_road,Owen Road,6.0,30023.598,33061.7,5.602,6.168,6.168,,,OWEN ROAD,9.117
owen_road,Owen Road,8.0,30022.171,33063.102,6.647,6.168,6.168,,,OWEN ROAD,9.087
owen_road,Owen Road,10.0,30020.745,33064.504,6.656,6.312,6.256,,,OWEN ROAD,9.056
owen_road,Owen Road,12.0,30019.318,33065.905,6.115,6.456,6.256,,,OWEN ROAD,9.026
owen_road,Owen Road,14.0,30017.892,33067.307,6.256,6.256,6.256,,,OWEN ROAD,8.995
owen_road,Owen Road,16.0,30016.375,33068.609,6.795,5.991,5.991,,,OWEN ROAD,9.1
owen_road,Owen Road,18.0,30014.829,33069.877,7.412,5.726,5.726,-9.946,2.0,OWEN ROAD,9.248
owen_road,Owen Road,20.0,30013.282,33071.145,5.315,5.46,5.46,,,OWEN ROAD,9.397
owen_road,Owen Road,22.0,30011.747,33072.426,5.195,5.195,5.46,,,OWEN ROAD,9.529
owen_road,Owen Road,24.0,30010.351,33073.858,3.907,5.342,5.46,,,OWEN ROAD,9.456
owen_road,Owen Road,26.0,30008.955,33075.29,3.88,5.489,5.489,1.756,1.0,OWEN ROAD,9.382
owen_road,Owen Road,28.0,30007.558,33076.722,5.635,5.635,5.563,,,OWEN ROAD,9.309
owen_road,Owen Road,30.0,30006.162,33078.154,5.563,5.563,5.601,,,OWEN ROAD,9.236
owen_road,Owen Road,32.0,30004.763,33079.583,5.973,5.601,5.635,,,OWEN ROAD,9.167
owen_road,Owen Road,34.0,30003.322,33080.97,5.528,5.639,5.639,,,OWEN ROAD,9.156
owen_road,Owen Road,36.0,30001.882,33082.358,6.525,5.677,5.677,,,OWEN ROAD,9.145
