path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
race_course_road,Race Course Road,158.0,30180.221,32606.359,7.273,7.273,7.329,-1.406,1.0,RACE COURSE ROAD,12.708
race_course_road,Race Course Road,160.0,30178.887,32604.913,7.329,7.329,7.301,-0.495,1.0,RACE COURSE ROAD,12.016
race_course_road,Race Course Road,162.0,30178.233,32603.023,7.385,7.385,7.273,,,RACE COURSE ROAD,12.122
race_course_road,Race Course Road,164.0,30177.58,32601.133,7.123,7.123,7.299,,,RACE COURSE ROAD,12.227
race_course_road,Race Course Road,166.0,30176.926,32599.243,7.142,7.211,7.299,,,RACE COURSE ROAD,12.332
race_course_road,Race Course Road,168.0,30176.272,32597.353,5.448,7.299,7.299,,,RACE COURSE ROAD,12.438
race_course_road,Race Course Road,170.0,30175.619,32595.463,5.448,7.388,7.388,,,RACE COURSE ROAD,12.543
race_course_road,Race Course Road,172.0,30174.842,32593.629,5.448,7.476,7.476,,,RACE COURSE ROAD,12.513
race_course_road,Race Course Road,174.0,30173.828,32591.905,5.598,7.564,7.564,,,RACE COURSE ROAD,12.222
race_course_road,Race Course Road,176.0,30172.814,32590.181,7.373,7.653,7.653,,,RACE COURSE ROAD,11.932
race_course_road,Race Course Road,178.0,30171.801,32588.457,7.923,7.741,7.741,,,RACE COURSE ROAD,11.649
race_course_road,Race Course Road,180.0,30170.787,32586.733,7.829,7.829,7.817,,,RACE COURSE ROAD,11.529
race_course_road,Race Course Road,182.0,30169.774,32585.009,7.829,7.829,7.817,,,RACE COURSE ROAD,11.429
race_course_road,Race Course Road,184.0,30168.76,32583.285,7.817,7.817,7.817,,,RACE COURSE ROAD,11.328
race_course_road,Race Course Road,186.0,30169.149,32581.428,7.804,7.804,7.804,,,RACE COURSE ROAD,12.533
race_course_road,Race Course Road,188.0,30169.822,32579.545,7.685,7.575,7.575,,,RACE COURSE ROAD,14.001
race_course_road,Race Course Road,236.0,30155.048,32542.228,6.106,7.306,7.306,,,RACE COURSE ROAD,18.175
race_course_road,Race Course Road,238.0,30153.555,32540.897,6.975,7.036,7.036,,,RACE COURSE ROAD,17.468
race_course_road,Race Course Road,240.0,30152.062,32539.565,6.125,6.746,6.746,,,RACE COURSE ROAD,16.761
race_course_road,Race Course Road,242.0,30151.018,32537.897,6.331,6.456,6.456,,,RACE COURSE ROAD,16.644
race_course_road,Race Course Road,244.0,30150.15,32536.095,7.592,6.166,6.166,,,RACE COURSE ROAD,16.832
race_course_road,Race Course Road,246.0,30149.282,32534.293,6.775,5.877,5.877,,,RACE COURSE ROAD,17.019
race_course_road,Race Course Road,248.0,30148.414,32532.491,6.875,5.649,5.649,,,RACE COURSE ROAD,17.207
race_course_road,Race Course Road,250.0,30147.546,32530.689,5.422,5.422,5.422,,,RACE COURSE ROAD,17.394
race_course_road,Race Course Road,252.0,30146.678,32528.887,4.272,5.399,5.399,,,RACE COURSE ROAD,17.582
race_course_road,Race Course Road,254.0,30145.81,32527.085,5.375,5.375,5.375,,,RACE COURSE ROAD,17.769
race_course_road,Race Course Road,256.0,30144.943,32525.284,6.942,5.295,5.295,,,RACE COURSE ROAD,17.957
race_course_road,Race Course Road,258.0,30144.075,32523.482,6.5,5.215,5.285,,,RACE COURSE ROAD,18.144
race_course_road,Race Course Road,260.0,30143.207,32521.68,4.925,5.134,5.285,,,RACE COURSE ROAD,18.332
race_course_road,Race Course Road,262.0,30142.339,32519.878,5.384,5.285,5.285,,,RACE COURSE ROAD,18.519
race_course_road,Race Course Road,578.0,29995.449,32312.169,4.781,5.436,5.436,,,RACE COURSE ROAD,31.467
race_course_road,Race Course Road,580.0,29994.112,32310.682,4.893,5.692,5.692,,,RACE COURSE ROAD,31.254
race_course_road,Race Course Road,582.0,29992.775,32309.194,4.918,5.949,5.949,,,RACE COURSE ROAD,31.041
race_course_road,Race Course Road,584.0,29991.438,32307.707,6.581,6.205,6.205,,,RACE COURSE ROAD,30.828
race_course_road,Race Course Road,586.0,29990.101,32306.22,9.32,6.462,6.205,,,RACE COURSE ROAD,30.616
race_course_road,Race Course Road,588.0,29988.763,32304.732,6.343,6.343,6.205,,,RACE COURSE ROAD,30.403
race_course_road,Race Course Road,590.0,29987.426,32303.245,6.343,6.189,6.189,,,RACE COURSE ROAD,30.19
race_course_road,Race Course Road,592.0,29986.089,32301.758,6.343,5.958,5.958,,,RACE COURSE ROAD,29.977
race_course_road,Race Course Road,594.0,29984.752,32300.271,6.343,5.727,5.727,,,RACE COURSE ROAD,29.765
