path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
marina_south_drive,Marina South Drive,74.0,32183.134,28983.23,3.706,4.84,4.84,,,MARINA SOUTH DRIVE,13.012
marina_south_drive,Marina South Drive,76.0,32181.525,28982.042,3.723,4.84,4.84,,,MARINA SOUTH DRIVE,13.033
marina_south_drive,Marina South Drive,78.0,32179.916,28980.854,4.84,4.84,4.84,,,MARINA SOUTH DRIVE,13.054
marina_south_drive,Marina South Drive,80.0,32178.307,28979.666,4.931,4.931,4.931,,,MARINA SOUTH DRIVE,13.075
marina_south_drive,Marina South Drive,82.0,32176.698,28978.478,5.04,5.04,4.931,2.083,1.0,MARINA SOUTH DRIVE,13.096
marina_south_drive,Marina South Drive,84.0,32175.089,28977.29,5.006,5.006,4.973,,,MARINA SOUTH DRIVE,13.117
marina_south_drive,Marina South Drive,86.0,32173.48,28976.102,4.931,4.931,5.006,,,MARINA SOUTH DRIVE,13.139
marina_south_drive,Marina South Drive,88.0,32171.871,28974.914,4.437,4.973,5.006,1.042,1.0,MARINA SOUTH DRIVE,13.16
marina_south_drive,Marina South Drive,90.0,32170.262,28973.726,4.565,5.015,5.015,,,MARINA SOUTH DRIVE,13.181
marina_south_drive,Marina South Drive,92.0,32168.653,28972.539,5.056,5.056,5.056,,,MARINA SOUTH DRIVE,13.202
marina_south_drive,Marina South Drive,94.0,32167.044,28971.351,5.098,5.231,5.231,,,MARINA SOUTH DRIVE,13.223
marina_south_drive,Marina South Drive,96.0,32165.435,28970.163,5.406,5.406,5.24,4.484,1.0,MARINA SOUTH DRIVE,13.244
marina_south_drive,Marina South Drive,98.0,32163.826,28968.975,5.24,5.24,5.406,,,MARINA SOUTH DRIVE,13.265
marina_south_drive,Marina South Drive,100.0,32162.217,28967.787,5.538,5.538,5.415,,,MARINA SOUTH DRIVE,13.286
marina_south_drive,Marina South Drive,102.0,32160.608,28966.599,5.972,5.476,5.415,,,MARINA SOUTH DRIVE,13.307
marina_south_drive,Marina South Drive,104.0,32158.999,28965.411,5.294,5.415,5.415,,,MARINA SOUTH DRIVE,13.328
marina_south_drive,Marina South Drive,106.0,32157.39,28964.223,5.85,5.354,5.354,,,MARINA SOUTH DRIVE,13.331
marina_south_drive,Marina South Drive,108.0,32155.781,28963.035,5.581,5.292,5.292,,,MARINA SOUTH DRIVE,13.308
marina_south_drive,Marina South Drive,110.0,32154.172,28961.847,5.231,5.231,5.231,,,MARINA SOUTH DRIVE,13.286
marina_south_drive,Marina South Drive,112.0,32152.563,28960.659,5.319,5.078,5.078,,,MARINA SOUTH DRIVE,13.264
marina_south_drive,Marina South Drive,114.0,32150.954,28959.471,4.925,4.925,4.925,-6.641,1.0,MARINA SOUTH DRIVE,13.242
marina_south_drive,Marina South Drive,116.0,32149.345,28958.283,4.837,4.837,4.837,-4.883,1.0,MARINA SOUTH DRIVE,13.219
marina_south_drive,Marina South Drive,118.0,32147.736,28957.095,4.7,4.7,4.7,-3.125,1.0,MARINA SOUTH DRIVE,13.197
marina_south_drive,Marina South Drive,120.0,32146.127,28955.907,4.675,4.675,4.7,-3.056,1.0,MARINA SOUTH DRIVE,13.175
marina_south_drive,Marina South Drive,122.0,32144.519,28954.719,4.569,4.569,4.675,-1.641,1.0,MARINA SOUTH DRIVE,13.153
marina_south_drive,Marina South Drive,124.0,32142.91,28953.531,4.7,4.7,4.593,,,MARINA SOUTH DRIVE,13.13
marina_south_drive,Marina South Drive,126.0,32141.301,28952.343,4.422,4.422,4.569,,,MARINA SOUTH DRIVE,13.108
marina_south_drive,Marina South Drive,128.0,32139.692,28951.155,4.272,4.593,4.512,,,MARINA SOUTH DRIVE,13.086
marina_south_drive,Marina South Drive,130.0,32138.083,28949.967,4.764,4.512,4.422,,,MARINA SOUTH DRIVE,13.064
marina_south_drive,Marina South Drive,132.0,32136.474,28948.779,4.855,4.266,4.266,,,MARINA SOUTH DRIVE,13.041
marina_south_drive,Marina South Drive,134.0,32134.865,28947.591,4.405,4.019,4.019,,,MARINA SOUTH DRIVE,13.019
marina_south_drive,Marina South Drive,136.0,32133.256,28946.403,4.456,3.773,3.773,,,MARINA SOUTH DRIVE,12.997
marina_south_drive,Marina South Drive,138.0,32131.647,28945.215,4.33,3.455,3.455,,,MARINA SOUTH DRIVE,12.975
marina_south_drive,Marina South Drive,140.0,32130.038,28944.028,2.022,3.136,3.136,,,MARINA SOUTH DRIVE,12.952
marina_south_drive,Marina South Drive,142.0,32128.429,28942.84,1.934,2.818,2.818,,,MARINA SOUTH DRIVE,12.93
marina_south_drive,Marina South Drive,144.0,32126.82,28941.652,2.016,2.5,2.5,,,MARINA SOUTH DRIVE,12.908
marina_south_drive,Marina South Drive,146.0,32125.211,28940.464,2.128,2.181,2.181,,,MARINA SOUTH DRIVE,12.886
marina_south_drive,Marina South Drive,148.0,32123.602,28939.276,2.06,1.863,1.863,,,MARINA SOUTH DRIVE,12.863
marina_south_drive,Marina South Drive,150.0,32121.993,28938.088,2.253,1.598,1.598,,,MARINA SOUTH DRIVE,12.841
marina_south_drive,Marina South Drive,152.0,32120.384,28936.9,1.332,1.332,1.424,,,MARINA SOUTH DRIVE,12.819
marina_south_drive,Marina South Drive,154.0,32118.775,28935.712,1.424,1.424,1.424,,,MARINA SOUTH DRIVE,12.797
marina_south_drive,Marina South Drive,156.0,32117.166,28934.524,1.299,1.299,1.424,-0.937,1.0,MARINA SOUTH DRIVE,12.774
marina_south_drive,Marina South Drive,158.0,32115.557,28933.336,1.524,1.524,1.424,-0.937,1.0,MARINA SOUTH DRIVE,12.752
marina_south_drive,Marina South Drive,160.0,32113.948,28932.148,1.432,1.432,1.349,-3.125,1.0,MARINA SOUTH DRIVE,12.73
marina_south_drive,Marina South Drive,162.0,32112.339,28930.96,1.349,1.349,1.349,-3.125,1.0,MARINA SOUTH DRIVE,12.708
marina_south_drive,Marina South Drive,164.0,32110.73,28929.772,1.174,1.174,1.174,-2.604,1.0,MARINA SOUTH DRIVE,12.685
marina_south_drive,Marina South Drive,166.0,32109.121,28928.584,1.141,1.141,1.174,-2.604,1.0,MARINA SOUTH DRIVE,12.663
marina_south_drive,Marina South Drive,168.0,32107.512,28927.396,1.132,1.132,1.141,0.938,1.0,MARINA SOUTH DRIVE,12.641
marina_south_drive,Marina South Drive,170.0,32105.903,28926.208,1.249,1.249,1.141,1.042,1.0,MARINA SOUTH DRIVE,12.619
marina_south_drive,Marina South Drive,172.0,32104.295,28925.02,1.132,1.132,1.249,2.813,1.0,MARINA SOUTH DRIVE,12.596
marina_south_drive,Marina South Drive,174.0,32102.686,28923.832,1.257,1.257,1.257,3.958,1.0,MARINA SOUTH DRIVE,12.574
marina_south_drive,Marina South Drive,176.0,32101.077,28922.644,1.457,1.457,1.366,3.672,1.0,MARINA SOUTH DRIVE,12.552
marina_south_drive,Marina South Drive,178.0,32099.468,28921.456,1.366,1.366,1.457,3.385,1.0,MARINA SOUTH DRIVE,12.53
marina_south_drive,Marina South Drive,180.0,32097.859,28920.268,1.174,1.528,1.507,2.187,1.0,MARINA SOUTH DRIVE,12.507
marina_south_drive,Marina South Drive,182.0,32096.25,28919.08,1.691,1.691,1.528,1.146,1.0,MARINA SOUTH DRIVE,12.485
marina_south_drive,Marina South Drive,184.0,32094.641,28917.892,1.507,1.507,1.541,1.641,1.0,MARINA SOUTH DRIVE,12.463
marina_south_drive,Marina South Drive,186.0,32093.032,28916.704,1.541,1.541,1.549,2.135,1.0,MARINA SOUTH DRIVE,12.44
marina_south_drive,Marina South Drive,188.0,32091.423,28915.516,1.549,1.549,1.549,2.083,1.0,MARINA SOUTH DRIVE,12.418
marina_south_drive,Marina South Drive,190.0,32089.814,28914.329,1.707,1.707,1.699,2.708,1.0,MARINA SOUTH DRIVE,12.396
marina_south_drive,Marina South Drive,192.0,32088.205,28913.141,1.699,1.699,1.707,2.708,1.0,MARINA SOUTH DRIVE,12.374
marina_south_drive,Marina South Drive,194.0,32086.596,28911.953,1.766,1.766,1.766,0.833,1.0,MARINA SOUTH DRIVE,12.351
marina_south_drive,Marina South Drive,196.0,32084.987,28910.765,1.791,1.791,1.766,0.417,1.0,MARINA SOUTH DRIVE,12.329
marina_south_drive,Marina South Drive,198.0,32083.378,28909.577,1.766,1.766,1.766,-0.313,1.0,MARINA SOUTH DRIVE,12.307
marina_south_drive,Marina South Drive,200.0,32081.769,28908.389,1.741,1.741,1.741,-0.417,1.0,MARINA SOUTH DRIVE,12.285
marina_south_drive,Marina South Drive,202.0,32080.16,28907.201,1.707,1.707,1.741,,,MARINA SOUTH DRIVE,12.262
marina_south_drive,Marina South Drive,204.0,32078.551,28906.013,1.741,1.741,1.732,,,MARINA SOUTH DRIVE,12.24
marina_south_drive,Marina South Drive,206.0,32076.942,28904.825,1.357,1.732,1.724,-0.313,1.0,MARINA SOUTH DRIVE,12.218
marina_south_drive,Marina South Drive,208.0,32075.333,28903.637,1.399,1.724,1.724,-1.562,1.0,MARINA SOUTH DRIVE,12.196
marina_south_drive,Marina South Drive,210.0,32073.724,28902.449,1.716,1.716,1.716,,,MARINA SOUTH DRIVE,12.173
marina_south_drive,Marina South Drive,212.0,32072.115,28901.261,1.591,1.591,1.607,,,MARINA SOUTH DRIVE,12.151
marina_south_drive,Marina South Drive,214.0,32070.506,28900.073,1.607,1.607,1.591,,,MARINA SOUTH DRIVE,12.129
marina_south_drive,Marina South Drive,216.0,32068.897,28898.885,2.057,1.563,1.563,-1.25,1.0,MARINA SOUTH DRIVE,12.107
marina_south_drive,Marina South Drive,218.0,32067.288,28897.697,1.491,1.519,1.519,-1.042,1.0,MARINA SOUTH DRIVE,12.134
marina_south_drive,Marina South Drive,220.0,32065.679,28896.509,1.474,1.474,1.507,,,MARINA SOUTH DRIVE,12.312
marina_south_drive,Marina South Drive,222.0,32064.071,28895.321,1.482,1.482,1.507,,,MARINA SOUTH DRIVE,12.491
marina_south_drive,Marina South Drive,224.0,32062.462,28894.133,1.507,1.507,1.507,0.0,1.0,MARINA SOUTH DRIVE,12.67
marina_south_drive,Marina South Drive,226.0,32060.853,28892.945,1.507,1.507,1.507,0.0,1.0,MARINA SOUTH DRIVE,12.848
marina_south_drive,Marina South Drive,228.0,32059.244,28891.757,1.507,1.507,1.507,0.208,1.0,MARINA SOUTH DRIVE,13.027
marina_south_drive,Marina South Drive,230.0,32057.635,28890.569,1.524,1.524,1.507,0.208,1.0,MARINA SOUTH DRIVE,13.206
marina_south_drive,Marina South Drive,232.0,32056.026,28889.381,1.499,1.499,1.524,0.417,1.0,MARINA SOUTH DRIVE,13.384
marina_south_drive,Marina South Drive,234.0,32054.417,28888.193,1.524,1.524,1.524,0.417,1.0,MARINA SOUTH DRIVE,13.563
marina_south_drive,Marina South Drive,236.0,32052.808,28887.005,1.541,1.541,1.541,0.208,1.0,MARINA SOUTH DRIVE,13.742
