path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
clemenceau_avenue,1,Clemenceau Avenue_Cam4_20251204_082503_857_C.jpeg,,13.808,6.904,6.0,4.746,0.0,1.0
clemenceau_avenue,2,Clemenceau Avenue_Cam4_20251204_082508_661_C.jpeg,,39.685,26.746,26.0,4.746,0.0,1.0
clemenceau_avenue,3,Clemenceau Avenue_Cam4_20251204_082517_077_C.jpeg,,46.332,43.008,44.0,4.746,0.0,1.0
clemenceau_avenue,4,Clemenceau Avenue_Cam4_20251204_082519_481_C.jpeg,,56.819,51.575,52.0,4.746,0.0,1.0
clemenceau_avenue,5,Clemenceau Avenue_Cam4_20251204_082523_096_C.jpeg,,65.671,61.245,62.0,4.81,,
clemenceau_avenue,6,Clemenceau Avenue_Cam4_20251204_082526_099_C.jpeg,,79.387,72.529,72.0,3.726,,
clemenceau_avenue,7,Clemenceau Avenue_Cam4_20251204_082530_908_C.jpeg,,87.484,83.436,84.0,3.249,,
clemenceau_avenue,8,Clemenceau Avenue_Cam4_20251204_082533_911_C.jpeg,,118.624,103.054,104.0,6.644,,
clemenceau_avenue,9,Clemenceau Avenue_Cam4_20251204_082545_921_C.jpeg,,143.256,130.94,130.0,7.505,,
clemenceau_avenue,10,Clemenceau Avenue_Cam4_20251204_082554_333_C.jpeg,,154.626,148.941,148.0,7.4,,
clemenceau_avenue,11,Clemenceau Avenue_Cam4_20251204_082600_822_C.jpeg,,160.789,157.707,158.0,4.941,,
clemenceau_avenue,12,Clemenceau Avenue_Cam4_20251204_082808_333_C.jpeg,,170.429,165.609,166.0,3.064,,
clemenceau_avenue,13,Clemenceau Avenue_Cam4_20251204_082811_336_C.jpeg,,181.722,176.076,176.0,2.84,,
clemenceau_avenue,14,Clemenceau Avenue_Cam4_20251204_082815_538_C.jpeg,,635.437,408.58,408.0,7.51,,
clemenceau_avenue,15,Clemenceau Avenue_Cam4_20251204_085336_915_C.jpeg,,644.948,640.192,640.0,12.49,,
clemenceau_avenue,16,Clemenceau Avenue_Cam4_20251204_085340_518_C.jpeg,,657.797,651.372,652.0,10.672,,
clemenceau_avenue,17,Clemenceau Avenue_Cam4_20251204_085345_926_C.jpeg,,667.902,662.85,662.0,8.714,,
clemenceau_avenue,18,Clemenceau Avenue_Cam4_20251204_085350_131_C.jpeg,,691.707,679.805,680.0,7.57,,
clemenceau_avenue,19,Clemenceau Avenue_Cam4_20251204_085357_926_C.jpeg,,700.563,696.135,696.0,7.109,,
clemenceau_avenue,20,Clemenceau Avenue_Cam4_20251204_085400_328_C.jpeg,,713.583,707.073,708.0,6.714,,
clemenceau_avenue,21,Clemenceau Avenue_Cam4_20251204_085404_530_C.jpeg,,724.861,719.222,720.0,6.321,,
clemenceau_avenue,22,Clemenceau Avenue_Cam4_20251204_085408_735_C.jpeg,,734.958,729.91,730.0,6.907,,
clemenceau_avenue,23,Clemenceau Avenue_Cam4_20251204_085412_339_C.jpeg,,740.101,737.53,738.0,8.068,,
clemenceau_avenue,24,Clemenceau Avenue_Cam4_20251204_085414_150_C.jpeg,,750.207,745.154,746.0,9.189,,
clemenceau_avenue,25,Clemenceau Avenue_Cam4_20251204_085417_756_C.jpeg,,779.5,764.854,764.0,9.723,,
clemenceau_avenue,26,Clemenceau Avenue_Cam4_20251204_085427_974_C.jpeg,,790.765,785.133,786.0,9.742,,
clemenceau_avenue,27,Clemenceau Avenue_Cam4_20251204_085432_182_C.jpeg,,801.813,796.289,796.0,9.953,4.195,1.0
clemenceau_avenue,28,Clemenceau Avenue_Cam4_20251204_085436_386_C.jpeg,,813.618,807.715,808.0,10.461,,
clemenceau_avenue,29,Clemenceau Avenue_Cam4_20251204_085441_682_C.jpeg,,820.675,817.147,818.0,11.012,,
clemenceau_avenue,30,Clemenceau Avenue_Cam4_20251204_085445_286_C.jpeg,,1644.35,1232.513,,,,
clemenceau_avenue,31,Clemenceau Avenue_Cam4_20260107_073423_062_C.jpeg,,1769.617,1706.984,1706.0,,,
clemenceau_avenue,32,Clemenceau Avenue_Cam4_20260107_073620_886_C.jpeg,,1975.423,1872.52,1872.0,,,
clemenceau_avenue,33,Clemenceau Avenue_Cam4_20260107_080435_802_C.jpeg,,1986.408,1980.915,1980.0,,,
