path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
barker_road,Barker Road,0.0,28036.887,33412.324,10.831,4.514,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,2.0,28037.445,33414.245,6.235,4.514,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,4.0,28038.002,33416.165,3.099,4.514,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,6.0,28038.56,33418.086,4.514,4.514,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,8.0,28039.118,33420.007,4.658,4.658,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,10.0,28039.676,33421.927,4.539,4.539,4.514,,,BARKER ROAD,0.0
barker_road,Barker Road,12.0,28040.234,33423.848,4.469,4.469,4.469,,,BARKER ROAD,0.0
barker_road,Barker Road,14.0,28040.791,33425.769,2.941,4.259,4.259,-8.106,1.0,BARKER ROAD,0.0
barker_road,Barker Road,16.0,28041.349,33427.689,2.916,4.05,4.05,-7.533,1.0,BARKER ROAD,0.0
barker_road,Barker Road,18.0,28041.907,33429.61,3.841,3.841,3.866,,,BARKER ROAD,0.0
barker_road,Barker Road,20.0,28042.465,33431.531,3.853,3.853,3.866,,,BARKER ROAD,0.0
barker_road,Barker Road,22.0,28043.023,33433.451,3.866,3.866,3.866,,,BARKER ROAD,0.0
barker_road,Barker Road,24.0,28043.58,33435.372,3.866,3.866,3.866,,,BARKER ROAD,0.0
barker_road,Barker Road,26.0,28044.138,33437.292,3.866,4.02,4.02,,,BARKER ROAD,0.0
barker_road,Barker Road,28.0,28044.696,33439.213,4.228,4.175,4.175,,,BARKER ROAD,0.0
barker_road,Barker Road,30.0,28045.254,33441.134,4.129,4.641,4.641,,,BARKER ROAD,0.0
barker_road,Barker Road,32.0,28045.812,33443.054,4.139,5.106,5.106,,,BARKER ROAD,0.0
barker_road,Barker Road,34.0,28046.37,33444.975,5.271,5.572,5.572,,,BARKER ROAD,0.0
barker_road,Barker Road,36.0,28046.927,33446.896,5.665,6.038,6.038,,,BARKER ROAD,0.0
barker_road,Barker Road,38.0,28047.485,33448.816,5.471,6.504,6.504,,,BARKER ROAD,0.0
barker_road,Barker Road,40.0,28048.041,33450.737,5.768,6.969,6.969,,,BARKER ROAD,0.0
barker_road,Barker Road,42.0,28048.595,33452.659,6.156,7.435,7.435,,,BARKER ROAD,0.0
barker_road,Barker Road,44.0,28049.148,33454.581,7.381,7.957,7.957,,,BARKER ROAD,0.0
barker_road,Barker Road,46.0,28049.701,33456.503,8.723,8.478,8.478,,,BARKER ROAD,0.0
barker_road,Barker Road,48.0,28050.255,33458.425,13.189,9.0,9.0,,,BARKER ROAD,0.0
barker_road,Barker Road,50.0,28050.808,33460.347,12.982,9.521,9.521,,,BARKER ROAD,0.0
barker_road,Barker Road,52.0,28051.361,33462.269,13.686,10.043,10.043,,,BARKER ROAD,0.0
barker_road,Barker Road,54.0,28051.915,33464.191,13.875,10.564,10.564,,,BARKER ROAD,0.0
barker_road,Barker Road,56.0,28052.468,33466.113,11.864,11.086,11.086,,,BARKER ROAD,0.0
barker_road,Barker Road,58.0,28053.021,33468.035,11.607,11.607,11.607,,,BARKER ROAD,0.0
barker_road,Barker Road,60.0,28053.575,33469.957,13.154,11.839,11.839,,,BARKER ROAD,0.0
barker_road,Barker Road,62.0,28054.128,33471.879,12.598,12.07,12.07,,,BARKER ROAD,0.0
barker_road,Barker Road,64.0,28054.681,33473.801,10.656,12.302,12.302,,,BARKER ROAD,0.0
barker_road,Barker Road,66.0,28055.235,33475.723,10.906,12.534,12.534,,,BARKER ROAD,0.0
barker_road,Barker Road,68.0,28055.788,33477.644,10.906,12.765,12.765,,,BARKER ROAD,0.0
barker_road,Barker Road,70.0,28056.341,33479.566,13.052,12.997,12.997,,,BARKER ROAD,0.0
barker_road,Barker Road,72.0,28056.895,33481.488,13.814,13.228,13.108,,,BARKER ROAD,0.0
barker_road,Barker Road,74.0,28057.448,33483.41,13.306,13.168,13.108,,,BARKER ROAD,0.0
barker_road,Barker Road,76.0,28058.001,33485.332,13.894,13.108,13.108,,,BARKER ROAD,0.0
barker_road,Barker Road,78.0,28058.555,33487.254,13.923,11.981,11.981,,,BARKER ROAD,0.0
barker_road,Barker Road,80.0,28059.108,33489.176,12.646,10.854,10.854,,,BARKER ROAD,0.0
barker_road,Barker Road,82.0,28059.661,33491.098,12.628,9.727,9.727,,,BARKER ROAD,0.0
barker_road,Barker Road,84.0,28060.215,33493.02,8.251,,8.601,,,BARKER ROAD,0.0
barker_road,Barker Road,86.0,28060.768,33494.942,5.241,,7.474,,,BARKER ROAD,0.0
barker_road,Barker Road,88.0,28061.321,33496.864,3.407,6.347,6.347,,,BARKER ROAD,0.0
barker_road,Barker Road,90.0,28061.874,33498.786,3.407,5.22,5.22,,,BARKER ROAD,0.0
barker_road,Barker Road,92.0,28062.428,33500.708,3.407,4.094,4.094,,,BARKER ROAD,0.0
barker_road,Barker Road,94.0,28062.981,33502.63,2.967,2.967,2.967,,,BARKER ROAD,0.0
barker_road,Barker Road,96.0,28063.534,33504.552,2.967,2.967,2.967,,,BARKER ROAD,0.0
barker_road,Barker Road,98.0,28064.088,33506.473,2.967,2.967,2.967,0.0,1.0,BARKER ROAD,0.0
barker_road,Barker Road,100.0,28064.641,33508.395,2.967,2.967,2.967,,,BARKER ROAD,0.0
barker_road,Barker Road,102.0,28065.194,33510.317,2.967,2.967,2.967,,,BARKER ROAD,0.0
barker_road,Barker Road,104.0,28065.748,33512.239,3.017,3.246,3.246,,,BARKER ROAD,0.0
barker_road,Barker Road,106.0,28066.301,33514.161,3.017,3.526,3.526,,,BARKER ROAD,0.0
barker_road,Barker Road,108.0,28066.854,33516.083,7.045,3.805,3.805,,,BARKER ROAD,0.0
barker_road,Barker Road,110.0,28067.408,33518.005,5.72,4.085,4.085,,,BARKER ROAD,0.0
barker_road,Barker Road,112.0,28067.961,33519.927,4.195,4.364,4.364,,,BARKER ROAD,0.0
barker_road,Barker Road,114.0,28068.514,33521.849,4.17,4.644,4.644,,,BARKER ROAD,0.0
barker_road,Barker Road,116.0,28069.068,33523.771,4.895,4.785,4.785,,,BARKER ROAD,0.0
barker_road,Barker Road,118.0,28069.621,33525.693,6.795,4.926,4.926,,,BARKER ROAD,0.0
barker_road,Barker Road,120.0,28070.174,33527.615,12.602,5.067,5.067,,,BARKER ROAD,0.0
barker_road,Barker Road,122.0,28070.728,33529.537,10.095,5.208,5.208,,,BARKER ROAD,0.0
barker_road,Barker Road,124.0,28071.281,33531.459,10.608,5.349,5.349,,,BARKER ROAD,0.0
barker_road,Barker Road,126.0,28071.834,33533.381,9.483,5.49,5.49,,,BARKER ROAD,0.0
barker_road,Barker Road,128.0,28072.388,33535.303,12.377,5.631,5.631,,,BARKER ROAD,0.0
barker_road,Barker Road,130.0,28072.941,33537.224,13.26,5.772,5.772,,,BARKER ROAD,0.0
barker_road,Barker Road,132.0,28073.494,33539.146,12.593,5.913,5.913,,,BARKER ROAD,0.0
barker_road,Barker Road,134.0,28074.048,33541.068,10.37,6.054,6.054,,,BARKER ROAD,0.0
barker_road,Barker Road,136.0,28074.601,33542.99,8.12,6.195,6.195,,,BARKER ROAD,0.0
barker_road,Barker Road,138.0,28075.154,33544.912,5.67,6.336,6.251,,,BARKER ROAD,0.0
barker_road,Barker Road,140.0,28075.708,33546.834,5.287,6.477,6.251,,,BARKER ROAD,0.0
barker_road,Barker Road,142.0,28076.261,33548.756,8.487,6.251,6.251,,,BARKER ROAD,0.0
barker_road,Barker Road,144.0,28076.814,33550.678,6.204,6.024,6.024,,,BARKER ROAD,0.0
barker_road,Barker Road,146.0,28077.368,33552.6,5.937,5.797,5.797,,,BARKER ROAD,0.0
barker_road,Barker Road,148.0,28077.921,33554.522,5.571,5.571,5.645,,,BARKER ROAD,0.0
barker_road,Barker Road,150.0,28078.474,33556.444,5.554,5.554,5.645,,,BARKER ROAD,0.0
barker_road,Barker Road,152.0,28079.028,33558.366,5.645,5.645,5.645,1.25,1.0,BARKER ROAD,0.0
barker_road,Barker Road,154.0,28079.581,33560.288,5.812,5.812,5.745,1.25,1.0,BARKER ROAD,0.0
barker_road,Barker Road,156.0,28080.134,33562.21,5.812,5.812,5.745,-0.833,1.0,BARKER ROAD,0.0
barker_road,Barker Road,158.0,28080.687,33564.132,5.745,5.745,5.745,,,BARKER ROAD,0.0
barker_road,Barker Road,160.0,28081.241,33566.053,5.579,5.579,5.579,,,BARKER ROAD,0.0
barker_road,Barker Road,162.0,28081.794,33567.975,5.62,5.298,5.298,,,BARKER ROAD,0.0
barker_road,Barker Road,164.0,28082.347,33569.897,6.787,5.017,5.017,,,BARKER ROAD,0.0
barker_road,Barker Road,166.0,28082.901,33571.819,5.694,4.736,4.736,,,BARKER ROAD,0.0
barker_road,Barker Road,168.0,28083.454,33573.741,3.882,4.491,4.491,,,BARKER ROAD,0.0
barker_road,Barker Road,170.0,28084.007,33575.663,3.807,4.247,4.247,,,BARKER ROAD,0.0
barker_road,Barker Road,172.0,28084.561,33577.585,3.469,4.002,4.002,,,BARKER ROAD,0.0
barker_road,Barker Road,174.0,28085.114,33579.507,3.757,3.757,3.807,,,BARKER ROAD,0.0
barker_road,Barker Road,176.0,28085.667,33581.429,3.782,3.782,3.782,,,BARKER ROAD,0.0
barker_road,Barker Road,178.0,28086.221,33583.351,3.807,3.807,3.757,,,BARKER ROAD,0.0
