path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
dalkeith_road,Dalkeith Road,0.0,26740.795,33917.129,3.435,3.435,3.347,-0.469,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,2.0,26741.307,33919.062,3.347,3.347,3.338,-0.313,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,4.0,26741.818,33920.996,3.328,3.328,3.328,-0.234,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,6.0,26742.33,33922.929,3.3,3.3,3.328,2.651,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,8.0,26742.842,33924.863,3.247,3.247,3.328,5.537,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,10.0,26743.353,33926.796,3.238,3.546,3.546,5.537,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,12.0,26743.865,33928.729,3.844,3.844,3.771,5.537,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,14.0,26744.377,33930.663,3.802,3.802,3.771,2.769,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,16.0,26744.889,33932.596,3.771,3.771,3.771,0.0,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,18.0,26745.4,33934.53,3.771,3.771,3.771,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,20.0,26745.912,33936.463,3.771,3.771,3.771,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,22.0,26746.424,33938.397,3.771,3.531,3.531,-8.648,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,24.0,26746.935,33940.33,3.049,3.29,3.29,-8.648,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,26.0,26747.447,33942.264,3.049,3.049,3.079,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,28.0,26747.959,33944.197,3.059,3.059,3.079,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,30.0,26748.471,33946.13,3.079,3.079,3.079,0.926,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,32.0,26748.982,33948.064,3.129,3.129,3.129,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,34.0,26749.494,33949.997,3.159,3.159,3.154,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,36.0,26750.006,33951.931,5.039,3.157,3.154,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,38.0,26750.517,33953.864,5.129,3.154,3.154,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,40.0,26751.029,33955.798,4.944,3.151,3.151,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,42.0,26751.541,33957.731,4.222,3.148,3.148,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,44.0,26752.052,33959.664,3.142,3.145,3.148,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,46.0,26752.564,33961.598,3.142,3.142,3.148,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,48.0,26753.076,33963.531,3.158,3.158,3.158,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,50.0,26753.588,33965.465,3.225,3.225,3.192,0.968,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,52.0,26754.099,33967.398,3.192,3.192,3.208,2.292,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,54.0,26754.611,33969.332,3.208,3.208,3.225,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,56.0,26755.123,33971.265,3.342,3.342,3.342,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,58.0,26755.634,33973.198,3.358,3.564,3.564,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,60.0,26756.146,33975.132,3.508,3.839,3.839,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,62.0,26756.658,33977.065,3.517,4.115,4.115,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,64.0,26757.169,33978.999,5.029,4.31,4.31,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,66.0,26757.681,33980.932,5.072,4.506,4.506,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,68.0,26758.193,33982.866,5.097,4.702,4.702,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,70.0,26758.705,33984.799,4.897,4.897,4.897,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,72.0,26759.216,33986.732,4.985,4.985,4.985,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,74.0,26759.728,33988.666,3.704,5.007,5.007,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,76.0,26760.24,33990.599,3.71,5.029,5.029,0.547,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,78.0,26760.751,33992.533,4.06,5.051,5.029,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,80.0,26761.263,33994.466,5.072,5.072,5.029,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,82.0,26761.775,33996.4,4.91,4.829,4.829,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,84.0,26762.287,33998.333,4.585,4.585,4.697,-4.18,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,86.0,26762.798,34000.266,4.566,4.566,4.697,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,88.0,26763.31,34002.2,4.697,4.697,4.694,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,90.0,26763.822,34004.133,4.785,4.785,4.694,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,92.0,26764.333,34006.067,6.122,4.694,4.694,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,94.0,26764.845,34008.0,6.11,4.604,4.604,-3.164,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,96.0,26765.357,34009.934,5.11,4.513,4.513,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,98.0,26765.868,34011.867,4.423,4.423,4.441,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,100.0,26766.38,34013.8,4.429,4.429,4.441,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,102.0,26766.892,34015.734,4.441,4.441,4.441,3.88,1.0,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,104.0,26767.404,34017.667,4.822,4.626,4.626,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,106.0,26767.915,34019.601,4.81,4.81,4.752,,,DALKEITH ROAD,0.0
dalkeith_road,Dalkeith Road,108.0,26768.427,34021.534,6.272,4.781,4.752,,,DALKEITH ROAD,0.0
