path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
evelyn_road,Evelyn Road,0.0,28615.947,33121.707,5.645,5.645,5.662,2.5,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,2.0,28617.357,33123.126,5.662,5.662,5.712,3.889,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,4.0,28618.766,33124.545,5.762,5.762,5.762,5.0,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,6.0,28620.176,33125.964,5.895,5.895,5.895,5.833,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,8.0,28621.586,33127.382,6.062,6.062,6.062,6.875,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,10.0,28622.995,33128.801,6.179,6.179,6.179,7.708,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,12.0,28624.405,33130.22,6.312,6.312,6.312,7.292,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,14.0,28625.814,33131.639,6.512,6.512,6.512,6.042,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,16.0,28627.224,33133.058,6.645,6.645,6.645,4.896,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,18.0,28628.633,33134.477,6.762,6.762,6.662,3.125,1.0,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,20.0,28630.043,33135.896,6.662,6.662,6.704,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,22.0,28631.452,33137.314,6.704,6.704,6.762,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,24.0,28632.862,33138.733,6.762,6.927,6.927,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,26.0,28634.272,33140.152,6.812,7.151,7.151,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,28.0,28635.681,33141.571,6.812,7.811,7.811,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,30.0,28637.091,33142.99,6.862,8.472,8.472,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,32.0,28638.503,33144.406,6.862,9.132,9.132,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,34.0,28639.918,33145.819,9.745,,9.793,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,36.0,28641.333,33147.233,12.629,10.454,10.454,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,38.0,28642.748,33148.646,12.195,11.114,11.114,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,40.0,28643.941,33150.238,13.226,11.775,11.775,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,42.0,28645.019,33151.923,12.726,12.436,12.307,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,44.0,28646.096,33153.608,15.601,12.371,12.307,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,46.0,28647.174,33155.292,15.982,12.307,12.307,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,48.0,28648.252,33156.977,15.601,12.242,12.242,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,50.0,28649.33,33158.662,15.27,12.178,12.178,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,52.0,28650.408,33160.347,14.044,12.114,12.114,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,54.0,28651.486,33162.031,16.338,12.049,12.049,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,56.0,28652.563,33163.716,17.532,11.985,11.985,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,58.0,28653.641,33165.401,16.188,11.92,11.92,,,EVELYN ROAD,0.0
evelyn_road,Evelyn Road,60.0,28654.719,33167.085,13.444,11.856,11.856,,,EVELYN ROAD,0.0
