path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
gentle_road,Gentle Road,0.0,28924.852,33487.406,4.373,4.709,4.709,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,2.0,28923.526,33488.904,4.709,4.709,4.731,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,4.0,28922.2,33490.401,4.753,4.753,4.753,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,6.0,28920.875,33491.899,4.84,4.84,4.753,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,8.0,28919.549,33493.396,4.821,4.821,4.753,-0.215,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,10.0,28918.223,33494.894,4.466,4.735,4.735,-0.215,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,12.0,28916.92,33496.41,4.649,4.649,4.735,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,14.0,28915.636,33497.944,4.559,4.559,4.735,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,16.0,28914.353,33499.478,4.565,4.757,4.757,2.598,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,18.0,28913.069,33501.012,4.956,4.956,4.943,2.598,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,20.0,28911.786,33502.546,4.978,4.978,4.943,0.713,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,22.0,28910.377,33503.965,4.943,4.943,4.943,-1.172,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,24.0,28908.965,33505.381,4.849,4.849,4.878,-4.336,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,26.0,28907.552,33506.797,4.878,4.878,4.849,-7.5,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,28.0,28906.139,33508.212,4.195,4.595,4.595,-6.719,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,30.0,28904.726,33509.628,4.312,4.312,4.343,-6.719,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,32.0,28903.314,33511.044,4.34,4.34,4.34,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,34.0,28901.901,33512.459,4.343,4.343,4.312,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,36.0,28900.488,33513.875,5.006,4.227,4.227,-3.425,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,38.0,28899.075,33515.291,4.218,4.111,4.111,-3.341,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,40.0,28897.663,33516.706,3.995,3.995,4.066,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,42.0,28896.25,33518.122,4.066,4.066,4.045,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,44.0,28894.837,33519.538,4.045,4.045,4.045,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,46.0,28893.424,33520.953,4.045,4.045,4.066,5.676,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,48.0,28892.012,33522.369,4.632,4.286,4.286,5.676,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,50.0,28890.599,33523.785,4.526,4.526,4.499,5.408,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,52.0,28889.186,33525.201,4.521,4.521,4.499,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,54.0,28887.773,33526.616,4.499,4.499,4.499,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,56.0,28886.361,33528.032,4.282,4.282,4.42,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,58.0,28884.948,33529.448,4.782,4.351,4.42,-0.126,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,60.0,28883.535,33530.863,4.404,4.42,4.42,3.448,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,62.0,28882.122,33532.279,4.489,4.489,4.489,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,64.0,28880.71,33533.695,4.76,4.76,4.696,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,66.0,28879.297,33535.11,5.582,4.728,4.696,2.99,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,68.0,28877.884,33536.526,5.734,4.696,4.728,1.16,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,70.0,28876.471,33537.942,4.663,4.663,4.728,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,72.0,28875.059,33539.357,4.788,4.788,4.788,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,74.0,28873.724,33540.847,4.804,4.804,4.804,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,76.0,28872.392,33542.338,4.454,4.916,4.916,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,78.0,28871.059,33543.83,3.815,5.027,5.027,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,80.0,28869.727,33545.322,4.615,5.138,5.138,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,82.0,28868.39,33546.809,5.386,5.25,5.25,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,84.0,28866.912,33548.155,5.361,5.361,5.25,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,86.0,28865.433,33549.502,5.361,5.361,5.25,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,88.0,28863.954,33550.848,5.561,5.084,5.084,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,90.0,28862.475,33552.195,5.065,4.807,4.807,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,92.0,28860.996,33553.541,5.201,4.529,4.529,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,94.0,28859.517,33554.888,5.251,4.252,4.252,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,96.0,28858.039,33556.234,3.974,3.974,3.995,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,98.0,28856.56,33557.581,3.995,3.995,3.995,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,100.0,28855.081,33558.927,3.995,3.995,3.974,-1.02,1.0,GENTLE ROAD,0.0
gentle_road,Gentle Road,102.0,28853.602,33560.274,3.97,3.97,3.97,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,104.0,28852.123,33561.62,3.852,3.852,3.913,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,106.0,28850.644,33562.967,4.997,3.883,3.913,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,108.0,28849.166,33564.313,5.004,3.913,3.913,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,110.0,28847.687,33565.66,5.047,3.944,3.944,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,112.0,28846.208,33567.006,3.931,3.975,3.975,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,114.0,28844.729,33568.353,4.006,4.006,4.006,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,116.0,28843.25,33569.699,4.016,4.016,4.016,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,118.0,28841.771,33571.046,3.92,4.164,4.164,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,120.0,28840.29,33572.39,3.92,4.312,4.312,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,122.0,28838.769,33573.689,3.935,4.462,4.462,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,124.0,28837.249,33574.988,6.99,4.611,4.462,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,126.0,28835.728,33576.287,6.556,4.517,4.462,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,128.0,28834.207,33577.586,7.896,4.424,4.424,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,130.0,28832.687,33578.885,9.003,4.33,4.33,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,132.0,28831.166,33580.184,8.301,4.237,4.237,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,134.0,28829.645,33581.483,6.698,4.143,4.143,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,136.0,28828.124,33582.782,6.692,4.05,4.05,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,138.0,28826.604,33584.081,7.102,3.956,3.956,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,140.0,28825.083,33585.38,3.595,3.863,3.863,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,142.0,28823.562,33586.679,3.595,3.769,3.769,,,GENTLE ROAD,0.0
gentle_road,Gentle Road,144.0,28822.042,33587.978,3.675,3.675,3.675,,,GENTLE ROAD,0.0
