path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_bahasa,Jalan Bahasa,0.0,26225.176,34279.184,8.625,8.625,8.565,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,2.0,26227.16,34278.931,9.185,8.565,8.534,0.0,1.0,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,4.0,26229.144,34278.679,8.483,8.504,8.565,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,6.0,26231.128,34278.427,8.444,8.444,8.565,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,8.0,26233.112,34278.175,8.383,8.568,8.568,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,10.0,26235.096,34277.923,8.47,8.788,8.788,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,12.0,26237.08,34277.671,10.689,9.009,9.009,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,14.0,26239.064,34277.419,9.264,9.304,9.304,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,16.0,26241.048,34277.167,9.635,9.6,9.6,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,18.0,26243.032,34276.914,9.875,9.896,9.896,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,20.0,26245.016,34276.662,10.776,,10.191,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,22.0,26247.0,34276.41,10.51,,10.487,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,24.0,26248.984,34276.158,11.895,10.782,10.782,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,26.0,26250.968,34275.906,11.829,11.078,11.078,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,28.0,26252.952,34275.654,11.97,11.373,11.373,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,30.0,26254.936,34275.402,11.526,11.669,11.669,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,32.0,26256.921,34275.15,12.489,11.782,11.669,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,34.0,26258.905,34274.897,11.836,11.687,11.669,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,36.0,26260.889,34274.645,11.593,11.466,11.466,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,38.0,26262.873,34274.393,11.572,11.244,11.244,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,40.0,26264.857,34274.141,12.115,11.007,11.007,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,42.0,26266.841,34273.889,10.358,10.769,10.769,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,44.0,26268.825,34273.637,10.198,10.532,10.532,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,46.0,26270.809,34273.385,10.607,10.294,10.39,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,48.0,26272.793,34273.132,10.39,10.39,10.39,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,50.0,26274.777,34272.88,10.189,10.189,10.39,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,52.0,26276.761,34272.628,10.524,10.477,10.477,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,54.0,26278.745,34272.376,10.765,10.765,10.477,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,56.0,26280.729,34272.124,9.049,10.591,10.477,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,58.0,26282.713,34271.872,9.378,10.417,10.417,-3.615,1.0,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,60.0,26284.697,34271.62,9.838,10.242,10.242,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,62.0,26286.681,34271.368,10.068,10.068,10.188,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,64.0,26288.665,34271.115,10.188,10.188,10.188,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,66.0,26290.649,34270.863,10.188,10.188,10.073,-2.0,1.0,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,68.0,26292.633,34270.611,10.073,10.073,10.073,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,70.0,26294.617,34270.359,10.028,10.028,10.028,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,72.0,26296.601,34270.107,10.205,9.945,9.945,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,74.0,26298.585,34269.855,9.705,9.717,9.717,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,76.0,26300.569,34269.603,10.048,9.489,9.489,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,78.0,26301.265,34271.393,9.167,9.261,9.261,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,80.0,26301.893,34273.292,8.574,9.003,9.003,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,82.0,26302.614,34275.148,8.492,8.744,8.744,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,84.0,26303.642,34276.863,8.836,8.486,8.486,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,86.0,26304.67,34278.579,8.045,8.227,8.227,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,88.0,26305.836,34280.139,8.095,8.095,8.227,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,90.0,26307.664,34280.949,7.995,7.995,8.227,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,92.0,26309.493,34281.758,8.128,8.258,8.258,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,94.0,26311.322,34282.568,8.42,8.553,8.553,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,96.0,26313.277,34282.951,8.813,8.848,8.848,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,98.0,26315.252,34283.268,9.663,9.143,9.143,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,100.0,26317.226,34283.586,12.493,9.439,9.439,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,102.0,26319.201,34283.903,12.418,9.734,9.734,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,104.0,26321.176,34284.221,12.503,9.769,9.734,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,106.0,26323.146,34284.567,9.805,9.805,9.734,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,108.0,26325.115,34284.917,10.005,9.704,9.704,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,110.0,26327.084,34285.266,9.205,9.426,9.426,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,112.0,26329.053,34285.616,11.305,9.149,9.149,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,114.0,26330.993,34286.075,11.461,8.871,9.149,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,116.0,26332.872,34286.76,8.925,9.023,9.149,,,JALAN BAHASA,0.0
jalan_bahasa,Jalan Bahasa,118.0,26334.751,34287.445,9.141,9.175,9.175,,,JALAN BAHASA,0.0
