path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
keng_lee_road,Keng Lee Road,2.0,29641.996,32559.384,3.463,3.463,3.545,0.0,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,4.0,29641.83,32561.377,3.545,3.545,3.556,0.0,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,6.0,29641.664,32563.37,3.567,3.567,3.545,0.166,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,8.0,29641.498,32565.363,3.588,3.588,3.545,-1.374,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,10.0,29641.332,32567.356,3.383,3.383,3.558,-1.24,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,12.0,29641.166,32569.349,3.404,3.404,3.446,0.166,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,14.0,29641.0,32571.342,3.558,3.558,3.446,0.565,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,16.0,29640.833,32573.335,3.446,3.446,3.558,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,18.0,29640.667,32575.328,3.604,3.604,3.604,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,20.0,29640.501,32577.322,4.076,3.634,3.634,1.53,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,22.0,29640.335,32579.315,3.633,3.665,3.665,1.144,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,24.0,29640.169,32581.308,3.695,3.695,3.681,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,26.0,29640.003,32583.301,3.681,3.681,3.695,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,28.0,29639.837,32585.294,3.722,3.722,3.722,4.007,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,30.0,29639.671,32587.287,3.914,3.914,3.914,6.122,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,32.0,29639.505,32589.28,4.001,4.001,4.001,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,34.0,29639.339,32591.273,4.185,4.185,4.185,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,36.0,29639.173,32593.266,4.128,4.409,4.409,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,38.0,29639.007,32595.259,3.838,4.633,4.633,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,40.0,29638.841,32597.252,4.856,4.902,4.902,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,42.0,29638.675,32599.246,4.828,5.171,5.171,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,44.0,29638.509,32601.239,5.641,5.45,5.45,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,46.0,29638.343,32603.232,7.805,5.729,5.729,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,48.0,29638.177,32605.225,8.639,6.008,6.008,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,50.0,29638.01,32607.218,8.453,6.287,6.287,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,52.0,29637.844,32609.211,6.828,6.566,6.566,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,54.0,29637.678,32611.204,7.799,6.703,6.566,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,56.0,29637.512,32613.197,7.305,6.578,6.566,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,58.0,29637.126,32615.132,6.892,6.453,6.453,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,60.0,29636.286,32616.947,6.262,6.328,6.328,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,62.0,29635.445,32618.762,6.203,6.203,6.203,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,64.0,29634.605,32620.577,5.628,6.153,6.153,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,66.0,29633.765,32622.392,6.512,6.103,6.103,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,68.0,29632.925,32624.207,6.07,6.054,6.054,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,70.0,29632.085,32626.022,6.004,5.877,5.877,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,72.0,29631.244,32627.837,5.933,5.603,5.603,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,74.0,29630.404,32629.652,6.172,5.328,5.328,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,76.0,29629.564,32631.467,4.861,5.054,5.054,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,78.0,29628.724,32633.282,4.645,4.8,4.8,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,80.0,29627.884,32635.097,3.754,4.545,4.545,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,82.0,29627.043,32636.912,3.801,4.29,4.29,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,84.0,29626.203,32638.727,3.761,4.036,4.036,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,86.0,29625.363,32640.542,3.781,3.781,3.781,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,88.0,29624.523,32642.356,3.739,3.739,3.739,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,90.0,29623.683,32644.171,3.711,3.711,3.711,-0.875,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,92.0,29622.842,32645.986,3.692,3.692,3.711,-0.208,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,94.0,29622.002,32647.801,3.704,3.704,3.711,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,96.0,29621.162,32649.616,3.774,3.774,3.722,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,98.0,29620.322,32651.431,4.457,3.748,3.722,-0.188,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,100.0,29619.482,32653.246,4.444,3.722,3.722,-3.176,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,102.0,29618.642,32655.061,3.696,3.696,3.696,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,104.0,29617.801,32656.876,3.468,3.468,3.468,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,106.0,29616.498,32658.38,3.447,3.447,3.454,-3.025,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,108.0,29615.135,32659.844,3.425,3.425,3.454,0.347,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,110.0,29613.772,32661.308,3.454,3.454,3.454,3.159,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,112.0,29612.41,32662.772,3.496,3.496,3.496,4.77,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,114.0,29611.047,32664.235,3.707,3.707,3.707,4.77,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,116.0,29609.684,32665.699,3.931,3.931,3.836,4.25,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,118.0,29608.321,32667.162,3.916,3.916,3.836,0.875,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,120.0,29606.958,32668.626,3.836,3.836,3.836,-2.5,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,122.0,29605.595,32670.09,3.522,3.736,3.736,-4.034,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,124.0,29604.232,32671.554,3.636,3.636,3.636,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,126.0,29602.869,32673.017,3.513,3.513,3.513,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,128.0,29601.506,32674.481,3.972,3.445,3.445,-2.722,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,130.0,29600.144,32675.945,4.245,3.377,3.418,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,132.0,29598.781,32677.409,3.31,3.31,3.418,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,134.0,29597.418,32678.872,3.121,3.418,3.418,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,136.0,29596.055,32680.336,3.527,3.527,3.463,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,138.0,29594.692,32681.8,3.463,3.463,3.527,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,140.0,29593.329,32683.264,4.273,3.627,3.627,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,142.0,29591.966,32684.727,3.389,3.79,3.79,5.121,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,144.0,29590.603,32686.191,4.076,3.954,3.937,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,146.0,29589.24,32687.655,4.118,4.118,3.937,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,148.0,29587.878,32689.119,4.099,3.937,3.937,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,150.0,29586.515,32690.582,4.081,3.755,3.755,-4.431,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,152.0,29585.152,32692.046,3.412,3.582,3.582,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,154.0,29583.789,32693.51,3.409,3.409,3.582,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,156.0,29582.426,32694.974,3.34,3.541,3.582,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,158.0,29581.063,32696.437,3.134,3.673,3.673,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,160.0,29579.7,32697.901,4.371,3.889,3.889,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,162.0,29578.337,32699.365,4.209,4.105,4.105,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,164.0,29576.974,32700.828,5.258,4.321,4.321,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,166.0,29575.612,32702.292,5.105,4.537,4.439,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,168.0,29574.249,32703.756,4.753,4.488,4.439,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,170.0,29572.886,32705.22,4.753,4.439,4.439,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,172.0,29571.523,32706.683,4.287,4.174,4.174,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,174.0,29570.16,32708.147,3.812,3.908,3.908,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,176.0,29568.797,32709.611,2.67,3.643,3.643,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,178.0,29567.434,32711.075,2.667,3.378,3.378,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,180.0,29566.071,32712.538,2.656,3.113,3.113,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,182.0,29564.708,32714.001,2.543,2.848,2.848,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,184.0,29563.302,32715.424,2.583,2.583,2.655,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,186.0,29561.896,32716.847,2.655,2.655,2.647,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,188.0,29560.491,32718.269,2.647,2.647,2.647,-0.456,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,190.0,29559.085,32719.692,2.647,2.647,2.647,-0.596,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,192.0,29557.679,32721.115,2.551,2.551,2.618,-0.909,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,194.0,29556.273,32722.537,2.557,2.557,2.6,-0.596,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,196.0,29554.868,32723.96,2.618,2.618,2.575,0.0,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,198.0,29553.462,32725.383,2.6,2.6,2.6,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,200.0,29552.056,32726.805,2.575,2.575,2.618,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,202.0,29550.65,32728.228,4.037,2.831,2.831,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,204.0,29549.245,32729.65,4.51,3.088,3.088,12.291,2.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,206.0,29547.839,32731.073,4.588,3.345,3.345,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,208.0,29546.433,32732.496,3.602,3.602,3.602,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,210.0,29545.027,32733.918,3.861,3.861,3.861,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,212.0,29543.622,32735.341,5.69,3.94,3.94,4.785,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,214.0,29542.216,32736.764,5.97,4.018,3.94,1.962,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,216.0,29540.81,32738.186,4.096,4.096,3.984,1.962,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,218.0,29539.404,32739.609,3.862,3.862,4.018,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,220.0,29537.999,32741.032,3.984,3.984,4.096,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,222.0,29536.593,32742.454,2.934,4.167,4.167,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,224.0,29535.187,32743.877,3.457,4.349,4.349,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,226.0,29533.782,32745.299,5.774,4.531,4.531,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,228.0,29532.376,32746.722,5.935,4.713,4.709,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,230.0,29530.97,32748.145,5.521,4.895,4.709,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,232.0,29529.564,32749.567,5.078,4.709,4.709,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,234.0,29528.159,32750.99,4.985,4.523,4.523,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,236.0,29526.753,32752.413,4.337,4.337,4.337,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,238.0,29525.347,32753.835,3.385,4.27,4.27,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,240.0,29523.941,32755.258,3.957,4.203,4.203,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,242.0,29522.536,32756.681,4.322,4.136,4.136,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,244.0,29521.13,32758.103,4.005,4.069,4.136,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,246.0,29519.724,32759.526,4.002,4.002,4.136,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,248.0,29518.318,32760.948,4.17,4.17,4.17,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,250.0,29516.913,32762.371,6.454,4.215,4.215,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,252.0,29515.507,32763.794,4.26,4.26,4.26,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,254.0,29514.101,32765.216,5.685,4.358,4.358,3.016,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,256.0,29512.695,32766.639,5.508,4.457,4.358,2.452,1.0,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,258.0,29511.29,32768.062,4.555,4.555,4.457,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,260.0,29509.884,32769.484,4.31,4.31,4.457,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,262.0,29508.478,32770.907,4.528,4.528,4.528,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,264.0,29507.072,32772.33,4.265,4.265,4.528,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,266.0,29505.667,32773.752,2.704,4.543,4.543,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,268.0,29504.261,32775.175,2.723,4.821,4.821,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,270.0,29502.855,32776.598,3.234,5.099,5.099,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,272.0,29501.45,32778.02,3.802,5.377,5.377,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,274.0,29500.044,32779.443,5.914,5.655,5.655,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,276.0,29498.638,32780.865,5.859,5.933,5.933,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,278.0,29497.232,32782.288,7.35,6.211,6.211,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,280.0,29495.827,32783.711,6.912,6.489,6.489,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,282.0,29494.421,32785.133,4.773,6.767,6.623,,,KENG LEE ROAD,0.0
keng_lee_road,Keng Lee Road,284.0,29493.015,32786.556,4.309,6.623,6.767,,,KENG LEE ROAD,0.0
