path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
kheam_hock_road,Kheam Hock Road,2.0,26492.761,33833.262,3.581,3.581,3.524,-1.736,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,4.0,26493.192,33835.215,3.39,3.39,3.489,-1.597,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,6.0,26493.623,33837.168,3.524,3.524,3.455,-1.345,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,8.0,26494.053,33839.121,3.455,3.455,3.428,-1.094,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,10.0,26494.484,33841.074,3.71,3.428,3.428,-1.562,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,12.0,26494.915,33843.027,3.402,3.402,3.402,-1.927,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,14.0,26495.346,33844.98,3.33,3.33,3.33,-1.988,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,16.0,26495.777,33846.933,3.274,3.274,3.274,-2.049,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,18.0,26496.207,33848.886,3.255,3.255,3.255,-1.84,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,20.0,26496.638,33850.839,3.238,3.238,3.238,-1.354,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,22.0,26497.069,33852.792,3.163,3.163,3.182,-1.111,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,24.0,26497.5,33854.745,3.16,3.16,3.166,-0.694,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,26.0,26497.931,33856.698,3.182,3.182,3.166,0.0,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,28.0,26498.362,33858.651,3.166,3.166,3.182,1.111,1.0,KHEAM HOCK ROAD,0.0
kheam_hock_road,Kheam Hock Road,30.0,26498.792,33860.604,3.182,3.182,3.182,,,KHEAM HOCK ROAD,0.0
