path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lincoln_road,Lincoln Road,2.0,29118.221,33200.841,9.297,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,4.0,29116.971,33199.279,9.284,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,6.0,29115.721,33197.718,10.259,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,8.0,29114.472,33196.157,10.247,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,10.0,29113.222,33194.595,10.634,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,12.0,29111.972,33193.034,10.178,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,14.0,29110.722,33191.472,4.118,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,16.0,29109.472,33189.911,4.151,4.151,4.151,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,18.0,29108.223,33188.35,4.143,4.143,4.143,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,20.0,29106.973,33186.788,4.118,4.118,4.118,-3.698,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,22.0,29105.723,33185.227,6.276,3.987,3.987,-4.271,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,24.0,29104.473,33183.665,7.335,3.856,3.856,-3.958,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,26.0,29103.223,33182.104,6.31,3.724,3.801,-1.797,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,28.0,29101.974,33180.542,3.593,3.593,3.801,0.365,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,30.0,29100.724,33178.981,3.593,3.801,3.801,2.031,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,32.0,29099.474,33177.42,4.01,4.01,3.885,2.604,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,34.0,29098.224,33175.858,3.885,3.885,3.964,2.786,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,36.0,29096.974,33174.297,6.093,3.964,4.01,2.969,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,38.0,29095.938,33172.593,6.701,4.043,4.043,1.979,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,40.0,29094.97,33170.843,9.568,4.122,4.122,1.406,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,42.0,29094.002,33169.092,4.201,4.201,4.122,0.729,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,44.0,29093.035,33167.342,4.185,4.185,4.122,-0.568,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,46.0,29092.067,33165.592,4.076,4.076,4.101,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,48.0,29091.099,33163.841,4.101,4.101,4.077,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,50.0,29090.132,33162.091,3.194,4.077,4.076,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,52.0,29089.164,33160.341,4.619,4.052,4.052,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,54.0,29088.196,33158.59,5.044,4.028,4.028,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,56.0,29087.229,33156.84,5.459,4.003,4.003,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,58.0,29086.261,33155.09,5.439,3.978,3.978,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,60.0,29085.293,33153.339,3.954,3.813,3.813,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,62.0,29084.325,33151.589,4.939,3.647,3.647,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,64.0,29083.358,33149.839,3.034,3.434,3.434,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,66.0,29082.39,33148.088,3.034,3.222,3.222,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,68.0,29081.422,33146.338,3.009,3.009,3.1,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,70.0,29080.455,33144.588,2.994,2.994,3.1,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,72.0,29079.487,33142.837,4.044,3.1,3.009,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,74.0,29078.519,33141.087,3.814,3.207,2.994,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,76.0,29077.552,33139.337,3.314,2.961,2.961,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,78.0,29076.584,33137.587,3.584,2.715,2.715,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,80.0,29075.616,33135.836,3.384,2.47,2.47,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,82.0,29074.649,33134.086,2.224,2.224,2.264,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,84.0,29073.812,33132.271,2.234,2.234,2.264,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,86.0,29073.002,33130.442,2.264,2.264,2.264,0.358,1.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,88.0,29072.192,33128.613,2.274,2.274,2.274,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,90.0,29071.382,33126.785,2.292,2.292,2.292,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,94.0,29073.35,33124.739,2.301,2.503,2.503,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,96.0,29072.585,33122.89,2.296,2.713,2.713,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,98.0,29071.821,33121.042,2.286,2.991,2.991,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,100.0,29071.056,33119.194,3.386,3.27,3.27,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,102.0,29070.291,33117.346,3.491,3.549,3.549,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,104.0,29069.526,33115.498,4.361,3.827,3.827,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,106.0,29068.92,33113.601,4.106,4.106,4.061,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,108.0,29068.49,33111.647,4.226,4.226,4.061,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,110.0,29068.061,33109.694,4.061,4.061,4.061,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,112.0,29067.631,33107.741,3.061,3.858,3.858,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,114.0,29067.202,33105.787,4.056,3.656,3.656,-10.125,2.0,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,116.0,29066.772,33103.834,3.236,3.453,3.453,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,118.0,29066.342,33101.881,3.251,3.251,3.251,,,LINCOLN ROAD,0.0
lincoln_road,Lincoln Road,120.0,29065.913,33099.927,3.241,3.241,3.249,,,LINCOLN ROAD,0.0
