path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lorong_ampas,Lorong Ampas,2.0,30075.429,34342.459,1.855,1.855,1.88,2.427,1.0,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,4.0,30077.07,34341.317,1.88,1.88,1.929,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,6.0,30078.712,34340.174,1.977,1.977,1.977,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,8.0,30080.353,34339.032,2.247,2.269,2.269,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,10.0,30081.995,34337.889,2.331,2.56,2.56,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,12.0,30083.636,34336.747,2.549,3.051,3.051,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,14.0,30085.278,34335.604,3.804,3.542,3.542,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,16.0,30086.92,34334.462,3.784,4.033,4.033,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,18.0,30088.561,34333.319,3.784,,4.278,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,20.0,30090.203,34332.177,5.918,,4.523,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,22.0,30091.844,34331.034,8.393,,5.014,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,24.0,30093.486,34329.892,6.672,,6.487,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,26.0,30095.127,34328.749,7.232,,6.977,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,28.0,30096.769,34327.607,9.348,,7.223,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,30.0,30098.411,34326.464,10.565,7.468,7.468,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,32.0,30100.052,34325.322,11.113,7.959,7.959,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,34.0,30101.694,34324.179,9.948,8.45,8.45,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,36.0,30103.335,34323.037,7.449,8.941,8.941,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,38.0,30104.977,34321.894,6.88,9.083,9.047,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,40.0,30106.618,34320.752,9.224,9.224,9.047,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,42.0,30108.26,34319.609,8.809,9.047,9.047,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,44.0,30109.901,34318.467,10.229,8.869,8.869,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,46.0,30111.543,34317.324,10.774,8.691,8.691,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,48.0,30113.185,34316.182,9.144,8.513,8.513,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,50.0,30114.826,34315.039,10.351,8.335,8.335,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,52.0,30116.468,34313.897,10.844,8.157,8.157,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,54.0,30118.109,34312.754,9.931,7.979,7.979,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,56.0,30119.751,34311.612,11.773,7.801,7.801,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,58.0,30121.392,34310.469,11.76,7.623,7.623,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,60.0,30123.034,34309.327,7.986,7.445,7.445,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,62.0,30124.675,34308.184,8.144,7.267,7.267,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,64.0,30126.317,34307.042,6.011,7.089,7.089,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,66.0,30127.959,34305.899,6.911,6.911,6.911,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,68.0,30129.6,34304.757,7.336,6.842,6.842,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,70.0,30131.242,34303.614,6.686,6.772,6.772,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,72.0,30132.883,34302.472,4.703,6.479,6.479,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,74.0,30134.525,34301.329,6.719,6.185,6.185,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,76.0,30136.166,34300.187,5.892,5.892,5.892,,,LORONG AMPAS,0.0
lorong_ampas,Lorong Ampas,78.0,30137.808,34299.044,5.892,5.892,5.892,,,LORONG AMPAS,0.0
