path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sinaran_drive,Sinaran Drive,0.0,29213.754,33595.637,11.426,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,2.0,29215.258,33596.955,11.153,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,4.0,29216.762,33598.274,12.546,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,6.0,29218.266,33599.592,14.181,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,8.0,29219.769,33600.911,13.927,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,10.0,29221.273,33602.229,19.208,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,12.0,29222.777,33603.547,18.448,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,14.0,29224.281,33604.866,18.208,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,16.0,29225.785,33606.184,17.213,17.213,17.213,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,18.0,29227.289,33607.503,16.779,17.028,17.028,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,20.0,29228.793,33608.821,17.367,16.843,16.843,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,22.0,29230.297,33610.14,17.388,16.594,16.594,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,24.0,29231.801,33611.458,18.261,16.344,16.344,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,26.0,29233.305,33612.776,17.318,16.095,16.095,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,28.0,29234.809,33614.095,9.949,15.846,15.846,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,30.0,29236.312,33615.413,9.839,15.597,15.597,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,32.0,29237.816,33616.732,9.569,15.348,15.348,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,34.0,29239.32,33618.05,9.427,15.098,15.098,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,36.0,29240.824,33619.369,9.394,14.849,14.849,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,38.0,29242.328,33620.687,13.909,14.6,14.6,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,40.0,29243.832,33622.006,11.579,14.351,14.351,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,42.0,29245.336,33623.324,11.084,14.102,14.102,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,44.0,29246.84,33624.642,12.167,13.852,13.852,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,46.0,29248.344,33625.961,13.064,13.603,13.603,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,48.0,29249.848,33627.279,14.189,13.354,13.354,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,50.0,29251.351,33628.598,13.559,13.105,13.172,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,52.0,29252.855,33629.916,13.849,13.172,13.105,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,54.0,29254.359,33631.235,13.529,12.873,12.873,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,56.0,29255.863,33632.553,15.636,12.573,12.573,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,58.0,29257.367,33633.871,9.379,12.274,12.274,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,60.0,29258.871,33635.19,10.59,11.975,11.975,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,62.0,29260.375,33636.508,10.55,11.676,11.676,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,64.0,29261.879,33637.827,12.3,11.376,11.376,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,66.0,29263.383,33639.145,10.27,11.077,11.376,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,68.0,29264.886,33640.464,11.745,11.286,11.286,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,70.0,29266.39,33641.782,12.559,11.495,11.246,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,72.0,29267.894,33643.101,14.184,11.246,11.246,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,74.0,29269.398,33644.419,11.954,10.997,10.997,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,76.0,29270.902,33645.737,15.413,10.747,10.747,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,78.0,29272.406,33647.056,11.169,10.498,10.498,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,80.0,29273.897,33648.388,9.914,10.248,10.248,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,82.0,29275.375,33649.736,9.999,9.955,9.955,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,84.0,29276.852,33651.084,9.919,9.661,9.661,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,86.0,29278.33,33652.432,9.367,9.367,9.376,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,88.0,29279.807,33653.78,9.136,9.136,9.376,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,90.0,29281.285,33655.128,8.986,9.376,9.376,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,92.0,29282.762,33656.476,8.477,9.616,9.616,6.003,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,94.0,29284.24,33657.824,10.071,9.856,9.856,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,96.0,29285.717,33659.172,10.096,10.096,9.856,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,98.0,29287.195,33660.52,10.096,10.096,9.856,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,100.0,29288.672,33661.868,10.091,9.798,9.798,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,102.0,29290.15,33663.216,10.121,9.501,9.501,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,104.0,29290.744,33664.584,11.961,9.203,9.203,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,106.0,29289.33,33665.999,10.16,8.905,8.905,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,108.0,29287.916,33667.413,10.2,8.607,8.607,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,110.0,29286.502,33668.828,8.309,8.309,8.325,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,112.0,29285.088,33670.242,8.325,8.325,8.309,,,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,114.0,29283.674,33671.657,8.265,8.265,8.265,-1.625,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,116.0,29282.26,33673.072,8.205,8.205,8.205,-2.556,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,118.0,29280.847,33674.486,8.195,8.195,8.195,-5.537,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,120.0,29279.433,33675.901,8.105,8.105,8.105,-8.225,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,122.0,29278.019,33677.315,7.822,7.822,7.822,-10.444,2.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,124.0,29276.605,33678.73,7.547,7.547,7.547,-10.491,2.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,126.0,29275.191,33680.144,7.359,7.359,7.359,-7.996,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,128.0,29273.777,33681.559,7.265,7.265,7.265,-5.559,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,130.0,29272.364,33682.974,7.102,7.102,7.182,-5.59,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,132.0,29270.95,33684.388,7.182,7.182,7.102,-4.418,1.0,SINARAN DRIVE,0.0
sinaran_drive,Sinaran Drive,134.0,29269.536,33685.803,6.912,6.912,6.912,-3.375,1.0,SINARAN DRIVE,0.0
