path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
tan_sim_boh_road,Tan Sim Boh Road,2.0,28728.895,34278.637,4.057,4.057,4.077,1.25,1.0,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,4.0,28730.838,34279.114,4.077,4.077,4.102,1.5,1.0,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,6.0,28732.78,34279.59,4.127,4.127,4.127,1.125,1.0,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,8.0,28734.722,34280.067,4.167,4.167,4.167,1.187,1.0,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,10.0,28736.665,34280.544,4.167,4.167,4.167,1.625,1.0,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,12.0,28738.607,34281.021,4.197,4.197,4.197,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,14.0,28740.549,34281.498,4.257,4.257,4.257,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,16.0,28742.492,34281.975,5.35,4.341,4.341,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,18.0,28744.434,34282.452,4.479,4.424,4.424,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,20.0,28746.376,34282.929,4.508,4.71,4.71,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,22.0,28748.318,34283.406,4.583,4.995,4.995,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,24.0,28750.261,34283.883,4.508,5.28,5.28,,,TAN SIM BOH ROAD,0.0
tan_sim_boh_road,Tan Sim Boh Road,26.0,28752.203,34284.36,5.565,5.565,5.565,,,TAN SIM BOH ROAD,0.0
